month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2024-09,-912715.5921853024,-0.0,-38913.000810115365,57072.40118816914,0.0,-894556.1918072486,21000000.0,20105443.808192752,1541963.0008101154,2261545.7345215026,894556.1918072486,22.475327980877587
2024-10,-916724.767098383,-3500.0,-41051.290211745305,60208.55897722673,0.0,-901067.4983329016,20105443.808192752,19204376.30985985,1583014.2910218607,2321754.2934987294,897811.8450700751,21.390201538676436
2024-11,-913992.6710498658,-7000.0,-40157.49454052467,58897.65865943581,0.0,-902252.5069309546,19204376.30985985,18302123.802928895,1623171.7855623853,2380651.952158165,899292.0656903683,20.351701634194587
2024-12,-917685.0345479695,-0.0,-50394.83719115937,73912.42788036773,0.0,-894167.4438587611,18302123.802928895,17407956.359070133,1673566.6227535447,2454564.380038533,899162.4830408725,19.360189829315683
2025-01,-878605.2076119642,-14000.0,-116317.37603232847,170598.81818074826,0.0,-838323.7654635444,17407956.359070133,16569632.593606591,1789883.9987858732,2625163.198219281,878247.9054177534,18.866691843375325
2025-02,-892330.4599261504,-7000.0,-42698.03917398187,62623.79078850662,0.0,-879404.7083116256,16569632.593606591,15690227.885294965,1832582.037959855,2687786.989007788,870631.9725446437,18.021653672373503
2025-03,-971840.706730648,-10500.0,-54152.32714961935,79423.4131527748,0.0,-957069.6207274925,15690227.885294965,14733158.264567472,1886734.3651094744,2767210.4021605626,891599.364834221,16.524415388414813
2025-04,-908898.1754472675,-10500.0,-43040.22701415722,63125.66628743103,0.0,-899312.7361739937,14733158.264567472,13833845.528393477,1929774.5921236316,2830336.0684479936,911929.0217377039,15.169870898540692
2025-05,-938243.8945644607,-10500.0,-53920.473164506024,79083.36064127553,0.0,-923581.0070876912,13833845.528393477,12910264.521305786,1983695.0652881376,2909419.429089269,926654.4546630591,13.932123734299738
2025-06,-930976.3327905084,-7000.0,-59109.89504799177,86694.51273705438,0.0,-910391.7151014458,12910264.521305786,11999872.806204341,2042804.9603361294,2996113.9418263235,911095.1527877102,13.170822794400678
2025-07,-948299.4720633907,-17500.0,-55002.38323008898,80670.16207079729,0.0,-940131.6932226823,11999872.806204341,11059741.112981658,2097807.3435662184,3076784.103897121,924701.4718039399,11.96033687651208
2025-08,-860130.3373285572,-7000.0,-47738.18846302573,70016.00974577107,0.0,-844852.5160458118,11059741.112981658,10214888.596935846,2145545.532029244,3146800.113642892,898458.6414566467,11.36934759776446
2025-09,-1014302.8647596547,-14000.0,-68131.47966185119,99926.17017071508,0.0,-996508.1742507908,10214888.596935846,9218380.422685055,2213677.0116910953,3246726.283813607,927164.1278397617,9.942555094493727
2025-10,-985674.4022954758,-14000.0,-62799.36561455205,92105.7362346747,0.0,-970368.0316753532,9218380.422685055,8248012.391009701,2276476.3773056474,3338832.0200482816,937242.9073239854,8.80029320740278
2025-11,-962876.7219660853,-7000.0,-69726.35995669384,102265.32793648634,0.0,-937337.7539862928,8248012.391009701,7310674.637023408,2346202.737262341,3441097.347984768,968071.3199708123,7.551793433198524
2025-12,-971291.9329972493,-3500.0,-78021.30614474881,114431.24901229749,0.0,-938381.9901297006,7310674.637023408,6372292.646893708,2424224.04340709,3555528.5969970655,948695.9252637821,6.716896823523207
2026-01,-799686.5123683992,-7000.0,-176337.9251483325,258628.95688422164,0.0,-724395.48063251,6372292.646893708,5647897.166261198,2600561.9685554225,3814157.553881287,866705.0749161678,6.51651562881121
2026-02,-819616.2237082815,-3500.0,-54348.681265219115,79711.39918898791,0.0,-797753.5057845127,5647897.166261198,4850143.660476685,2654910.6498206416,3893868.953070275,820176.9921822412,5.913532940703359
2026-03,-932059.890613867,-17500.0,-64014.89791633887,93888.51694396324,25000000.0,24080313.728413757,4850143.660476685,28930457.38889044,2718925.5477369805,3987757.4700142383,813945.0860010885,35.5435002759532
2026-04,-859335.3505294367,-10500.0,-60209.24504904868,88306.89273860492,0.0,-841737.7028398805,28930457.38889044,28088719.68605056,2779134.792786029,4076064.362752843,853059.1600702121,32.92704773692212
2026-05,-1071683.2056377227,-14000.0,-70009.41126509337,102680.46985546965,0.0,-1053012.1470473465,28088719.68605056,27035707.539003216,2849144.2040511225,4178744.832608313,938145.3738244899,28.81824959471698
2026-06,-813918.0255741226,-7000.0,-66044.58741323138,96865.39487274038,0.0,-790097.2181146136,27035707.539003216,26245610.3208886,2915188.791464354,4275610.227481053,894949.02266728,29.326374638263694
2026-07,-761394.0755457268,-10500.0,-53939.402985131834,79111.12437819224,0.0,-746722.3541526664,26245610.3208886,25498887.966735937,2969128.1944494857,4354721.351859245,863277.2397715421,29.53731060196139
2026-08,-770720.0757671408,-7000.0,-62381.34949224768,91492.64592196327,0.0,-748608.7793374253,25498887.966735937,24750279.18739851,3031509.5439417334,4446213.997781209,761809.4505349017,32.48880565871189
