month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2024-09,981087.5428932939,46887.790980116326,1027975.3338734102,88894.3824330451,30839.260016202305,15419.630008101152,222370.56470918856,0.0,357523.8371665371,670451.4967068732,0.6522058211072171,673876.110757462,0.0,22950.0,55000.0,751826.110757462,206685.84830471606,0.0,38017.94806699658,224000.0,468703.79637171264,221317.18176300102,0.0,50600.0,18720.0,72000.0,362637.181763001,1583167.0888921756,-912715.5921853024,-0.8878769383951955,104.0,22.0,51.0,18.0,13.0,12335704.006480923
2024-10,1005101.4133688333,50241.44731240719,1055342.8606812404,93872.64232903303,31660.285820437213,15830.142910218607,222370.56470918856,0.0,363733.6357688774,691609.2249123631,0.6553407908268962,683643.1928971951,13966.275700285776,23400.0,55000.0,776009.4685974809,206685.84830471606,0.0,38371.49334554817,224000.0,469057.3416502642,221317.18176300102,0.0,51050.0,18900.0,72000.0,363267.181763001,1608333.9920107462,-916724.767098383,-0.8686511287020247,105.0,22.0,52.0,18.0,13.0,12664114.328174885
2024-11,1028451.4782522051,53663.04545605182,1082114.523708257,95173.6617282561,32463.435711247705,16231.717855623854,222370.56470918856,0.0,366239.3800043162,715875.1437039407,0.6615521074892661,676675.9232982338,12351.817646618845,23400.0,55000.0,767427.7409448526,218341.68161582673,17126.938742856528,38874.27168726947,224000.0,498342.8920459527,221317.18176300102,0.0,51700.0,19080.0,72000.0,364097.181763001,1629867.8147538065,-913992.6710498658,-0.8446358042748925,106.0,22.0,52.0,19.0,13.0,12985374.284499083
2024-12,1058221.5800747678,57489.50176092871,1115711.0818356965,96609.63249896282,33471.33245507089,16735.666227535447,222370.56470918856,0.0,369187.1958907577,746523.8859449388,0.669101435038784,676675.9232982338,0.0,23400.0,55000.0,755075.9232982338,218341.68161582673,0.0,46694.13381584664,280000.0,545035.8154316733,221317.18176300102,0.0,51700.0,19080.0,72000.0,364097.181763001,1664208.9204929082,-917685.0345479695,-0.822511355751785,106.0,22.0,52.0,19.0,13.0,13388532.98202836
2025-01,1132259.3434535735,60996.65573700856,1193255.9991905822,100661.1676202499,35797.67997571747,17898.839987858733,240095.71115148382,13642.26103022761,408095.6597655375,785160.3394250447,0.6579982333695705,706370.8734958812,29113.757086485195,23850.0,55000.0,814334.6305823664,232797.69508128776,10012.488404924743,36787.44984372411,196000.0,475597.63332993665,229063.283124706,0.0,53150.0,19620.0,72000.0,373833.283124706,1663765.547037009,-878605.2076119642,-0.7363090637783894,109.0,23.0,53.0,20.0,13.0,14319071.990286985
2025-02,1156928.7374667001,64792.621173203115,1221721.3586399034,102072.85815298482,36651.6407591971,18325.82037959855,240095.71115148382,0.0,397146.0304432643,824575.3281966391,0.6749291255042049,720011.3275527853,15504.431234167285,24300.0,55000.0,814815.7587869526,244451.59227207536,17124.093831361377,41221.06010769408,224000.0,526796.7462111309,229063.283124706,0.0,54250.0,19980.0,72000.0,375293.283124706,1716905.7881227895,-892330.4599261504,-0.7303878692270294,111.0,23.0,54.0,21.0,13.0,14660656.30367884
2025-03,1188773.0284792823,69049.88159370063,1257822.910072983,103677.09960994667,37734.687302189486,18867.343651094747,240095.71115148382,0.0,400374.8417147147,857448.0683582684,0.6816922012563091,754184.7048309138,42618.52192670892,25650.0,55000.0,877453.2267576227,244451.59227207536,0.0,49900.67293451241,280000.0,574352.2652065877,229063.283124706,0.0,55900.0,20520.0,72000.0,377483.283124706,1829288.7750889163,-971840.706730648,-0.772637148638244,114.0,23.0,57.0,21.0,13.0,15093874.920875795
2025-04,1213418.333680316,73098.06106877174,1286516.3947490877,108090.18754499251,38595.49184247263,19297.745921236314,246775.53744196834,9551.705849119897,422310.6685997897,864205.726149298,0.6717409351925484,756900.6336109276,18602.983743637316,25650.0,55000.0,856153.617354565,255750.61326042737,16602.6430849254,41803.74477194192,224000.0,538157.0011172947,229063.283124706,0.0,56850.0,20880.0,72000.0,378793.283124706,1773103.9015965655,-908898.1754472675,-0.7064800566529368,116.0,24.0,57.0,22.0,13.0,15438196.736989053
2025-05,1244815.277669299,77648.09918945962,1322463.3768587585,109691.4117453072,39673.90130576275,19836.95065288138,246775.53744196834,0.0,415977.80114591966,906485.5757128389,0.6854523093607402,774196.6113013192,43278.388817179715,26550.0,55000.0,899025.0001184989,247571.38954564338,0.0,49890.48003399256,280000.0,577461.8695796359,218412.60057916492,0.0,56950.0,20880.0,72000.0,368242.6005791649,1844729.4702772996,-938243.8945644607,-0.7094668260629398,116.0,24.0,59.0,21.0,12.0,15869560.522305103
2025-06,1279344.1595919472,82525.81396547244,1361869.9735574196,111802.67444149916,40856.09920672259,20428.049603361294,248489.17770399564,13381.938652595532,434957.93960817414,926912.0339492455,0.680617130817566,774196.6113013192,0.0,26550.0,55000.0,855746.6113013192,253299.0800084641,18243.619930516474,54306.45492028916,308000.0,633849.1548592697,218412.60057916492,0.0,57000.0,20880.0,72000.0,368292.6005791649,1857888.3667397539,-930976.3327905084,-0.6836014824224746,116.0,24.0,59.0,21.0,12.0,16342439.682689035
