month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-01,-938221.9118094482,-17500.0,-183308.00241457485,268851.7368747103,0.0,-870178.1773493127,6372292.646893708,5502114.469544396,2607532.045821665,3824380.333871776,870178.1773493127,6.3229745502290395
2026-02,-1040903.8552338048,-24500.0,-78868.09947413998,115673.21256207023,0.0,-1028598.7421458745,5502114.469544396,4473515.72739852,2686400.145295805,3940053.546433846,949388.4597475936,4.711997161402045
2026-03,-1082646.6454960774,-14000.0,-93714.17893515807,137447.46243823273,0.0,-1052913.3619930027,4473515.72739852,3420602.365405518,2780114.324230963,4077501.0088720787,983896.7604960633,3.4765866732612385
2026-04,-952599.4672047424,-3500.0,-85097.96079551475,124810.34250008967,0.0,-916387.0855001674,3420602.365405518,2504215.279905351,2865212.2850264776,4202311.351372168,999299.7298796816,2.5059701359139415
2026-05,-923672.8495988678,-0.0,-92464.52344906377,135614.63439195976,0.0,-880522.7386559718,2504215.279905351,1623692.5412493795,2957676.8084755414,4337925.985764128,949941.0620497139,1.7092560855785026
2026-06,-917124.6132235038,-0.0,-101452.00131470757,148796.2685949048,0.0,-869780.3459433066,1623692.5412493795,753912.195306073,3059128.809790249,4486722.254359033,888896.7233664818,0.8481437443607762
2026-07,-739490.8005422596,-0.0,-80769.88813840505,118462.50260299351,0.0,-701798.1860776711,753912.195306073,52114.00922840182,3139898.697928654,4605184.7569620265,817367.0902256499,0.06375838940862513
2026-08,-692418.5896062234,-0.0,-81219.37107875338,119121.74424883816,0.0,-654516.2164361386,52114.00922840182,-602402.2072077366,3221118.0690074074,4724306.501210865,742031.5828190387,-0.8118282579282695
2026-09,-739803.8949438599,-0.0,-98779.9131868449,144877.20600737166,0.0,-693706.6021233331,-602402.2072077366,-1296108.8093310697,3319897.9821942523,4869183.707218236,683340.3348790476,-1.8967251648631032
2026-10,-682222.3838674398,-0.0,-99345.94230578188,145707.38204848114,0.0,-635860.9441247405,-1296108.8093310697,-1931969.7534558102,3419243.924500034,5014891.089266717,661361.2542280707,-2.9212019015398347
2026-11,-600652.6285359084,-0.0,-95616.34493148979,140237.30589951854,0.0,-556031.6675678797,-1931969.7534558102,-2488001.421023689,3514860.269431524,5155128.395166236,628533.0712719845,-3.958425633815311
2026-12,-639576.0607392385,-0.0,-113438.41420994047,166376.3408412449,0.0,-586638.1341079341,-2488001.421023689,-3074639.5551316235,3628298.6836414644,5321504.736007481,592843.581933518,-5.186257638319876
