month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-01,97955.0512037053,163095.16025416934,261050.21145787463,0.0,0.0,261050.21145787463,0.42527698306842043,0.0,0.0,111018.64635817813,28000.0,139018.6463581781,0.0
2026-02,99920.26625503511,170863.65529611005,270783.92155114515,0.0,0.0,270783.92155114515,0.4244264291022836,0.0,0.0,114927.85288226543,28000.0,142927.85288226543,0.0
2026-03,102434.80216094387,179773.07779245655,282207.8799534004,0.0,0.0,282207.8799534004,0.42357757624407905,0.0,0.0,119536.92978764136,28000.0,147536.92978764136,0.0
2026-04,104569.85697223159,188225.74255001688,292795.5995222485,0.0,0.0,292795.5995222485,0.42273042109159087,0.0,0.0,123773.6070798049,28000.0,151773.6070798049,0.0
2026-05,106955.74796499204,197333.35499541037,304289.1029604024,0.0,0.0,304289.1029604024,0.4218849602494077,0.0,0.0,128374.99610677728,28000.0,156374.99610677728,0.0
2026-06,109650.78242691347,207239.97878686653,316890.76121378003,0.0,0.0,316890.76121378003,0.4210411903289089,0.0,0.0,133424.063305684,28000.0,161424.063305684,0.0
2026-07,111497.25794605928,215747.19412562475,327244.45207168406,0.0,0.0,327244.45207168406,0.42019910794825105,0.0,0.0,137507.82684153583,28000.0,165507.82684153583,0.0
2026-08,113327.59229457936,224388.63274326717,337716.22503784654,0.0,0.0,337716.22503784654,0.41935870973235456,0.0,0.0,141624.24038755283,28000.0,169624.24038755283,0.0
2026-09,115801.92657230767,234498.9013089231,350300.82788123074,0.0,0.0,350300.82788123074,0.41851999231288983,0.0,0.0,146607.89979205164,28000.0,174607.89979205164,0.0
2026-10,118254.63118240821,244787.0865475851,363041.7177299933,0.0,0.0,363041.7177299933,0.417682952328264,0.0,0.0,151636.33647978786,28000.0,179636.33647978786,0.0
2026-11,120520.89520302045,254901.69335438835,375422.5885574088,0.0,0.0,375422.5885574088,0.41684758642360753,0.0,0.0,156493.99992905892,28000.0,184493.99992905892,0.0
2026-12,123427.34842524386,266603.07259852684,390030.4210237707,0.0,0.0,390030.4210237707,0.4160138912507603,0.0,0.0,162258.07315627122,28000.0,190258.07315627122,0.0
