month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-01,1614950.547671018,123404.14954342532,1738354.6972144432,139018.6463581781,52150.640916433294,26075.32045821665,269286.0003197348,0.0,486530.60805256286,1251824.0891618803,0.7201200601740344,868781.2852224135,42750.0,29547.0,60000.0,1001078.2852224135,333392.346845035,33000.0,64535.60410159826,353430.0,784357.9509466332,240302.36480228166,0.0,65317.0,23990.4,75000.0,404609.7648022817,2190046.0009713285,-938221.9118094482,-0.5397183401712344,133.28,25.48,65.66,28.42,13.72,20860256.36657332
2026-02,1660358.513828095,130574.91636910794,1790933.430197203,142927.85288226543,53728.00290591609,26864.001452958044,269286.0003197348,0.0,492805.85756087437,1298127.5726363286,0.724832956238574,925520.3452224134,73500.0,31752.0,60000.0,1090772.3452224135,339895.0551783683,9750.0,71430.2826670701,395010.0,816085.3378454384,249554.54480228166,13500.0,68894.0,25225.200000000004,75000.0,432173.74480228167,2339031.4278701334,-1040903.8552338048,-0.5812074517583766,140.14000000000001,25.48,70.56,29.4,14.7,21491201.162366435
2026-03,1714652.1694987945,138757.37998851403,1853409.5494873086,147536.92978764136,55602.28648461925,27801.143242309627,288569.46031973476,27000.0,546509.819834305,1306899.7296530036,0.7051327268786972,950092.5385557468,28500.0,32634.0,60000.0,1071226.538555747,339895.0551783683,0.0,82569.43661268386,474320.0000000001,896784.4917910523,249554.54480228166,0.0,71050.0,25930.8,75000.0,421535.34480228164,2389546.375149081,-1082646.6454960774,-0.5841378370989616,144.06,27.44,72.52,29.4,14.7,22240914.5938477
2026-04,1763407.1607012397,146734.36264974554,1910141.5233509853,151773.6070798049,57304.24570052956,28652.12285026478,288569.46031973476,0.0,526299.435950334,1383842.0874006513,0.724470972691573,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,18000.0,76492.5760689969,424270.0,871513.2712473653,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2336441.5546053937,-952599.4672047424,-0.4987062244129352,145.04,27.44,72.52,30.38,14.7,22921698.280211825
2026-05,1816411.8491521524,155372.68983154173,1971784.5389836943,156374.99610677728,59153.53616951083,29576.768084755415,288569.46031973476,0.0,533674.7606807783,1438109.7783029159,0.7293442817257065,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,82103.64936538707,462000.0,896854.3445437554,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2361782.6279017837,-923672.8495988678,-0.46844512234331204,145.04,27.44,72.52,30.38,14.7,23661414.46780433
2026-06,1874614.694512374,164804.5120144588,2039419.206526833,161424.063305684,61182.576195804984,30591.288097902492,288569.46031973476,0.0,541767.3879191262,1497651.8186077066,0.7343521203559881,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,88897.45329481333,508200.00000000006,949848.1484731818,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2414776.4318312104,-917124.6132235038,-0.4496989193238909,145.04,27.44,72.52,30.38,14.7,24473030.478321996
2026-07,1919980.3526011854,173285.44601791745,2093265.798619103,165507.82684153583,62797.973958573086,31398.986979286543,288569.46031973476,0.0,548274.2480991302,1544991.5505199726,0.7380771001652925,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,74103.37252583545,392700.0,819554.0677042038,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2284482.351062232,-739490.8005422596,-0.35327133373606495,145.04,27.44,72.52,30.38,14.7,25119189.583429236
2026-08,1965383.643232464,182028.40277247422,2147412.0460049384,169624.24038755283,64422.36138014815,32211.180690074078,288569.46031973476,0.0,554827.2427775098,1592584.8032274286,0.741629817244569,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,74624.41429725537,392700.0,820075.1094756237,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2285003.392833652,-692418.5896062234,-0.3224432827851572,145.04,27.44,72.52,30.38,14.7,25768944.55205926
2026-09,2021132.9726238379,192132.34883899687,2213265.3214628347,174607.89979205164,66397.95964388504,33198.97982194252,288569.46031973476,0.0,562774.299577614,1650491.021885221,0.745726689827836,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,87515.93829268382,485100.0,925366.6334710522,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2390294.916829081,-739803.8949438599,-0.33425901891188275,145.04,27.44,72.52,30.38,14.7,26559183.857554015
2026-10,2076928.548208791,202567.40145789855,2279495.9496666896,179636.33647978786,68384.87849000069,34192.43924500034,288569.46031973476,0.0,570783.1145345237,1708712.8351321658,0.7496011718652168,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,88156.24046320864,485100.0,926006.935641577,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2390935.2189996056,-682222.3838674398,-0.29928650847885696,145.04,27.44,72.52,30.38,14.7,27353951.396000277
2026-11,2130193.3146003042,213046.86502071202,2343240.179621016,184493.99992905892,70297.20538863048,35148.60269431525,288569.46031973476,0.0,578509.2683317394,1764730.9112892768,0.7531156757369599,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,85704.5612887886,462000.0,900455.2564671569,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2365383.539825185,-600652.6285359084,-0.25633421352183156,145.04,27.44,72.52,30.38,14.7,28118882.15545219
2026-12,2193810.6411456903,225055.14794861944,2418865.78909431,190258.07315627122,72565.97367282929,36282.986836414646,288569.46031973476,0.0,587676.4939852499,1831189.29510906,0.7570446046924777,950092.5385557468,0.0,32634.0,60000.0,1042726.5385557468,352750.6951783683,0.0,98686.3773119017,554400.0,1005837.07249027,249554.54480228166,0.0,71540.0,26107.199999999997,75000.0,422201.74480228167,2470765.3558482984,-639576.0607392385,-0.26441155339119227,145.04,27.44,72.52,30.38,14.7,29026389.469131716
