month,position_id,role,function,cost_bucket,sales_role,location,origin,fte,tenure_months,salary,bonus,employer_tax,benefits,recruiting,capex,people_cost
2026-01,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,51,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-02,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,52,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-03,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,53,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-04,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,54,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-05,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,55,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-06,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,56,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-07,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,57,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-08,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,58,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-09,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,59,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-10,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,60,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-11,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,61,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-12,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,62,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-01,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,40,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-02,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,41,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-03,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,42,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-04,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,43,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-05,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,44,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-06,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,45,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-07,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,46,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-08,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,47,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-09,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,48,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
