position_id,role,function,cost_bucket,sales_role,location,start,end,salary,origin
emp-0000,Software Engineer,R&D,R&D,False,Montreal,2021-10,,90194.32182244347,roster
emp-0001,Software Engineer,R&D,R&D,False,Montreal,2022-09,,94246.22889800959,roster
emp-0002,Software Engineer,R&D,R&D,False,Montreal,2022-07,2025-04,88506.95717784532,roster
emp-0003,Software Engineer,R&D,R&D,False,Montreal,2022-07,,101596.79961645397,roster
emp-0004,Software Engineer,R&D,R&D,False,Montreal,2021-01,,97863.86563170952,roster
emp-0005,Software Engineer,R&D,R&D,False,Montreal,2022-11,,90875.20387447844,roster
emp-0006,Software Engineer,R&D,R&D,False,Montreal,2024-02,,90028.2329753056,roster
emp-0007,Software Engineer,R&D,R&D,False,Montreal,2019-10,,101638.43822519384,roster
emp-0008,Software Engineer,R&D,R&D,False,Montreal,2020-12,2026-06,87841.6874093129,roster
emp-0009,Software Engineer,R&D,R&D,False,Montreal,2021-07,,97047.35878505114,roster
emp-0010,Software Engineer,R&D,R&D,False,Montreal,2020-06,,99244.60957870708,roster
emp-0011,Software Engineer,R&D,R&D,False,Montreal,2024-04,,88145.51006498987,roster
emp-0012,Software Engineer,R&D,R&D,False,Montreal,2024-06,,90156.9324725073,roster
emp-0013,Software Engineer,R&D,R&D,False,Montreal,2020-07,2026-09,88725.36579013959,roster
emp-0014,Software Engineer,R&D,R&D,False,Montreal,2021-12,,101997.38780530033,roster
emp-0015,Senior Software Engineer,R&D,R&D,False,Montreal,2021-12,,125498.57380270452,roster
emp-0016,Senior Software Engineer,R&D,R&D,False,Montreal,2020-06,2025-11,121291.36174101538,roster
emp-0017,Senior Software Engineer,R&D,R&D,False,Montreal,2022-07,,119356.98939713118,roster
emp-0018,Senior Software Engineer,R&D,R&D,False,Montreal,2020-03,,119118.73879130643,roster
emp-0019,Senior Software Engineer,R&D,R&D,False,Montreal,2020-02,,132484.32502076053,roster
emp-0020,Senior Software Engineer,R&D,R&D,False,Montreal,2020-11,2025-05,125150.98795206011,roster
emp-0021,Senior Software Engineer,R&D,R&D,False,Montreal,2024-05,,122572.76648494983,roster
emp-0022,Senior Software Engineer,R&D,R&D,False,Montreal,2020-01,,129081.86630545238,roster
emp-0023,Senior Software Engineer,R&D,R&D,False,Montreal,2022-06,,134342.07238418734,roster
emp-0024,Senior Software Engineer,R&D,R&D,False,Montreal,2021-02,,116737.94789407049,roster
emp-0025,Engineering Manager,R&D,R&D,False,Montreal,2024-04,2026-06,163114.45570567847,roster
emp-0026,Engineering Manager,R&D,R&D,False,Montreal,2020-09,,160651.7513744944,roster
emp-0027,Engineering Manager,R&D,R&D,False,Montreal,2023-02,2024-11,164261.5629296828,roster
emp-0028,Product Manager,R&D,R&D,False,Montreal,2019-02,,119456.92930073246,roster
emp-0029,Product Manager,R&D,R&D,False,Montreal,2021-10,,123621.95186596987,roster
emp-0030,Product Manager,R&D,R&D,False,Montreal,2021-04,2025-01,119201.7321287842,roster
emp-0031,Product Designer,R&D,R&D,False,Montreal,2019-02,,96181.6373665091,roster
emp-0032,Product Designer,R&D,R&D,False,Montreal,2022-08,,92032.65033258387,roster
emp-0033,Data Engineer,R&D,R&D,False,Montreal,2021-10,,126096.24994802604,roster
emp-0034,Data Engineer,R&D,R&D,False,Montreal,2021-06,,123759.11801033399,roster
emp-0035,Software Engineer,R&D,R&D,False,Paris,2021-04,,81992.68358366509,roster
emp-0036,Software Engineer,R&D,R&D,False,Paris,2020-05,,87090.63611073347,roster
emp-0037,Software Engineer,R&D,R&D,False,Paris,2021-10,,75069.39685997901,roster
emp-0038,Software Engineer,R&D,R&D,False,Paris,2023-09,,87544.50923054657,roster
emp-0039,Software Engineer,R&D,R&D,False,Paris,2023-12,,75606.11445243706,roster
emp-0040,Software Engineer,R&D,R&D,False,Paris,2021-08,,78033.45105023458,roster
