month,line,line_label,component,budget,actual,impact,detail,budget_line,material
2026-01,revenue_platform,Platform revenue,volume,1614950.547671018,1612141.6935088227,-16852.899181623616,Platform customers 485 against 490 budgeted,1614950.547671018,False
2026-01,revenue_platform,Platform revenue,price,1614950.547671018,1612141.6935088227,14044.04501942833,"Platform revenue per customer 3,326 against 3,297 budgeted (monthly)",1614950.547671018,False
2026-01,revenue_insights,Insights revenue,volume,123404.14954342532,121566.28552812578,-1837.864015299564,Insights customers 107 against 109 budgeted,123404.14954342532,False
2026-01,revenue_insights,Insights revenue,price,123404.14954342532,121566.28552812578,2.435417265001805e-11,"Insights revenue per customer 1,135 against 1,135 budgeted (monthly)",123404.14954342532,False
2026-01,cogs_cloud,Cloud hosting,usage,139018.6463581781,139519.28349768918,-500.6371395110737,"262,227 compute units against 261,050 budgeted",139018.6463581781,False
2026-01,cogs_cloud,Cloud hosting,rate,139018.6463581781,139519.28349768918,-0.0,effective unit cost 0.4253 against 0.4253 budgeted,139018.6463581781,False
2026-01,cogs_cloud,Cloud hosting,fixed,139018.6463581781,139519.28349768918,-0.0,"fixed cloud 28,000 against 28,000 budgeted",139018.6463581781,False
2026-01,cogs_payroll,Customer operations payroll,headcount,269286.0003197348,274781.6329793212,-5495.632659586419,26.0 FTE against 25.5 budgeted (budget net of vacancy allowance),269286.0003197348,False
2026-01,cogs_payroll,Customer operations payroll,rate,269286.0003197348,274781.6329793212,4.729372449219227e-11,"loaded cost per FTE 10,569 against 10,569 budgeted (monthly)",269286.0003197348,False
2026-01,rd_payroll,R&D payroll,headcount,868781.2852224135,856615.015533075,21964.31516096868,64.0 FTE against 65.7 budgeted (budget net of vacancy allowance),868781.2852224135,False
2026-01,rd_payroll,R&D payroll,rate,868781.2852224135,856615.015533075,-9798.045471630176,"loaded cost per FTE 13,385 against 13,232 budgeted (monthly)",868781.2852224135,False
2026-01,sm_payroll,Sales and marketing payroll,headcount,333392.346845035,327723.1452083517,4926.980495246842,28.0 FTE against 28.4 budgeted (budget net of vacancy allowance),333392.346845035,False
2026-01,sm_payroll,Sales and marketing payroll,rate,333392.346845035,327723.1452083517,742.2211414363992,"loaded cost per FTE 11,704 against 11,731 budgeted (monthly)",333392.346845035,False
2026-01,ga_payroll,G&A payroll,headcount,240302.36480228166,245206.49469620577,-4904.129893924104,14.0 FTE against 13.7 budgeted (budget net of vacancy allowance),240302.36480228166,False
2026-01,ga_payroll,G&A payroll,rate,240302.36480228166,245206.49469620577,-0.0,"loaded cost per FTE 17,515 against 17,515 budgeted (monthly)",240302.36480228166,False
2026-01,sm_programs,Marketing programmes,volume,353430.0,276300.0,101430.00000000001,9 new logos against 12.6 budgeted,353430.0,True
2026-01,sm_programs,Marketing programmes,rate,353430.0,276300.0,-24300.0,"programme spend per new logo 30,700 against 28,000 budgeted",353430.0,False
2026-01,cogs_third_party,Third-party software and data,spend,52150.640916433294,52011.23937110845,139.40154532484303,"52,011 against 52,151 budgeted",52150.640916433294,False
2026-01,cogs_payment,Payment processing,spend,26075.32045821665,26005.619685554226,69.70077266242515,"26,006 against 26,075 budgeted",26075.32045821665,False
2026-01,cogs_recruiting,Customer operations recruiting,spend,0.0,0.0,-0.0,0 against 0 budgeted,0.0,False
2026-01,rd_recruiting,R&D recruiting,spend,42750.0,0.0,42750.0,"0 against 42,750 budgeted",42750.0,True
2026-01,rd_tooling,R&D tooling,spend,29547.0,28800.0,747.0,"28,800 against 29,547 budgeted",29547.0,False
2026-01,rd_contractors,R&D contractors,spend,60000.0,60000.0,-0.0,"60,000 against 60,000 budgeted",60000.0,False
2026-01,sm_recruiting,Sales and marketing recruiting,spend,33000.0,34134.99910260535,-1134.9991026053467,"34,135 against 33,000 budgeted",33000.0,False
2026-01,sm_commission,Sales commission,spend,64535.60410159826,48737.0613314367,15798.542770161563,"48,737 against 64,536 budgeted",64535.60410159826,False
2026-01,ga_recruiting,G&A recruiting,spend,0.0,0.0,-0.0,0 against 0 budgeted,0.0,False
2026-01,ga_rent,Rent,spend,65317.0,64800.0,517.0,"64,800 against 65,317 budgeted",65317.0,False
2026-01,ga_software,Software seats,spend,23990.4,23760.0,230.40000000000146,"23,760 against 23,990 budgeted",23990.4,False
2026-01,ga_fixed,Fixed G&A,spend,75000.0,75000.0,-0.0,"75,000 against 75,000 budgeted",75000.0,False
2026-02,revenue_platform,Platform revenue,volume,1660358.513828095,1642915.6475821866,-30848.64285457607,Platform customers 490 against 500 budgeted,1660358.513828095,False
2026-02,revenue_platform,Platform revenue,price,1660358.513828095,1642915.6475821866,13405.776608667651,"Platform revenue per customer 3,351 against 3,323 budgeted (monthly)",1660358.513828095,False
2026-02,revenue_insights,Insights revenue,volume,130574.91636910794,127024.78563157441,-3550.130737533528,Insights customers 111 against 114 budgeted,130574.91636910794,False
2026-02,revenue_insights,Insights revenue,price,130574.91636910794,127024.78563157441,0.0,"Insights revenue per customer 1,146 against 1,146 budgeted (monthly)",130574.91636910794,False
2026-02,cogs_cloud,Cloud hosting,usage,142927.85288226543,140607.98087657313,2319.872005692326,"265,318 compute units against 270,784 budgeted",142927.85288226543,False
2026-02,cogs_cloud,Cloud hosting,rate,142927.85288226543,140607.98087657313,-0.0,effective unit cost 0.4244 against 0.4244 budgeted,142927.85288226543,False
2026-02,cogs_cloud,Cloud hosting,fixed,142927.85288226543,140607.98087657313,-0.0,"fixed cloud 28,000 against 28,000 budgeted",142927.85288226543,False
2026-02,cogs_payroll,Customer operations payroll,headcount,269286.0003197348,274781.6329793212,-5495.632659586419,26.0 FTE against 25.5 budgeted (budget net of vacancy allowance),269286.0003197348,False
2026-02,cogs_payroll,Customer operations payroll,rate,269286.0003197348,274781.6329793212,4.729372449219227e-11,"loaded cost per FTE 10,569 against 10,569 budgeted (monthly)",269286.0003197348,False
2026-02,rd_payroll,R&D payroll,headcount,925520.3452224134,856615.015533075,86046.10919301352,64.0 FTE against 70.6 budgeted (budget net of vacancy allowance),925520.3452224134,True
2026-02,rd_payroll,R&D payroll,rate,925520.3452224134,856615.015533075,-17140.77950367506,"loaded cost per FTE 13,385 against 13,117 budgeted (monthly)",925520.3452224134,False
2026-02,sm_payroll,Sales and marketing payroll,headcount,339895.0551783683,334190.5815590189,4624.422519433566,29.0 FTE against 29.4 budgeted (budget net of vacancy allowance),339895.0551783683,False
2026-02,sm_payroll,Sales and marketing payroll,rate,339895.0551783683,334190.5815590189,1080.0510999158305,"loaded cost per FTE 11,524 against 11,561 budgeted (monthly)",339895.0551783683,False
2026-02,ga_payroll,G&A payroll,headcount,249554.54480228166,245206.49469620577,11883.54975248959,14.0 FTE against 14.7 budgeted (budget net of vacancy allowance),249554.54480228166,False
2026-02,ga_payroll,G&A payroll,rate,249554.54480228166,245206.49469620577,-7535.499646413729,"loaded cost per FTE 17,515 against 16,976 budgeted (monthly)",249554.54480228166,False
2026-02,sm_programs,Marketing programmes,volume,395010.0,337700.0,87010.0,11 new logos against 14.1 budgeted,395010.0,True
2026-02,sm_programs,Marketing programmes,rate,395010.0,337700.0,-29700.0,"programme spend per new logo 30,700 against 28,000 budgeted",395010.0,True
2026-02,cogs_third_party,Third-party software and data,spend,53728.00290591609,53098.21299641283,629.7899095032553,"53,098 against 53,728 budgeted",53728.00290591609,False
2026-02,cogs_payment,Payment processing,spend,26864.001452958044,26549.106498206413,314.8949547516313,"26,549 against 26,864 budgeted",26864.001452958044,False
2026-02,cogs_recruiting,Customer operations recruiting,spend,0.0,0.0,-0.0,0 against 0 budgeted,0.0,False
2026-02,rd_recruiting,R&D recruiting,spend,73500.0,0.0,73500.0,"0 against 73,500 budgeted",73500.0,True
2026-02,rd_tooling,R&D tooling,spend,31752.0,28800.0,2952.0,"28,800 against 31,752 budgeted",31752.0,False
2026-02,rd_contractors,R&D contractors,spend,60000.0,60000.0,-0.0,"60,000 against 60,000 budgeted",60000.0,False
2026-02,sm_recruiting,Sales and marketing recruiting,spend,9750.0,9503.171780572158,246.82821942784176,"9,503 against 9,750 budgeted",9750.0,False
2026-02,sm_commission,Sales commission,spend,71430.2826670701,58264.460002657055,13165.822664413048,"58,264 against 71,430 budgeted",71430.2826670701,False
2026-02,ga_recruiting,G&A recruiting,spend,13500.0,0.0,13500.0,"0 against 13,500 budgeted",13500.0,False
2026-02,ga_rent,Rent,spend,68894.0,65300.0,3594.0,"65,300 against 68,894 budgeted",68894.0,False
2026-02,ga_software,Software seats,spend,25225.200000000004,23940.0,1285.2000000000044,"23,940 against 25,225 budgeted",25225.200000000004,False
2026-02,ga_fixed,Fixed G&A,spend,75000.0,75000.0,-0.0,"75,000 against 75,000 budgeted",75000.0,False
2026-03,revenue_platform,Platform revenue,volume,1714652.1694987945,1679561.7535488007,-49108.87042903169,Platform customers 498 against 512 budgeted,1714652.1694987945,False
2026-03,revenue_platform,Platform revenue,price,1714652.1694987945,1679561.7535488007,14018.454479037891,"Platform revenue per customer 3,376 against 3,348 budgeted (monthly)",1714652.1694987945,False
2026-03,revenue_insights,Insights revenue,volume,138757.37998851403,133055.27827585308,-5702.101712660955,Insights customers 115 against 120 budgeted,138757.37998851403,False
2026-03,revenue_insights,Insights revenue,price,138757.37998851403,133055.27827585308,2.6130612732017957e-11,"Insights revenue per customer 1,158 against 1,158 budgeted (monthly)",138757.37998851403,False
2026-03,cogs_cloud,Cloud hosting,usage,147536.92978764136,166479.1971695539,-18942.267381912534,"326,928 compute units against 282,208 budgeted",147536.92978764136,False
2026-03,cogs_cloud,Cloud hosting,rate,147536.92978764136,166479.1971695539,-0.0,effective unit cost 0.4236 against 0.4236 budgeted,147536.92978764136,False
2026-03,cogs_cloud,Cloud hosting,fixed,147536.92978764136,166479.1971695539,-0.0,"fixed cloud 28,000 against 28,000 budgeted",147536.92978764136,False
2026-03,cogs_payroll,Customer operations payroll,headcount,288569.46031973476,283037.14714198903,4627.20708967506,27.0 FTE against 27.4 budgeted (budget net of vacancy allowance),288569.46031973476,False
2026-03,cogs_payroll,Customer operations payroll,rate,288569.46031973476,283037.14714198903,905.1060880706464,"loaded cost per FTE 10,483 against 10,516 budgeted (monthly)",288569.46031973476,False
2026-03,rd_payroll,R&D payroll,headcount,950092.5385557468,862049.0651846653,98520.35148840613,65.0 FTE against 72.5 budgeted (budget net of vacancy allowance),950092.5385557468,True
2026-03,rd_payroll,R&D payroll,rate,950092.5385557468,862049.0651846653,-10476.87811732465,"loaded cost per FTE 13,262 against 13,101 budgeted (monthly)",950092.5385557468,False
2026-03,sm_payroll,Sales and marketing payroll,headcount,339895.0551783683,306855.27145527827,27746.535116601477,27.0 FTE against 29.4 budgeted (budget net of vacancy allowance),339895.0551783683,True
2026-03,sm_payroll,Sales and marketing payroll,rate,339895.0551783683,306855.27145527827,5293.248606488509,"loaded cost per FTE 11,365 against 11,561 budgeted (monthly)",339895.0551783683,False
2026-03,ga_payroll,G&A payroll,headcount,249554.54480228166,254910.49273563866,-5092.9498939241275,15.0 FTE against 14.7 budgeted (budget net of vacancy allowance),249554.54480228166,False
2026-03,ga_payroll,G&A payroll,rate,249554.54480228166,254910.49273563866,-262.9980394328959,"loaded cost per FTE 16,994 against 16,976 budgeted (monthly)",249554.54480228166,False
2026-03,sm_programs,Marketing programmes,volume,474320.0000000001,399100.0,110320.00000000013,13 new logos against 16.9 budgeted,474320.0000000001,True
2026-03,sm_programs,Marketing programmes,rate,474320.0000000001,399100.0,-35100.0,"programme spend per new logo 30,700 against 28,000 budgeted",474320.0000000001,True
2026-03,cogs_third_party,Third-party software and data,spend,55602.28648461925,54378.51095473961,1223.77552987964,"54,379 against 55,602 budgeted",55602.28648461925,False
2026-03,cogs_payment,Payment processing,spend,27801.143242309627,27189.255477369807,611.88776493982,"27,189 against 27,801 budgeted",27801.143242309627,False
2026-03,cogs_recruiting,Customer operations recruiting,spend,27000.0,26770.02964036756,229.9703596324398,"26,770 against 27,000 budgeted",27000.0,False
2026-03,rd_recruiting,R&D recruiting,spend,28500.0,28759.314632644724,-259.31463264472404,"28,759 against 28,500 budgeted",28500.0,False
2026-03,rd_tooling,R&D tooling,spend,32634.0,29250.0,3384.0,"29,250 against 32,634 budgeted",32634.0,False
2026-03,rd_contractors,R&D contractors,spend,60000.0,60000.0,-0.0,"60,000 against 60,000 budgeted",60000.0,False
2026-03,sm_recruiting,Sales and marketing recruiting,spend,0.0,0.0,-0.0,0 against 0 budgeted,0.0,False
2026-03,sm_commission,Sales commission,spend,82569.43661268386,67352.5683998013,15216.86821288256,"67,353 against 82,569 budgeted",82569.43661268386,False
2026-03,ga_recruiting,G&A recruiting,spend,0.0,13876.069646472191,-13876.069646472191,"13,876 against 0 budgeted",0.0,False
2026-03,ga_rent,Rent,spend,71050.0,65550.0,5500.0,"65,550 against 71,050 budgeted",71050.0,False
