month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-735565.1366327915,-0.0,-75102.51732735522,110150.35874678846,0.0,-700517.2952133582,24750279.18739851,24049761.89218515,3106612.0612690886,4556364.356527997,700517.2952133582,34.33143200962691
2026-10,-942000.04074589,-31500.0,-75482.2262566248,110707.26517638285,0.0,-938275.001826132,24049761.89218515,23111486.890359018,3182094.2875257134,4667071.62170438,819396.1485197451,28.205510768033708
2026-11,-1026180.3927272554,-38500.0,-74923.42572619207,109887.6910650814,0.0,-1029716.127388366,23111486.890359018,22081770.762970652,3257017.7132519055,4776959.312769461,889502.8081426187,24.82484660063059
2026-12,-1036813.9591106372,-14000.0,-94726.49328268087,138932.1901479317,0.0,-1006608.2622453864,22081770.762970652,21075162.500725266,3351744.2065345864,4915891.502917393,991533.130486628,21.255126886563968
2027-01,-948918.3920579678,-17500.0,-233005.01872408483,341740.6941286586,0.0,-857682.716653394,21075162.500725266,20217479.78407187,3584749.225258671,5257632.197046052,964669.0354290488,20.957944166913048
2027-02,-881796.3389161921,-0.0,-95600.63485660637,140214.26445635594,0.0,-837182.7093164425,20217479.78407187,19380297.07475543,3680349.8601152776,5397846.461502408,900491.2294050744,21.521916529447342
2027-03,-933776.3318382702,-0.0,-115283.36040784232,169082.26193150133,0.0,-879977.4303146112,19380297.07475543,18500319.64444082,3795633.22052312,5566928.723433909,858280.952094816,21.555085894993802
2027-04,-803547.9883053086,-0.0,-104160.36666843854,152768.53778037708,0.0,-754939.8171933701,18500319.64444082,17745379.82724745,3899793.5871915584,5719697.261214286,824033.3189414745,21.534784358043392
2027-05,-786316.0866113578,-0.0,-112344.08993078675,164771.33189848717,0.0,-733888.8446436573,17745379.82724745,17011490.982603792,4012137.677122345,5884468.593112773,789602.0307172128,21.54438605882495
2027-06,-698963.5366442371,-0.0,-123291.27508251788,180827.2034543585,0.0,-641427.6082723965,17011490.982603792,16370063.374331394,4135428.952204863,6065295.796567132,710085.423369808,23.053653596556043
2027-07,-491786.96664422564,-0.0,-98722.33513682475,144792.75820067804,0.0,-445716.54358037235,16370063.374331394,15924346.830751022,4234151.287341688,6210088.55476781,607010.9988321421,26.2340334217809
2027-08,-436961.9199827723,-0.0,-99432.45864941645,145834.27268580813,0.0,-390560.10594638065,15924346.830751022,15533786.724804642,4333583.745991104,6355922.827453618,492568.08593304985,31.536323948758636
2027-09,-492318.6806556699,-0.0,-120710.85522575025,177042.58766443655,0.0,-435986.9482169836,15533786.724804642,15097799.776587658,4454294.6012168545,6532965.4151180545,424087.86591457884,35.60064078708799
2027-10,-448844.0482000173,-3500.0,-121607.8007671386,178358.10779180285,0.0,-395593.74117535306,15097799.776587658,14702206.035412304,4575902.401983993,6711323.522909857,407380.26511290576,36.08963735967322
2027-11,-363775.3334491914,-3500.0,-117331.13527415786,172085.66506876424,0.0,-312520.80365458503,14702206.035412304,14389685.23175772,4693233.537258151,6883409.187978622,381367.1643489739,37.731841062725294
2027-12,-395428.3607965857,-0.0,-139059.57101242617,203954.03748489264,0.0,-330533.8943241192,14389685.23175772,14059151.337433599,4832293.108270577,7087363.225463514,346216.14638468577,40.60801751808615
2028-01,-93237.38850276358,-0.0,-324948.2228376046,476590.7268284857,0.0,58405.11548811756,14059151.337433599,14117556.452921716,5157241.331108182,7563953.952292,194883.19416352888,72.44111793998769
2028-02,-59443.89684244199,-0.0,-119037.06758337468,174587.69912228268,0.0,-3893.26530353399,14117556.452921716,14113663.187618183,5276278.398691556,7738541.651414283,92007.34804651188,153.39713063442926
