month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,108239.70336232528,283588.02280929225,391827.7261716175,444819.65413430217,391827.7261716175,0.0,0.41851999231288983,0.25,122990.80270899183,0.0,28000.0,150990.80270899183,52991.927962684655
2026-10,109939.51398568007,294637.8974816226,404577.41146730265,444819.65413430217,404577.41146730265,0.0,0.4176829523282641,0.25,126738.81575024239,0.0,28000.0,154738.8157502424,40242.24266699952
2026-11,111588.46552586879,305752.3955408805,417340.8610667493,444819.65413430217,417340.8610667493,0.0,0.41684758642360753,0.25,130475.64798871844,0.0,28000.0,158475.64798871844,27478.793067552848
2026-12,113961.00257321006,319090.8072049882,433051.80977819825,444819.65413430217,433051.80977819825,0.0,0.4160138912507603,0.25,135116.67637425923,0.0,28000.0,163116.67637425923,11767.844356103917
2027-01,115637.79982470788,330724.1074986645,446361.90732337243,444819.65413430217,444819.65413430217,1542.2531890702667,0.4151818634682588,0.25,138510.78968308948,640.3155529780582,28000.0,167151.10523606752,0.0
2027-02,117704.93916698317,347229.5705426004,464934.5097095836,444819.65413430217,444819.65413430217,20114.855575281428,0.4143514997413223,0.25,138233.76810372327,8334.620574697958,28000.0,174568.38867842124,0.0
2027-03,120438.00838133915,366131.5454792711,486569.55386061023,444819.65413430217,444819.65413430217,41749.89972630807,0.41352279674183967,0.25,137957.30056751583,17264.535298514278,28000.0,183221.8358660301,0.0
2027-04,122719.68616791099,384112.61770556145,506832.30387347244,444819.65413430217,444819.65413430217,62012.64973917027,0.41269575114835594,0.25,137681.3859663808,25592.357064806776,28000.0,191273.74303118757,0.0
2027-05,125246.91841494862,403295.07729613467,528541.9957110833,444819.65413430217,444819.65413430217,83722.34157678112,0.4118703596460593,0.25,137406.02319444806,34482.750935639066,28000.0,199888.7741300871,0.0
2027-06,128112.05858089049,424050.9139027477,552162.9724836382,444819.65413430217,444819.65413430217,107343.31834933604,0.41104661892676714,0.25,137131.21114805917,44123.10807187418,28000.0,209254.31921993336,0.0
2027-07,130052.15280617104,442177.3195409816,572229.4723471527,444819.65413430217,444819.65413430217,127409.81821285048,0.4102245256889136,0.25,136856.94872576304,52266.632244477296,28000.0,217123.58097024035,0.0
2027-08,131975.2874825187,460593.7533139904,592569.0407965091,444819.65413430217,444819.65413430217,147749.38666220696,0.4094040766375358,0.25,136583.2348283115,60489.20122020309,28000.0,225072.43604851462,0.0
2027-09,134601.61086371227,481873.76689209003,616475.3777558024,444819.65413430217,444819.65413430217,171655.7236215002,0.4085852684842607,0.25,136310.06835865488,70135.9999227507,28000.0,234446.0682814056,0.0
2027-10,137204.97594766621,503542.2617279351,640747.2376756014,444819.65413430217,444819.65413430217,195927.58354129922,0.4077680979472922,0.25,136037.44822193758,79893.01807604477,28000.0,243930.46629798235,0.0
2027-11,139605.58342688318,524916.9936850809,664522.5771119641,444819.65413430217,444819.65413430217,219702.92297766195,0.4069525617513976,0.25,135765.3733254937,89408.66733002952,28000.0,253174.04065552325,0.0
2027-12,142705.20572946194,549415.0420584286,692120.2477878906,444819.65413430217,444819.65413430217,247300.59365358844,0.40613865662789483,0.25,135493.8425788427,100438.3308897493,28000.0,263932.173468592,0.0
2028-01,144697.73233976503,570109.0654186744,714806.7977584394,444819.65413430217,444819.65413430217,269987.1436241373,0.405326379314639,0.25,135222.85489368503,109432.91138667297,28000.0,272655.766280358,0.0
2028-02,146852.84105762397,591816.9494622247,738669.7905198487,444819.65413430217,444819.65413430217,293850.13638554653,0.4045157265560097,0.25,134952.40918389763,118867.0014185819,28000.0,281819.41060247953,0.0
