month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-585112.4132510435,-0.0,-21518.55012260098,31560.540179815143,0.0,-575070.4231938294,24750279.18739851,24175208.764204677,3053028.0940643344,4477774.537961024,575070.4231938294,42.03869263513896
2026-10,-822688.4003663207,-31500.0,-21440.1146852565,31445.501538376324,0.0,-844183.0135132009,24175208.764204677,23331025.750691477,3074468.208749591,4509220.0394994,709626.7183535151,32.87788515745915
2026-11,-940425.900068105,-38500.0,-20840.93884697277,30566.710308893584,0.0,-969200.1286061842,23331025.750691477,22361825.622085296,3095309.1475965637,4539786.749808294,796151.1884377381,28.087410967714796
2026-12,-938365.7998467418,-14000.0,-31471.12993938662,46157.65724443272,0.0,-937679.2725416957,22361825.622085296,21424146.349543598,3126780.2775359503,4585944.4070527265,917020.8048870269,23.36277021782833
2027-01,-969505.5749926739,-17500.0,-108483.70589857921,159109.4353179168,0.0,-936379.8455733364,21424146.349543598,20487766.50397026,3235263.9834345295,4745053.842370643,947753.0822404055,21.6171984959827
2027-02,-909878.9039093372,-0.0,-31095.582687899005,45606.85460891854,0.0,-895367.6319883177,20487766.50397026,19592398.871981945,3266359.5661224285,4790660.696979562,923142.25003445,21.22359676555893
2027-03,-956394.3013494143,-0.0,-41289.85346642975,60558.45175076462,0.0,-937125.7030650794,19592398.871981945,18655273.168916866,3307649.4195888583,4851219.148730326,922957.7268755777,20.21248928926487
2027-04,-892897.7389799971,-0.0,-34795.028956195805,51032.709135754034,0.0,-876660.0588004389,18655273.168916866,17778613.110116426,3342444.448545054,4902251.8578660805,903051.1312846119,19.6872718434292
2027-05,-898079.5823441946,-0.0,-38731.032070440706,56805.51370331086,0.0,-880005.1007113245,17778613.110116426,16898608.009405103,3381175.480615495,4959057.371569391,897930.2875256143,18.81950998219676
2027-06,-829806.4094916494,-0.0,-44094.27040760545,64671.596597823314,0.0,-809229.0833014315,16898608.009405103,16089378.92610367,3425269.7510231,5023728.968167215,855298.0809377317,18.811428769328696
2027-07,-720518.467029002,-0.0,-30409.53318495024,44600.6486712601,0.0,-706327.3515426922,16089378.92610367,15383051.574560978,3455679.2842080505,5068329.616838475,798520.5118518161,19.264441359041328
2027-08,-703596.0843290878,-0.0,-30362.488044998143,44531.649132663384,0.0,-689426.9232414225,15383051.574560978,14693624.651319556,3486041.7722530486,5112861.265971138,734994.4526951821,19.991476938960403
2027-09,-754785.8281123796,-0.0,-41252.81909967633,60504.13467952609,0.0,-735534.5125325299,14693624.651319556,13958090.138787026,3527294.591352725,5173365.400650664,710429.5957722148,19.64739394565202
2027-10,-732287.2916911524,-0.0,-41185.25180774974,60405.035984700546,0.0,-713067.5075142016,13958090.138787026,13245022.631272824,3568479.8431604747,5233770.436635365,712676.3144293847,18.584906447855865
2027-11,-692969.5035363778,-0.0,-38372.260212415364,56279.31497820746,0.0,-675062.4487705857,13245022.631272824,12569960.182502238,3606852.10337289,5290049.751613572,707888.1562724389,17.75698614410006
2027-12,-739626.0934087548,-0.0,-49326.7091013547,72345.84001532104,0.0,-716606.9624947885,12569960.182502238,11853353.22000745,3656178.8124742447,5362395.591628893,701578.9729265253,16.895251536064528
2028-01,-623473.8414449994,-0.0,-132810.5999225909,194788.87988646608,0.0,-561495.5614811243,11853353.22000745,11291857.658526326,3788989.4123968356,5557184.471515359,651054.9909154995,17.34393840165169
2028-02,-622829.3470565928,-0.0,-36193.545822745655,53083.86720669456,0.0,-605939.0256726439,11291857.658526326,10685918.632853681,3825182.9582195813,5610268.338722054,628013.8498828522,17.01541874410413
