month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,444819.65413430217,381858.6062761571,0.0,0.41935870973235456,0.25,120101.79932112331,0.0,28000.0,148101.7993211233,62961.04785814509
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,444819.65413430217,384487.8667324126,0.0,0.41935870973235456,0.25,120928.75177548753,0.0,28000.0,148928.75177548753,60331.78740188957
2026-11,106918.23450921947,280125.77441415505,387044.0089233745,444819.65413430217,387044.0089233745,0.0,0.41935870973235456,0.25,121732.70714380819,0.0,28000.0,149732.7071438082,57775.64521092764
2026-12,107442.8343685054,283649.08273285424,391091.91710135964,444819.65413430217,391091.91710135964,0.0,0.41935870973235456,0.25,123005.85130678436,0.0,28000.0,151005.85130678437,53727.73703294253
2027-01,107585.88201778593,286178.4461673106,393764.3281850965,444819.65413430217,393764.3281850965,0.0,0.41935870973235456,0.25,123846.3754547471,0.0,28000.0,151846.37545474712,51055.32594920567
2027-02,107952.14301344415,292550.3075664337,400502.4505798778,444819.65413430217,400502.4505798778,0.0,0.41935870973235456,0.25,125965.64318986774,0.0,28000.0,153965.64318986773,44317.20355442434
2027-03,108693.82943875538,299994.9692509649,408688.7986897202,444819.65413430217,408688.7986897202,0.0,0.41935870973235456,0.25,128540.40547544029,0.0,28000.0,156540.4054754403,36130.855444581946
2027-04,109188.75226032986,306820.3938515269,416009.14611185674,444819.65413430217,416009.14611185674,0.0,0.41935870973235456,0.25,130842.7940627451,0.0,28000.0,158842.79406274512,28810.50802244543
2027-05,109824.99353571056,314099.4815121322,423924.4750478428,444819.65413430217,423924.4750478428,0.0,0.41935870973235456,0.25,133332.31566002182,0.0,28000.0,161332.31566002182,20895.179086459393
2027-06,110653.28820878746,322001.06868757156,432654.356896359,444819.65413430217,432654.356896359,0.0,0.41935870973235456,0.25,136078.02965110407,0.0,28000.0,164078.02965110407,12165.29723794316
2027-07,110971.23754808611,328474.8631423349,439446.100690421,444819.65413430217,439446.100690421,0.0,0.41935870973235456,0.25,138214.16233683698,0.0,28000.0,166214.16233683698,5373.553443881159
2027-08,111285.21572573595,334968.49933446525,446253.7150602012,444819.65413430217,444819.65413430217,1434.0609258990153,0.41935870973235456,0.25,139904.2471660149,601.3859395625967,28000.0,168505.6331055775,0.0
2027-09,111995.27234122627,342705.5333641524,454700.8057053787,444819.65413430217,444819.65413430217,9881.151571076538,0.41935870973235456,0.25,139904.2471660149,4143.746973516485,28000.0,172047.99413953137,0.0
2027-10,112696.46040675789,350485.99186501704,463182.45227177494,444819.65413430217,444819.65413430217,18362.798137472768,0.41935870973235456,0.25,139904.2471660149,7700.599334006263,28000.0,175604.84650002114,0.0
2027-11,113288.89068980578,357992.8945797863,471281.7852695921,444819.65413430217,444819.65413430217,26462.131135289907,0.41935870973235456,0.25,139904.2471660149,11097.125169663543,28000.0,179001.37233567843,0.0
2027-12,114273.9215663167,366819.28822787665,481093.20979419333,444819.65413430217,444819.65413430217,36273.555659891164,0.41935870973235456,0.25,139904.2471660149,15211.631498936706,28000.0,183115.8786649516,0.0
2028-01,114646.64948648779,373748.07732595026,488394.72681243805,444819.65413430217,444819.65413430217,43575.07267813588,0.41935870973235456,0.25,139904.2471660149,18273.58625479664,28000.0,186177.8334208115,0.0
2028-02,115114.72206494538,381029.7300349693,496144.45209991466,444819.65413430217,444819.65413430217,51324.797965612495,0.41935870973235456,0.25,139904.2471660149,21523.501052133033,28000.0,189427.74821814793,0.0
