month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,148101.7993211233,61060.56188128669,30530.280940643344,276901.48091931344,0.0,516594.1230623668,1518757.9396471896,0.7461893042844625,917162.2833986612,0.0,31752.0,140000.0,1088914.2833986613,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2103870.352898233,-585112.4132510435,-0.2874747931677797,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,148928.75177548753,61489.36417499182,30744.68208749591,276901.48091931344,0.0,518064.2789572887,1531581.1935424386,0.7472420055525687,995423.7767319945,108000.0,34839.0,140000.0,1278262.7767319945,335746.88757613493,33000.0,42288.86544793661,242550.00000000003,653585.7530240716,247823.66415269327,0.0,72961.0,26636.399999999998,75000.0,422421.06415269326,2354269.5939087593,-822688.4003663207,-0.40138082971148087,147.98,26.46,77.42,29.4,14.7,24595745.669996727
2026-11,1890537.5508335782,173001.88089746414,2063539.4317310425,149732.7071438082,61906.182951931274,30953.091475965637,276901.48091931344,0.0,519493.4624910185,1544045.969240024,0.7482512548571797,1053107.7200653278,72750.0,37044.0,140000.0,1302901.7200653278,390119.81924280163,80250.0,42002.865847306355,239250.0,751622.685090108,247823.66415269327,0.0,78547.0,28576.8,75000.0,429947.4641526932,2484471.869308129,-940425.900068105,-0.45573439770870255,158.76,26.46,82.32,35.28,14.7,24762473.18077251
2026-12,1908466.467529022,176053.71749494493,2084520.1850239667,151005.85130678437,62535.605550718996,31267.802775359498,276901.48091931344,0.0,521710.7405521763,1562809.4444717905,0.7497214254386422,1094492.4667319944,48000.0,38808.0,140000.0,1321300.4667319944,390119.81924280163,0.0,49849.8941910428,306899.99999999994,746869.7134338444,247823.66415269327,0.0,80899.0,29282.4,75000.0,433005.06415269326,2501175.2443185323,-938365.7998467418,-0.450159133304796,162.68,26.46,86.24,35.28,14.7,25014242.220287602
2027-01,1978330.9089132866,178511.74670973307,2156842.6556230197,151846.37545474712,64705.279668690586,32352.639834345297,286593.03275148943,0.0,535497.3277092724,1621345.3279137472,0.7517216537269428,1158500.2030676142,37500.0,39690.0,140000.0,1375690.2030676142,425783.17958296626,33000.0,43736.44785780291,245025.0,747544.6274407692,265749.6723980375,13500.0,83202.0,30164.4,75000.0,467616.07239803753,2590850.902906421,-969505.5749926739,-0.44950222607342916,167.58,26.46,88.2,37.24,15.68,25882111.867476236
2027-02,1994174.2401567074,183398.80392491168,2177573.044081619,153965.64318986773,65327.19132244857,32663.595661224288,286593.03275148943,0.0,538549.46292503,1639023.581156589,0.7526836289654014,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,48663.030017308396,282149.99999999994,756596.2096002747,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2548902.4850659263,-909878.9039093372,-0.4178408188796598,167.58,26.46,88.2,37.24,15.68,26130876.528979428
2027-03,2016093.4465752682,189006.1664839707,2205099.613059239,156540.4054754403,66152.98839177717,33076.49419588858,286593.03275148943,0.0,542362.9208145954,1662736.6922446436,0.7540415328166741,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,56191.53854543981,344850.00000000006,826824.7181284062,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2619130.993594058,-956394.3013494143,-0.43371931847675727,167.58,26.46,88.2,37.24,15.68,26461195.356710866
2027-04,2034023.3706582664,194272.92837177,2228296.299030036,158842.79406274512,66848.88897090108,33424.44448545054,286593.03275148943,0.0,545709.1602705861,1682587.13875945,0.7551002707727289,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,51732.92269082931,305662.5,783178.6022737955,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2575484.877739447,-892897.7389799971,-0.400708711569763,167.58,26.46,88.2,37.24,15.68,26739555.588360436
2027-05,2054240.667142866,199876.3199341302,2254116.9870769964,161332.31566002182,67623.50961230989,33811.754806154946,286593.03275148943,0.0,549360.612829976,1704756.3742470203,0.7562856692977795,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,54746.501542596874,330000.0,810529.6811255631,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2602835.956591215,-898079.5823441946,-0.3984174679011538,167.58,26.46,88.2,37.24,15.68,27049403.844923954
2027-06,2077584.1723186953,205928.9950300385,2283513.1673487336,164078.02965110407,68505.395020462,34252.697510231,286593.03275148943,0.0,553429.1549332865,1730084.0124154473,0.7576413559393469,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,58800.96685847836,363000.0,847584.1464414446,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2559890.4219070966,-829806.4094916494,-0.3633902450648418,167.58,26.46,88.2,37.24,15.68,27402158.008184806
