month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-788601.3343256055,-0.0,-102092.69474734413,149735.95229610614,0.0,-740958.0767768435,24750279.18739851,24009321.110621665,3133602.2386890776,4595949.950077315,740958.0767768435,32.40307631851704
2026-10,-979432.828383123,-31500.0,-103182.46708446648,151334.28505721595,0.0,-962781.0104103736,24009321.110621665,23046540.100211293,3236784.705773544,4747284.235134531,851869.5435936085,27.05407215638858
2026-11,-1046815.6320765344,-38500.0,-103137.10869721975,151267.7594225891,0.0,-1037184.9813511651,23046540.100211293,22009355.118860126,3339921.814470764,4898551.99455712,913641.3561794608,24.089709786010353
2026-12,-1058726.3322644443,-14000.0,-128147.79449122399,187950.0985871302,0.0,-1012924.0281685381,22009355.118860126,20996431.09069159,3468069.608961988,5086502.09314425,1004296.6733100256,20.906602250797267
2027-01,-896331.9171317681,-17500.0,-332580.9197537936,487785.3489722293,0.0,-758627.4879133324,20996431.09069159,20237803.602778256,3800650.5287157814,5574287.442116479,936245.4991443452,21.61591550642862
2027-02,-820065.1141733183,-0.0,-132509.72518621106,194347.5969397761,0.0,-758227.2424197532,20237803.602778256,19479576.360358503,3933160.2539019925,5768635.0390562555,843259.5861672079,23.10033194985339
2027-03,-866245.567520164,-0.0,-158104.6381527991,231886.80262410454,0.0,-792463.4030488585,19479576.360358503,18687112.957309645,4091264.8920547916,6000521.84168036,769772.7111273147,24.27614370733251
2027-04,-702474.2116979151,-0.0,-145118.69539279863,212840.75324277207,0.0,-634752.1538479417,18687112.957309645,18052360.8034617,4236383.58744759,6213362.594923132,728480.9331055178,24.780828135754216
2027-05,-667946.3902269797,-0.0,-156403.95885216538,229392.47298317682,0.0,-594957.8760959683,18052360.8034617,17457402.927365735,4392787.546299756,6442755.067906309,674057.8109975895,25.89896985472091
2027-06,-587370.4263345976,-3500.0,-171287.00948165357,251220.94723975752,0.0,-510936.4885764937,17457402.927365735,16946466.43878924,4564074.555781409,6693976.015146066,580215.5061734678,29.20719329021643
2027-07,-343810.49131010985,-3500.0,-141332.61503696442,207287.83538754843,0.0,-281355.27095952583,16946466.43878924,16665111.167829715,4705407.170818374,6901263.850533615,462416.5452106626,36.039175804658136
2027-08,-251464.27500559576,-0.0,-143224.2106065359,210062.17555625364,0.0,-184626.310055878,16665111.167829715,16480484.857773837,4848631.381424909,7111326.0260898685,325639.35653063253,50.60962235448815
2027-09,-297684.0616345694,-0.0,-171299.04655392375,251238.60161242262,0.0,-217744.50657607056,16480484.857773837,16262740.351197766,5019930.427978833,7362564.627702291,227908.6958638248,71.35638370251013
2027-10,-201770.06903978158,-0.0,-173660.00032965932,254701.33381683193,0.0,-120728.73555260897,16262740.351197766,16142011.615645157,5193590.4283084925,7617265.961519123,174366.5173948525,92.57517932236735
2027-11,-96842.43770363322,-3500.0,-169452.4367314065,248530.24053939432,0.0,-21264.633895645384,16142011.615645157,16120746.981749512,5363042.865039899,7865796.202058517,119912.62534144164,134.43744506341156
2027-12,-114401.81716648396,-0.0,-198510.03655501362,291148.0536140222,0.0,-21763.80010747537,16120746.981749512,16098983.181642037,5561552.901594913,8156944.25567254,54585.72318524324,294.93029023373373
2028-01,321422.45134836435,-0.0,-502118.5766618373,736440.5791040277,0.0,555744.4537905548,16098983.181642037,16654727.635432592,6063671.47825675,8893384.834776567,-170905.33992914468,inf
2028-02,354517.6240582755,-3500.0,-164691.86003749445,241548.0613883268,0.0,427873.82540910784,16654727.635432592,17082601.4608417,6228363.338294244,9134932.896164894,-320618.15969739575,inf
