month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,109021.28343282941,288906.40109699796,397927.6845298274,444819.65413430217,397927.6845298274,0.0,0.4181006336031575,0.25,124780.36277261865,0.0,28000.0,152780.36277261865,46891.96960447478
2026-10,111500.37835171222,305511.0366836915,417011.4150354037,444819.65413430217,417011.4150354037,0.0,0.416846331702348,0.25,130372.25897663506,0.0,28000.0,158372.25897663506,27808.239098898484
2026-11,113918.30706880483,322388.8090047177,436307.1160735225,444819.65413430217,436307.1160735225,0.0,0.41559579270724095,0.25,135995.5513262893,0.0,28000.0,163995.5513262893,8512.538060779683
2026-12,117221.49312229233,342286.7599170937,459508.253039386,444819.65413430217,444819.65413430217,14688.59890508384,0.4143490053291193,0.25,138232.93593104323,6086.20634599988,28000.0,172319.1422770431,0.0
2027-01,119676.80665165301,360227.1880214756,479903.99467312865,444819.65413430217,444819.65413430217,35084.34053882648,0.4131059583131319,0.25,137818.2371232501,14493.550120076176,28000.0,180311.78724332625,0.0
2027-02,122610.11865066394,383769.67137657816,506379.7900272421,444819.65413430217,444819.65413430217,61560.13589293993,0.4118666404381925,0.25,137404.78241188033,25354.566355143757,28000.0,190759.3487670241,0.0
2027-03,126359.11927502554,410667.13764383306,537026.2569188586,444819.65413430217,444819.65413430217,92206.60278455645,0.4106310405168779,0.25,136992.56806464467,37862.89324394886,28000.0,202855.46130859354,0.0
2027-04,129559.66038459034,436616.0554960696,566175.71588066,444819.65413430217,444819.65413430217,121356.06174635782,0.4093991473953273,0.25,136581.59036045076,49683.06821021358,28000.0,214264.65857066435,0.0
2027-05,133062.53972289493,464388.2636329034,597450.8033557984,444819.65413430217,444819.65413430217,152631.1492214962,0.4081709499531413,0.25,136171.84558936942,62299.60117017776,28000.0,226471.44675954717,0.0
2027-06,136981.1637843603,494502.0012615409,631483.1650459012,444819.65413430217,444819.65413430217,186663.51091159903,0.4069464371032819,0.25,135763.3300526013,75962.05070266481,28000.0,239725.38075526612,0.0
2027-07,139772.65379344768,521351.99864956,661124.6524430077,444819.65413430217,444819.65413430217,216304.99830870552,0.40572559779197204,0.25,135356.0400624435,87760.47474419104,28000.0,251116.51480663454,0.0
2027-08,142544.81445760903,548797.5356617948,691342.3501194038,444819.65413430217,444819.65413430217,246522.69598510163,0.40450842099859613,0.25,134949.97194225618,99720.50649325042,28000.0,262670.4784355066,0.0
2027-09,146177.77962062458,580325.7850938799,726503.5647145045,444819.65413430217,444819.65413430217,281683.91058020236,0.4032948957356003,0.25,134545.12202642937,113601.68334783886,28000.0,276146.8053742682,0.0
2027-10,149785.58874277616,612623.0579579547,762408.6467007309,444819.65413430217,444819.65413430217,317588.99256642873,0.40208501104839356,0.25,134141.4866603501,127697.77358492068,28000.0,289839.2602452708,0.0
2027-11,153148.41601411608,644754.8314194289,797903.2474335451,444819.65413430217,444819.65413430217,353083.5932992429,0.40087875601524836,0.25,133739.06220036905,141543.71165119438,28000.0,303282.77385156346,0.0
2027-12,157367.95778271637,681403.2571991622,838771.2149818785,444819.65413430217,444819.65413430217,393951.56084757636,0.3996761197472026,0.25,133337.84501376795,157453.0312079133,28000.0,318790.87622168125,0.0
2028-01,160238.28182959475,713060.3541416969,873298.6359712917,444819.65413430217,444819.65413430217,428478.9818369895,0.398477091387961,0.25,132937.83147872664,170739.05840327856,28000.0,331676.88988200517,0.0
2028-02,163308.73065450537,734889.2879452741,898198.0185997796,444819.65413430217,444819.65413430217,453378.3644654774,0.3972816601137971,0.25,132539.0179842905,180118.90929452304,28000.0,340657.92727881356,0.0
