month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1910656.6873048425,178411.4718212093,2089068.1591260517,152780.36277261865,62672.04477378155,31336.022386890774,276901.48091931344,0.0,523689.91085260443,1565378.2482734472,0.7493188967698944,917162.2833986612,0.0,31752.0,140000.0,1088914.2833986613,313737.7209094683,0.0,82095.11413822988,452760.00000000006,848592.8350476982,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2353979.5825990527,-788601.3343256055,-0.3774895188941618,139.16,26.46,70.56,27.44,14.7,25068817.909512624
2026-10,1966360.9771379924,191495.49337770333,2157856.470515696,158372.25897663506,64735.69411547088,32367.84705773544,276901.48091931344,0.0,532377.2810691549,1625479.189446541,0.7532842020109315,995423.7767319945,108000.0,34839.0,140000.0,1278262.7767319945,335746.88757613493,33000.0,82721.28936884114,452760.00000000006,904228.1769449762,247823.66415269327,0.0,72961.0,26636.399999999998,75000.0,422421.06415269326,2604912.017829664,-979432.828383123,-0.4538915547747497,147.98,26.46,77.42,29.4,14.7,25894277.64618835
2026-11,2021508.8787773454,205105.66420316385,2226614.5429805093,163995.5513262893,66798.43628941527,33399.21814470764,276901.48091931344,0.0,541094.6866797257,1685519.8563007838,0.7569877155498027,1053107.7200653278,72750.0,37044.0,140000.0,1302901.7200653278,390119.81924280163,80250.0,82516.4849164958,446600.00000000006,999486.3041592974,247823.66415269327,0.0,78547.0,28576.8,75000.0,429947.4641526932,2732335.4883773183,-1046815.6320765344,-0.4701377862534233,158.76,26.46,82.32,35.28,14.7,26719374.51576611
2026-12,2091015.0750195177,221031.33095514114,2312046.4059746587,172319.1422770431,69361.39217923976,34680.69608961988,276901.48091931344,0.0,553262.7114652162,1758783.6945094424,0.7607043223546438,1094492.4667319944,48000.0,38808.0,140000.0,1321300.4667319944,390119.81924280163,0.0,100204.67664639719,572880.0,1063204.495889199,247823.66415269327,0.0,80899.0,29282.4,75000.0,433005.06415269326,2817510.0267738868,-1058726.3322644443,-0.4579174230796337,162.68,26.46,86.24,35.28,14.7,27744556.871695906
2027-01,2297661.429618836,236105.58952501844,2533767.0191438543,180311.78724332625,76013.01057431563,38006.505287157815,286593.03275148943,0.0,580924.3358562891,1952842.6832875651,0.770727011810036,1158500.2030676142,37500.0,39690.0,140000.0,1375690.2030676142,425783.17958296626,33000.0,89705.1453707152,457380.0,1005868.3249536814,265749.6723980375,13500.0,83202.0,30164.4,75000.0,467616.07239803753,2849174.600419333,-896331.9171317681,-0.353754670559503,167.58,26.46,88.2,37.24,15.68,30405204.22972625
2027-02,2366797.6309996927,255309.20493496864,2622106.8359346613,190759.3487670241,78663.20507803984,39331.60253901992,286593.03275148943,0.0,595347.1891355732,2026759.646799088,0.7729508268020822,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,102055.30592378796,526680.0,1054518.4855067544,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2846824.7609724062,-820065.1141733183,-0.31275045811815766,167.58,26.46,88.2,37.24,15.68,31465282.031215936
2027-03,2450208.6850041873,277301.24303234025,2727509.9280365277,202855.46130859354,81825.29784109583,40912.648920547916,286593.03275148943,0.0,612186.4408217267,2115323.487214801,0.7755511594920478,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,119759.59968634686,643720.0000000001,1189262.7792693132,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2981569.054734965,-866245.567520164,-0.31759575230721687,167.58,26.46,88.2,37.24,15.68,32730119.136438332
2027-04,2525010.2381073493,299245.4868577109,2824255.72496506,214264.65857066435,84727.6717489518,42363.8358744759,286593.03275148943,0.0,627949.1989455814,2196306.5260194787,0.777658519589847,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,110121.28266877582,570570.0,1106474.4622517421,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2898780.737717394,-702474.2116979151,-0.24872896795016877,167.58,26.46,88.2,37.24,15.68,33891068.69958072
2027-05,2605470.98453235,323054.0463341537,2928525.0308665037,226471.44675954717,87855.7509259951,43927.87546299756,286593.03275148943,0.0,644848.1059000293,2283676.9249664745,0.7798044752551666,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,117533.86014483625,616000.0,1159317.0397278024,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2951623.3151934543,-667946.3902269797,-0.22808286874343195,167.58,26.46,88.2,37.24,15.68,35142300.370398045
2027-06,2693553.5078641167,349162.8626568225,3042716.370520939,239725.38075526612,91281.49111562817,45640.74555781409,296234.7627514894,13500.0,686382.3801801978,2356333.9903407414,0.7744178896100384,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,127348.56162672058,677600.0000000001,1230731.741209687,265749.6723980375,0.0,83692.0,30340.8,75000.0,454782.4723980375,2943704.416675339,-587370.4263345976,-0.19304146519382442,168.56,27.44,88.2,37.24,15.68,36512596.44625127
