month,position_id,role,function,cost_bucket,sales_role,location,origin,fte,tenure_months,salary,bonus,employer_tax,benefits,recruiting,capex,people_cost
2026-09,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,59,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-10,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,60,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-11,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,61,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2026-12,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,62,8926.880072968595,714.1504058374876,1060.513352668669,535.6128043781157,0.0,0.0,11237.156635852867
2027-01,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,63,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-02,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,64,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-03,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,65,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-04,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,66,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-05,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,67,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-06,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,68,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-07,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,69,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-08,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,70,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-09,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,71,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-10,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,72,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-11,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,73,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2027-12,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,74,9239.320875522497,739.1456700417998,1097.6313200120726,554.3592525313497,0.0,0.0,11630.457118107719
2028-01,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,75,9562.697106165782,765.0157684932626,1136.0484162124949,573.7618263699469,0.0,0.0,12037.523117241486
2028-02,emp-0000,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,76,9562.697106165782,765.0157684932626,1136.0484162124949,573.7618263699469,0.0,0.0,12037.523117241486
2026-09,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,48,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-10,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,49,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-11,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,50,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2026-12,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,51,9012.47628188621,720.9981025508968,1070.6821822880818,540.7485769131725,0.0,0.0,11344.90514363836
2027-01,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,52,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-02,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,53,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-03,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,54,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-04,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,55,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-05,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,56,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-06,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,57,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-07,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,58,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-08,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,59,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-09,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,60,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-10,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,61,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-11,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,62,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
2027-12,emp-0001,Software Engineer,R&D,R&D,False,Montreal,roster,1.0,63,9327.912951752225,746.233036140178,1108.1560586681644,559.6747771051334,0.0,0.0,11741.976823665702
