month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-776562.0708691222,-0.0,-75102.51732735522,110150.35874678846,0.0,-741514.2294496889,24750279.18739851,24008764.95794882,3106612.0612690886,4556364.356527997,741514.2294496889,32.378023245443046
2026-10,-984246.3126626373,-31500.0,-75482.2262566248,110707.26517638285,0.0,-980521.2737428793,24008764.95794882,23028243.68420594,3182094.2875257134,4667071.62170438,861017.7515962841,26.745376203350887
2026-11,-1069672.2753901617,-38500.0,-74923.42572619207,109887.6910650814,0.0,-1073208.0100512723,23028243.68420594,21955035.67415467,3257017.7132519055,4776959.312769461,931747.8377479468,23.563280519352134
2026-12,-1081852.8512353902,-14000.0,-94726.49328268087,138932.1901479317,0.0,-1051647.1543701394,21955035.67415467,20903388.51978453,3351744.2065345864,4915891.502917393,1035125.479388097,20.194062397286693
2027-01,-995088.6552856644,-17500.0,-233005.01872408483,341740.6941286586,0.0,-903852.9798810906,20903388.51978453,19999535.53990344,3584749.225258671,5257632.197046052,1009569.3814341674,19.809966415079497
2027-02,-927874.261617433,-0.0,-95600.63485660637,140214.26445635594,0.0,-883260.6320176835,19999535.53990344,19116274.907885753,3680349.8601152776,5397846.461502408,946253.5887563046,20.2020633105455
2027-03,-979762.0986941089,-0.0,-115283.36040784232,169082.26193150133,0.0,-925963.1971704499,19116274.907885753,18190311.710715305,3795633.22052312,5566928.723433909,904358.9363564079,20.114039878903238
2027-04,-849441.7836274356,-0.0,-104160.36666843854,152768.53778037708,0.0,-800833.612515497,18190311.710715305,17389478.098199807,3899793.5871915584,5719697.261214286,870019.1472345436,19.98746596954133
2027-05,-832118.0943428404,-0.0,-112344.08993078675,164771.33189848717,0.0,-779690.85237514,17389478.098199807,16609787.245824669,4012137.677122345,5884468.593112773,835495.8873536956,19.880154405587334
2027-06,-744673.9403602569,-0.0,-123291.27508251788,180827.2034543585,0.0,-687138.0119884163,16609787.245824669,15922649.233836252,4135428.952204863,6065295.796567132,755887.4922930178,21.064840199345273
2027-07,-537405.9495528131,-0.0,-98722.33513682475,144792.75820067804,0.0,-491335.5264889598,15922649.233836252,15431313.707347292,4234151.287341688,6210088.55476781,652721.4636175054,23.641498813022086
2027-08,-482489.6649255431,-0.0,-99432.45864941645,145834.27268580813,0.0,-436087.85088915145,15431313.707347292,14995225.85645814,4333583.745991104,6355922.827453618,538187.1297888425,27.862475756976036
2027-09,-537755.3701085551,-0.0,-120710.85522575025,177042.58766443655,0.0,-481423.63766986877,14995225.85645814,14513802.218788272,4454294.6012168545,6532965.4151180545,469615.67168266,30.905702458319762
2027-10,-494189.86427399656,-3500.0,-121607.8007671386,178358.10779180285,0.0,-440939.5572493323,14513802.218788272,14072862.66153894,4575902.401983993,6711323.522909857,452817.01526945084,31.07847582353949
2027-11,-409030.4578910228,-3500.0,-117331.13527415786,172085.66506876424,0.0,-357775.9280964164,14072862.66153894,13715086.733442523,4693233.537258151,6883409.187978622,426713.0410052058,32.14124110464016
2027-12,-440592.97498953296,-0.0,-139059.57101242617,203954.03748489264,0.0,-375698.5085170665,13715086.733442523,13339388.224925457,4832293.108270577,7087363.225463514,391471.33128760505,34.0750066704765
2028-01,-138311.6734673255,-0.0,-324948.2228376046,476590.7268284857,0.0,13330.830523555633,13339388.224925457,13352719.055449013,5157241.331108182,7563953.952292,240047.86869664243,55.625234783164636
2028-02,-104428.03323707404,-0.0,-119037.06758337468,174587.69912228268,0.0,-48877.40169816604,13352719.055449013,13303841.653750846,5276278.398691556,7738541.651414283,137081.69323055897,97.0504619561052
