month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,108239.70336232528,283588.02280929225,391827.7261716175,0.0,0.0,391827.7261716175,0.41851999231288983,0.0,0.0,163987.73694532245,28000.0,191987.73694532245,0.0
2026-10,109939.51398568007,294637.8974816226,404577.41146730265,0.0,0.0,404577.41146730265,0.4176829523282641,0.0,0.0,168985.08766698986,28000.0,196985.08766698986,0.0
2026-11,111588.46552586879,305752.3955408805,417340.8610667493,0.0,0.0,417340.8610667493,0.41684758642360753,0.0,0.0,173967.53065162458,28000.0,201967.53065162458,0.0
2026-12,113961.00257321006,319090.8072049882,433051.80977819825,0.0,0.0,433051.80977819825,0.4160138912507603,0.0,0.0,180155.56849901233,28000.0,208155.56849901233,0.0
2027-01,115637.79982470788,330724.1074986645,446361.90732337243,0.0,0.0,446361.90732337243,0.4151818634682588,0.0,0.0,185321.368463764,28000.0,213321.368463764,0.0
2027-02,117704.93916698317,347229.5705426004,464934.5097095836,0.0,0.0,464934.5097095836,0.4143514997413223,0.0,0.0,192646.31137966234,28000.0,220646.31137966234,0.0
2027-03,120438.00838133915,366131.5454792711,486569.55386061023,0.0,0.0,486569.55386061023,0.41352279674183967,0.0,0.0,201207.60272186872,28000.0,229207.60272186872,0.0
2027-04,122719.68616791099,384112.61770556145,506832.30387347244,0.0,0.0,506832.30387347244,0.41269575114835594,0.0,0.0,209167.5383533145,28000.0,237167.5383533145,0.0
2027-05,125246.91841494862,403295.07729613467,528541.9957110833,0.0,0.0,528541.9957110833,0.4118703596460593,0.0,0.0,217690.7818615698,28000.0,245690.7818615698,0.0
2027-06,128112.05858089049,424050.9139027477,552162.9724836382,0.0,0.0,552162.9724836382,0.41104661892676714,0.0,0.0,226964.72293595303,28000.0,254964.72293595303,0.0
2027-07,130052.15280617104,442177.3195409816,572229.4723471527,0.0,0.0,572229.4723471527,0.4102245256889136,0.0,0.0,234742.563878828,28000.0,262742.56387882796,0.0
2027-08,131975.2874825187,460593.7533139904,592569.0407965091,0.0,0.0,592569.0407965091,0.4094040766375358,0.0,0.0,242600.1809912851,28000.0,270600.18099128513,0.0
2027-09,134601.61086371227,481873.76689209003,616475.3777558024,0.0,0.0,616475.3777558024,0.4085852684842607,0.0,0.0,251882.75773429053,28000.0,279882.75773429056,0.0
2027-10,137204.97594766621,503542.2617279351,640747.2376756014,0.0,0.0,640747.2376756014,0.4077680979472922,0.0,0.0,261276.28237196154,28000.0,289276.2823719615,0.0
2027-11,139605.58342688318,524916.9936850809,664522.5771119641,0.0,0.0,664522.5771119641,0.4069525617513976,0.0,0.0,270429.16509735445,28000.0,298429.16509735445,0.0
2027-12,142705.20572946194,549415.0420584286,692120.2477878906,0.0,0.0,692120.2477878906,0.40613865662789483,0.0,0.0,281096.78766153957,28000.0,309096.78766153957,0.0
2028-01,144697.73233976503,570109.0654186744,714806.7977584394,0.0,0.0,714806.7977584394,0.405326379314639,0.0,0.0,289730.05124491965,28000.0,317730.05124491965,0.0
2028-02,146852.84105762397,591816.9494622247,738669.7905198487,0.0,0.0,738669.7905198487,0.4045157265560097,0.0,0.0,298803.5469971121,28000.0,326803.5469971121,0.0
