month,product,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs,gross_profit,gross_margin
2026-09,Platform,1896810.2462908672,70944.5025593667,56904.30738872601,28452.15369436301,253602.42405337832,409903.38769583404,1486906.8585950332,0.7838985799990363
2026-09,Insights,174264.46122185857,121043.23438595577,5227.933836655758,2613.966918327879,23299.056865935105,152184.1920068745,22080.26921498406,0.12670552022006
2026-10,Platform,1938531.0512908672,71506.25036953531,58155.93153872601,29077.965769363003,253032.47032062235,411772.6179982467,1526758.4332926203,0.7875852348488059
2026-10,Insights,182865.1403929415,125478.83729745456,5485.954211788245,2742.9771058941224,23869.010598691053,157576.779213828,25288.361179113504,0.1382896768885188
2026-11,Platform,1979684.2262908674,72043.87049514234,59390.52678872602,29695.263394363014,252459.86157006313,413589.52224829455,1566094.704042573,0.7910830844860571
2026-11,Insights,191660.91587706958,129923.66015648222,5749.827476312087,2874.913738156044,24441.619349250315,162990.02072020067,28670.895156868908,0.14959176744860328
2026-12,Platform,2032473.8162908675,72877.86101446826,60974.21448872602,30487.107244363015,251866.62897638805,416205.8117239454,1616268.004566922,0.7952220548240597
2026-12,Insights,202022.32139885655,135277.70748454405,6060.669641965696,3030.3348209828487,25034.851942925397,169403.563890418,32618.757508438546,0.16146115579000156
2027-01,Platform,2178351.360980411,73532.93688085425,65350.54082941233,32675.270414706167,261231.7976984827,432790.54582345544,1745560.8151569557,0.8013219751524983
2027-01,Insights,211481.4558587031,139788.43158290975,6344.443675761093,3172.2218378805464,25361.235053006734,174666.33214955812,36815.12370914497,0.17408204213300965
2027-02,Platform,2229310.344230411,74212.01528205932,66879.31032691232,33439.65516345617,260398.4010139385,434929.38178636634,1794380.9624440446,0.8049040668958497
2027-02,Insights,224256.22917977418,146434.29609760302,6727.686875393225,3363.8434376966134,26194.631737550942,182720.4581482438,41535.77103153037,0.18521568468108582
2027-03,Platform,2291593.545980411,75161.14063219386,68747.80637941233,34373.903189706165,259543.54887025311,437826.3990715655,1853767.1469088458,0.808942384289946
2027-03,Insights,238828.60103500195,154046.46208967484,7164.858031050059,3582.4290155250296,27049.48388123628,191843.23301748623,46985.36801751572,0.1967325848491224
2027-04,Platform,2346799.111167911,75920.45195138073,70403.97333503733,35201.986667518664,258696.8743950118,440223.28634894855,1906575.8248189625,0.8124154367308132
2027-04,Insights,253063.28029312787,161247.08640193378,7591.898408793836,3795.949204396918,27896.15835647762,200531.09237160216,52532.18792152571,0.20758518525752415
2027-05,Platform,2406400.261167911,76776.25673622251,72192.00783503732,36096.00391751866,257839.1886180496,442903.4571068281,1963496.8040610827,0.8159477189834281
2027-05,Insights,268358.1902469856,168914.52512534725,8050.745707409567,4025.3728537047837,28753.84413343981,209744.48781990143,58613.70242708415,0.2184159252718859
2027-06,Platform,2471961.526167911,77765.61860826722,74158.84578503734,37079.42289251867,256967.4000511156,445971.2873369388,2025990.2388309722,0.8195880952773997
2027-06,Insights,284991.10863533086,177199.1043276858,8549.733259059927,4274.866629529964,29625.63270037381,219649.33691664954,65341.771718681324,0.22927652736805693
2027-07,Platform,2522622.503667911,78373.3412088115,75678.67511003732,37839.33755501867,256119.58031874165,448010.93419260916,2074611.569475302,0.8224027045104062
2027-07,Insights,300145.02122654766,184369.22267001646,9004.350636796427,4502.175318398215,30473.452432747774,228349.20105795888,71795.82016858878,0.2392037684822955
2027-08,Platform,2573283.481167911,78970.83479090928,77198.50443503732,38599.25221751866,255268.55838869567,450037.1498321609,2123246.3313357504,0.825111709174029
2027-08,Insights,315772.34949282487,191629.34620037582,9473.170484784745,4736.5852423923725,31324.474362793713,237163.57629034668,78608.77320247819,0.24894128104862573
2027-09,Platform,2635864.6886679106,79850.07342566965,79075.94066003732,39537.97033001866,254390.60143491387,452854.5858506395,2183010.102817271,0.8281950557638452
2027-09,Insights,333665.0454766593,200032.68430862084,10009.951364299779,5004.9756821498895,32202.431316575574,247250.0426716461,86415.00280501321,0.2589872807370772
2027-10,Platform,2698445.896167911,80715.54478975222,80953.37688503732,40476.688442518665,273979.5649110378,476125.175028346,2222320.721139565,0.8235557823469813
2027-10,Insights,352155.705154751,208560.73758220926,10564.67115464253,5282.335577321266,35755.19784045161,260162.94215462467,91992.76300012635,0.26122752422739004
2027-11,Platform,2758047.046167911,81494.76154978017,82741.41138503733,41370.70569251867,281529.3716333963,487136.2502607325,2270910.7959071784,0.8233763811470982
2027-11,Insights,370775.31200418965,216934.40354757424,11123.259360125689,5561.629680062845,37847.12111809314,271466.41370585596,99308.89829833369,0.2678411832803246
2027-12,Platform,2829568.426167911,82551.36739668879,84887.05278503733,42443.52639251867,268660.79316937714,478542.7397436219,2351025.686424289,0.8308778344718409
2027-12,Insights,391960.312679141,226545.42026485075,11758.80938037423,5879.404690187115,37215.69958211224,281399.3339175243,110560.97876161669,0.2820718710164975
2028-01,Platform,3027369.9342263066,83304.3720948328,90821.09802678919,45410.5490133946,278756.9792543022,498292.9983893188,2529076.9358369876,0.8354039944851781
2028-01,Insights,410790.95317914797,234425.67915008683,12323.728595374438,6161.86429768722,37825.19074348932,290736.4627866378,120054.49039251014,0.2922520310230731
2028-02,Platform,3086822.0813513068,83975.86950455829,92604.66244053919,46302.3312202696,277818.7841131458,500701.6472785129,2586120.434072794,0.8377938105654206
2028-02,Insights,430696.85110973084,242827.67749255383,12920.905533291925,6460.4527666459635,38763.38588464573,300972.4216771375,129724.42943259334,0.3011966052186037
