month,opening_arr,new_arr,expansion_arr,price_arr,churn_arr,closing_arr,opening_customers,new_logos,churned_customers,customers,attach_rate,insights_customers,arpa_insights,arr_insights,arr_total
2026-09,22261073.295490406,278138.70000000007,143820.144374101,0.0,-278039.01315524324,22404993.126709264,532.6245130899939,7.3500000000000005,-6.652437285305271,533.3220758046887,0.258,137.5970955576097,14674.958200407606,2019231.6258054134,24424224.752514675
2026-10,22404993.126709264,278138.70000000007,144749.95447936602,0.0,-279836.56025975174,22548045.220928878,533.3220758046887,7.3500000000000005,-6.661149787448953,534.0109260172397,0.26,138.84284076448233,14748.332991409641,2047700.4490678501,24595745.669996727
2026-11,22548045.220928878,274354.50000000006,145674.1584730634,0.0,-281623.2693990038,22686450.61000294,534.0109260172397,7.25,-6.66975347114233,534.5911725460974,0.262,140.06288720707752,14822.074656366687,2076022.5707695696,24762473.18077251
2026-12,22686450.61000294,351930.60000000003,146568.3419104279,0.0,-283351.941565108,22901597.610348262,534.5911725460974,9.299999999999999,-6.677000703570382,537.214171842527,0.264,141.82454136642713,14896.18502964852,2112644.609939339,25014242.220287602
2027-01,22901597.610348262,289406.15550000005,147958.323078029,687047.9283104478,-286039.1102772941,23739970.90695944,537.214171842527,7.425,-6.709761753597289,537.9294100889297,0.266,143.0892230836553,14970.66595479676,2142140.960516797,25882111.867476236
2027-02,23739970.90695944,333255.57300000003,153374.72717308387,0.0,-296510.3252520322,23930090.88188049,537.9294100889297,8.549999999999999,-6.718695021708893,539.7607150672208,0.271,146.27515378321684,15045.519284570744,2200785.6470989403,26130876.528979428
2027-03,23930090.88188049,407312.36700000014,154603.018454398,0.0,-298884.90843166964,24193121.358903218,539.7607150672208,10.450000000000001,-6.741567873443921,543.4691471937768,0.276,149.99748462548243,15120.746880993596,2268073.9978076485,26461195.356710866
2027-04,24193121.358903218,361026.87075000006,156302.35615829303,0.0,-302170.137912315,24408280.447899196,543.4691471937768,9.2625,-6.787885892127671,545.9437613016493,0.281,153.41019692576344,15196.350615398564,2331275.14046124,26739555.588360436
2027-05,24408280.447899196,389772.6000000001,157692.4154259686,0.0,-304857.45761077455,24650888.00571439,545.9437613016493,10.0,-6.818793623096432,549.1249676785528,0.28600000000000003,157.04974075606611,15272.332368475552,2398515.8392095626,27049403.844923954
2027-06,24650888.00571439,428749.8600000001,159259.80858478352,0.0,-307887.606474828,24931010.067824345,549.1249676785528,11.0,-6.85852663461554,553.2664410439373,0.29100000000000004,161.00053434378577,15348.69403031793,2471147.940360462,27402158.008184806
2027-07,24931010.067824345,331306.7100000001,161069.56837849418,0.0,-311386.30847711826,25112000.03772572,553.2664410439373,8.5,-6.910253303506815,554.8561877404305,0.29600000000000004,164.23743157116746,15425.43750046952,2533434.235938683,27645434.273664404
2027-08,25112000.03772572,331306.7100000001,162238.87424510543,0.0,-313646.858629144,25291898.763341684,554.8561877404305,8.5,-6.930109111750765,556.4260786286798,0.30100000000000005,167.48424966723263,15502.564687971864,2596435.414682704,27888334.17802439
2027-09,25291898.763341684,409261.2300000001,163401.13000642337,0.0,-315893.77922790416,25548667.344120204,556.4260786286798,10.5,-6.949716922548398,559.9763617061313,0.30600000000000005,171.3527666820762,15580.077511411722,2669689.3867015955,28218356.7308218
2027-10,25548667.344120204,409261.2300000001,165060.01203192663,0.0,-319100.79812862334,25803887.78802351,559.9763617061313,10.5,-6.994059672341885,563.4823020337894,0.31100000000000005,175.24299593250853,15657.977898968778,2743950.9572602944,28547838.745283805
2027-11,25803887.78802351,389772.6000000001,166708.8921466528,0.0,-322288.48092441616,26038080.79924575,563.4823020337894,10.0,-7.037848584760618,566.4444534490289,0.31600000000000006,178.99644728989315,15736.267788463621,2816736.027737372,28854816.82698312
2027-12,26038080.79924575,467727.1200000001,168221.92218964765,0.0,-325213.53277900384,26348816.308656394,566.4444534490289,12.0,-7.07484561744531,571.3696078315835,0.32100000000000006,183.40964411393833,15814.949127405938,2900614.1911375625,29249430.499793958
2028-01,26348816.308656394,361319.20020000014,170229.46357062197,790464.4892596918,-329094.5942732998,27341734.867413405,571.3696078315835,9.0,-7.136360399144542,573.2332474324389,0.32600000000000007,186.87403866297512,15894.023873042965,2970180.4317612806,30311915.299174685
2028-02,27341734.867413405,381392.4891000001,176644.32455134054,0.0,-341496.0671293391,27558275.613935407,573.2332474324389,9.5,-7.159637107712042,575.5736103247269,0.33100000000000007,190.51486501748465,15973.493992408177,3043188.051821246,30601463.665756654
