month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-625146.3463580846,-0.0,-21518.55012260098,31560.540179815143,0.0,-615104.3563008704,24750279.18739851,24135174.831097636,3053028.0940643344,4477774.537961024,615104.3563008704,39.237528695524674
2026-10,-862997.9842914832,-31500.0,-21440.1146852565,31445.501538376324,0.0,-884492.5974383634,24135174.831097636,23250682.233659275,3074468.208749591,4509220.0394994,749798.4768696169,31.009241750836946
2026-11,-981003.469116041,-38500.0,-20840.93884697277,30566.710308893584,0.0,-1009777.6976541202,23250682.233659275,22240904.536005154,3095309.1475965637,4539786.749808294,836458.2171311179,26.589378979725904
2026-12,-979367.7502823367,-14000.0,-31471.12993938662,46157.65724443272,0.0,-978681.2229772906,22240904.536005154,21262223.313027862,3126780.2775359503,4585944.4070527265,957650.506023258,22.20248742030266
2027-01,-1010787.7001442562,-17500.0,-108483.70589857921,159109.4353179168,0.0,-977661.9707249186,21262223.313027862,20284561.342302945,3235263.9834345295,4745053.842370643,988706.9637854431,20.51625212048658
2027-02,-951867.4516392932,-0.0,-31095.582687899005,45606.85460891854,0.0,-937356.1797182737,20284561.342302945,19347205.16258467,3266359.5661224285,4790660.696979562,964566.4578068276,20.057928622746395
2027-03,-999241.1031745612,-0.0,-41289.85346642975,60558.45175076462,0.0,-979972.5048902263,19347205.16258467,18367232.657694444,3307649.4195888583,4851219.148730326,964996.8851111395,19.033463155250573
2027-04,-936512.0036675788,-0.0,-34795.028956195805,51032.709135754034,0.0,-920274.3234880206,18367232.657694444,17446958.334206425,3342444.448545054,4902251.8578660805,945867.669365507,18.445453734463655
2027-05,-942523.6875642019,-0.0,-38731.032070440706,56805.51370331086,0.0,-924449.2059313317,17446958.334206425,16522509.128275093,3381175.480615495,4959057.371569391,941565.3447698596,17.54791552179905
2027-06,-875165.7527086842,-0.0,-44094.27040760545,64671.596597823314,0.0,-854588.4265184663,16522509.128275093,15667920.701756626,3425269.7510231,5023728.968167215,899770.6519792728,17.413238214972978
2027-07,-766589.8544746144,-0.0,-30409.53318495024,44600.6486712601,0.0,-752398.7389883045,15667920.701756626,14915521.962768322,3455679.2842080505,5068329.616838475,843812.123812701,17.67635418103934
2027-08,-750230.8333844261,-0.0,-30362.488044998143,44531.649132663384,0.0,-736061.6722967608,14915521.962768322,14179460.290471561,3486041.7722530486,5112861.265971138,781016.2792678438,18.155140509700974
2027-09,-801420.577167718,-0.0,-41252.81909967633,60504.13467952609,0.0,-782169.2615878682,14179460.290471561,13397291.028883694,3527294.591352725,5173365.400650664,756876.5576243112,17.700760968122985
2027-10,-778922.0407464907,-0.0,-41185.25180774974,60405.035984700546,0.0,-759702.2565695399,13397291.028883694,12637588.772314154,3568479.8431604747,5233770.436635365,759311.0634847231,16.6434935299325
2027-11,-739604.2525917161,-0.0,-38372.260212415364,56279.31497820746,0.0,-721697.197825924,12637588.772314154,11915891.57448823,3606852.10337289,5290049.751613572,754522.9053277774,15.792617414724829
2027-12,-786260.8424640931,-0.0,-49326.7091013547,72345.84001532104,0.0,-763241.7115501268,11915891.57448823,11152649.862938102,3656178.8124742447,5362395.591628893,748213.7219818635,14.905700784793199
2028-01,-670108.5905003378,-0.0,-132810.5999225909,194788.87988646608,0.0,-608130.3105364626,11152649.862938102,10544519.55240164,3788989.4123968356,5557184.471515359,697689.7399708378,15.113479456989552
2028-02,-669464.0961119309,-0.0,-36193.545822745655,53083.86720669456,0.0,-652573.774727982,10544519.55240164,9891945.777673658,3825182.9582195813,5610268.338722054,674648.5989381905,14.662367628484368
