month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,0.0,0.0,381858.6062761571,0.41935870973235456,0.0,0.0,160135.73242816443,28000.0,188135.73242816443,0.0
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,0.0,0.0,384487.8667324126,0.41935870973235456,0.0,0.0,161238.33570065003,28000.0,189238.33570065003,0.0
2026-11,106918.23450921947,280125.77441415505,387044.0089233745,0.0,0.0,387044.0089233745,0.41935870973235456,0.0,0.0,162310.27619174425,28000.0,190310.27619174425,0.0
2026-12,107442.8343685054,283649.08273285424,391091.91710135964,0.0,0.0,391091.91710135964,0.41935870973235456,0.0,0.0,164007.80174237915,28000.0,192007.80174237915,0.0
2027-01,107585.88201778593,286178.4461673106,393764.3281850965,0.0,0.0,393764.3281850965,0.41935870973235456,0.0,0.0,165128.50060632947,28000.0,193128.50060632947,0.0
2027-02,107952.14301344415,292550.3075664337,400502.4505798778,0.0,0.0,400502.4505798778,0.41935870973235456,0.0,0.0,167954.19091982365,28000.0,195954.19091982365,0.0
2027-03,108693.82943875538,299994.9692509649,408688.7986897202,0.0,0.0,408688.7986897202,0.41935870973235456,0.0,0.0,171387.20730058706,28000.0,199387.20730058706,0.0
2027-04,109188.75226032986,306820.3938515269,416009.14611185674,0.0,0.0,416009.14611185674,0.41935870973235456,0.0,0.0,174457.0587503268,28000.0,202457.0587503268,0.0
2027-05,109824.99353571056,314099.4815121322,423924.4750478428,0.0,0.0,423924.4750478428,0.41935870973235456,0.0,0.0,177776.4208800291,28000.0,205776.4208800291,0.0
2027-06,110653.28820878746,322001.06868757156,432654.356896359,0.0,0.0,432654.356896359,0.41935870973235456,0.0,0.0,181437.37286813874,28000.0,209437.37286813874,0.0
2027-07,110971.23754808611,328474.8631423349,439446.100690421,0.0,0.0,439446.100690421,0.41935870973235456,0.0,0.0,184285.54978244932,28000.0,212285.54978244932,0.0
2027-08,111285.21572573595,334968.49933446525,446253.7150602012,0.0,0.0,446253.7150602012,0.41935870973235456,0.0,0.0,187140.38216091576,28000.0,215140.38216091576,0.0
2027-09,111995.27234122627,342705.5333641524,454700.8057053787,0.0,0.0,454700.8057053787,0.41935870973235456,0.0,0.0,190682.74319486966,28000.0,218682.74319486966,0.0
2027-10,112696.46040675789,350485.99186501704,463182.45227177494,0.0,0.0,463182.45227177494,0.41935870973235456,0.0,0.0,194239.59555535944,28000.0,222239.59555535944,0.0
2027-11,113288.89068980578,357992.8945797863,471281.7852695921,0.0,0.0,471281.7852695921,0.41935870973235456,0.0,0.0,197636.12139101673,28000.0,225636.12139101673,0.0
2027-12,114273.9215663167,366819.28822787665,481093.20979419333,0.0,0.0,481093.20979419333,0.41935870973235456,0.0,0.0,201750.6277202899,28000.0,229750.6277202899,0.0
2028-01,114646.64948648779,373748.07732595026,488394.72681243805,0.0,0.0,488394.72681243805,0.41935870973235456,0.0,0.0,204812.5824761498,28000.0,232812.5824761498,0.0
2028-02,115114.72206494538,381029.7300349693,496144.45209991466,0.0,0.0,496144.45209991466,0.41935870973235456,0.0,0.0,208062.4972734862,28000.0,236062.4972734862,0.0
