month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,188135.73242816443,61060.56188128669,30530.280940643344,276901.48091931344,0.0,556628.0561694079,1478724.0065401485,0.7265200127449212,917162.2833986612,0.0,31752.0,140000.0,1088914.2833986613,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2103870.352898233,-625146.3463580846,-0.307144084707321,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,189238.33570065003,61489.36417499182,30744.68208749591,276901.48091931344,0.0,558373.8628824512,1491271.6096172761,0.7275753927329374,995423.7767319945,108000.0,34839.0,140000.0,1278262.7767319945,335746.88757613493,33000.0,42288.86544793661,242550.00000000003,653585.7530240716,247823.66415269327,0.0,72961.0,26636.399999999998,75000.0,422421.06415269326,2354269.5939087593,-862997.9842914832,-0.4210474425311122,147.98,26.46,77.42,29.4,14.7,24595745.669996727
2026-11,1890537.5508335782,173001.88089746414,2063539.4317310425,190310.27619174425,61906.182951931274,30953.091475965637,276901.48091931344,0.0,560071.0315389546,1503468.400192088,0.7285871920222395,1053107.7200653278,72750.0,37044.0,140000.0,1302901.7200653278,390119.81924280163,80250.0,42002.865847306355,239250.0,751622.685090108,247823.66415269327,0.0,78547.0,28576.8,75000.0,429947.4641526932,2484471.869308129,-981003.469116041,-0.47539846054364276,158.76,26.46,82.32,35.28,14.7,24762473.18077251
2026-12,1908466.467529022,176053.71749494493,2084520.1850239667,192007.80174237915,62535.605550718996,31267.802775359498,276901.48091931344,0.0,562712.6909877711,1521807.4940361956,0.7300516948549954,1094492.4667319944,48000.0,38808.0,140000.0,1321300.4667319944,390119.81924280163,0.0,49849.8941910428,306899.99999999994,746869.7134338444,247823.66415269327,0.0,80899.0,29282.4,75000.0,433005.06415269326,2501175.2443185323,-979367.7502823367,-0.46982886388844275,162.68,26.46,86.24,35.28,14.7,25014242.220287602
2027-01,1978330.9089132866,178511.74670973307,2156842.6556230197,193128.50060632947,64705.279668690586,32352.639834345297,286593.03275148943,0.0,576779.4528608548,1580063.2027621649,0.7325815810638037,1158500.2030676142,37500.0,39690.0,140000.0,1375690.2030676142,425783.17958296626,33000.0,43736.44785780291,245025.0,747544.6274407692,265749.6723980375,13500.0,83202.0,30164.4,75000.0,467616.07239803753,2590850.902906421,-1010787.7001442562,-0.4686422987365682,167.58,26.46,88.2,37.24,15.68,25882111.867476236
2027-02,1994174.2401567074,183398.80392491168,2177573.044081619,195954.19091982365,65327.19132244857,32663.595661224288,286593.03275148943,0.0,580538.0106549859,1597035.033426633,0.7334013606419227,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,48663.030017308396,282149.99999999994,756596.2096002747,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2548902.4850659263,-951867.4516392932,-0.43712308720313847,167.58,26.46,88.2,37.24,15.68,26130876.528979428
2027-03,2016093.4465752682,189006.1664839707,2205099.613059239,199387.20730058706,66152.98839177717,33076.49419588858,286593.03275148943,0.0,585209.7226397423,1619889.8904194967,0.7346107544648048,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,56191.53854543981,344850.00000000006,826824.7181284062,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2619130.993594058,-999241.1031745612,-0.45315009682862656,167.58,26.46,88.2,37.24,15.68,26461195.356710866
2027-04,2034023.3706582664,194272.92837177,2228296.299030036,202457.0587503268,66848.88897090108,33424.44448545054,286593.03275148943,0.0,589323.4249581678,1638972.8740718684,0.735527351001437,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,51732.92269082931,305662.5,783178.6022737955,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2575484.877739447,-936512.0036675788,-0.42028163134105495,167.58,26.46,88.2,37.24,15.68,26739555.588360436
2027-05,2054240.667142866,199876.3199341302,2254116.9870769964,205776.4208800291,67623.50961230989,33811.754806154946,286593.03275148943,0.0,593804.7180499833,1660312.269027013,0.7365688110003582,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,54746.501542596874,330000.0,810529.6811255631,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2602835.956591215,-942523.6875642019,-0.418134326198575,167.58,26.46,88.2,37.24,15.68,27049403.844923954
2027-06,2077584.1723186953,205928.9950300385,2283513.1673487336,209437.37286813874,68505.395020462,34252.697510231,286593.03275148943,0.0,598788.4981503212,1684724.6691984124,0.7377775146155418,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,58800.96685847836,363000.0,847584.1464414446,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2559890.4219070966,-875165.7527086842,-0.3832540863886469,167.58,26.46,88.2,37.24,15.68,27402158.008184806
2027-07,2092666.6698104767,211119.51966155693,2303786.1894720336,212285.54978244932,69113.58568416101,34556.792842080504,286593.03275148943,0.0,602548.9610601803,1701237.2284118533,0.7384527419194797,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,49237.62783784943,280500.0,755520.8074208157,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2467827.0828864677,-766589.8544746144,-0.33275217030895404,167.58,26.46,88.2,37.24,15.68,27645434.273664404
2027-08,2107658.230278474,216369.61789022535,2324027.848168699,215140.38216091576,69720.83544506098,34860.41772253048,286593.03275148943,0.0,606314.6680799967,1717713.1800887024,0.7391104118835047,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,49354.55842451056,280500.0,755637.7380074768,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2467944.0134731284,-750230.8333844261,-0.3228149068762654,167.58,26.46,88.2,37.24,15.68,27888334.17802439
2027-09,2129055.612010017,222474.1155584663,2351529.7275684834,218682.74319486966,70545.8918270545,35272.94591352725,286593.03275148943,0.0,611094.6136869409,1740435.1138815426,0.7401289014029085,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,57266.23600064235,346500.0,829549.4155836087,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2541855.6910492606,-801420.577167718,-0.3408081844648414,167.58,26.46,88.2,37.24,15.68,28218356.7308218
2027-10,2150323.9823352923,228662.5797716912,2378986.5621069833,222239.59555535944,71369.59686320949,35684.798431604744,286593.03275148943,0.0,615887.0236016631,1763099.5385053202,0.7411137021908212,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,57432.12420319268,346500.0,829715.3037861589,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2542021.579251811,-778922.0407464907,-0.327417587452292,167.58,26.46,88.2,37.24,15.68,28547838.745283805
2027-11,2169840.0666038124,234728.00231144766,2404568.06891526,225636.12139101673,72137.04206745779,36068.521033728895,286593.03275148943,0.0,620434.7172436928,1784133.3516715672,0.741976646340654,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,55648.14921466529,330000.0,811431.3287976315,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2523737.6042632833,-739604.2525917161,-0.3075829967771982,167.58,26.46,88.2,37.24,15.68,28854816.82698312
2027-12,2195734.692388033,241717.84926146353,2437452.5416494966,229750.6277202899,73123.57624948489,36561.788124742445,286593.03275148943,0.0,626029.0248460067,1811423.51680349,0.7431625789020063,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,63594.90421896478,396000.0,885378.083801931,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2597684.359267583,-786260.8424640931,-0.3225748313163082,167.58,26.46,88.2,37.24,15.68,29249430.499793958
2028-01,2278477.905617784,247515.0359801067,2525992.9415978906,232812.5824761498,75779.78824793671,37889.89412396836,296623.7888977915,0.0,643106.0537458465,1882886.887852044,0.7454046513134629,1199047.7101749806,0.0,39690.0,60000.0,1298737.7101749806,440685.5908683701,0.0,53154.866377062215,297000.0,790840.4572454323,275050.9109319688,0.0,83202.0,30164.4,75000.0,463417.31093196885,2552995.478352382,-670108.5905003378,-0.2652852189192742,167.58,26.46,88.2,37.24,15.68,30311915.299174685
