month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-830194.788583145,-0.0,-102092.69474734413,149735.95229610614,0.0,-782551.531034383,24750279.18739851,23967727.656364124,3133602.2386890776,4595949.950077315,782551.531034383,30.627666940582667
2026-10,-1022890.2480420014,-31500.0,-103182.46708446648,151334.28505721595,0.0,-1006238.4300692519,23967727.656364124,22961489.226294875,3236784.705773544,4747284.235134531,894394.9805518175,25.672649920428064
2026-11,-1092147.482518631,-38500.0,-103137.10869721975,151267.7594225891,0.0,-1082516.8317932617,22961489.226294875,21878972.39450161,3339921.814470764,4898551.99455712,957102.2642989656,22.859597360295638
2026-12,-1104803.977574792,-14000.0,-128147.79449122399,187950.0985871302,0.0,-1059001.6734788858,21878972.39450161,20819970.721022725,3468069.608961988,5086502.09314425,1049252.3117804665,19.842673194299195
2027-01,-942271.3295061849,-17500.0,-332580.9197537936,487785.3489722293,0.0,-804566.9002877492,20819970.721022725,20015403.820734978,3800650.5287157814,5574287.442116479,982028.4685199655,20.381694077464566
2027-02,-865866.7083106115,-0.0,-132509.72518621106,194347.5969397761,0.0,-804028.8365570465,20015403.820734978,19211374.984177932,3933160.2539019925,5768635.0390562555,889199.1367745604,21.605255999082928
2027-03,-911909.7568750454,-0.0,-158104.6381527991,231886.80262410454,0.0,-838127.5924037399,19211374.984177932,18373247.391774192,4091264.8920547916,6000521.84168036,815574.4430828452,22.527983248621556
2027-04,-748001.4084847318,-0.0,-145118.69539279863,212840.75324277207,0.0,-680279.3506347584,18373247.391774192,17692968.04113943,4236383.58744759,6213362.594923132,774145.2598651815,22.854842570786634
2027-05,-713337.0054234364,-0.0,-156403.95885216538,229392.47298317682,0.0,-640348.491292425,17692968.04113943,17052619.549847007,4392787.546299756,6442755.067906309,719585.1447769745,23.697848230499854
2027-06,-632624.869685465,-3500.0,-171287.00948165357,251220.94723975752,0.0,-556190.9319273611,17052619.549847007,16496428.617919646,4564074.555781409,6693976.015146066,625606.2579515148,26.368707806625135
2027-07,-388929.17133092415,-3500.0,-141332.61503696442,207287.83538754843,0.0,-326473.95098034013,16496428.617919646,16169954.666939307,4705407.170818374,6901263.850533615,507671.1247333754,31.85123966905077
2027-08,-296447.59898634814,-0.0,-143224.2106065359,210062.17555625364,0.0,-229609.6340366304,16169954.666939307,15940345.032902677,4848631.381424909,7111326.0260898685,370758.1723147772,42.993914155368024
2027-09,-342532.4356433796,-0.0,-171299.04655392375,251238.60161242262,0.0,-262592.8805848807,15940345.032902677,15677752.152317796,5019930.427978833,7362564.627702291,272892.1552006171,57.450358515407935
2027-10,-246483.8979265648,-0.0,-173660.00032965932,254701.33381683193,0.0,-165442.56443939218,15677752.152317796,15512309.587878404,5193590.4283084925,7617265.961519123,219215.02635363443,70.7629848460031
2027-11,-141422.12510375632,-3500.0,-169452.4367314065,248530.24053939432,0.0,-65844.32129576849,15512309.587878404,15446465.266582636,5363042.865039899,7865796.202058517,164626.58877334712,93.82728137463177
2027-12,-158847.76550440677,-0.0,-198510.03655501362,291148.0536140222,0.0,-66209.74844539817,15446465.266582636,15380255.518137239,5561552.901594913,8156944.25567254,99165.54472685295,155.09676834329366
2028-01,277109.8408554555,-0.0,-502118.5766618373,736440.5791040277,0.0,511431.8432976459,15380255.518137239,15891687.361434884,6063671.47825675,8893384.834776567,-126459.25785215975,inf
2028-02,310337.9513968453,-3500.0,-164691.86003749445,241548.0613883268,0.0,383694.15274767764,15891687.361434884,16275381.514182562,6228363.338294244,9134932.896164894,-276305.4158666418,inf
