month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,109021.28343282941,288906.40109699796,397927.6845298274,0.0,0.0,397927.6845298274,0.4181006336031575,0.0,0.0,166373.8170301582,28000.0,194373.8170301582,0.0
2026-10,111500.37835171222,305511.0366836915,417011.4150354037,0.0,0.0,417011.4150354037,0.416846331702348,0.0,0.0,173829.6786355134,28000.0,201829.6786355134,0.0
2026-11,113918.30706880483,322388.8090047177,436307.1160735225,0.0,0.0,436307.1160735225,0.41559579270724095,0.0,0.0,181327.40176838575,28000.0,209327.40176838575,0.0
2026-12,117221.49312229233,342286.7599170937,459508.253039386,0.0,0.0,459508.253039386,0.4143490053291193,0.0,0.0,190396.78758739083,28000.0,218396.78758739083,0.0
2027-01,119676.80665165301,360227.1880214756,479903.99467312865,0.0,0.0,479903.99467312865,0.4131059583131319,0.0,0.0,198251.19961774297,28000.0,226251.19961774297,0.0
2027-02,122610.11865066394,383769.67137657816,506379.7900272421,0.0,0.0,506379.7900272421,0.4118666404381925,0.0,0.0,208560.94290431752,28000.0,236560.94290431752,0.0
2027-03,126359.11927502554,410667.13764383306,537026.2569188586,0.0,0.0,537026.2569188586,0.4106310405168779,0.0,0.0,220519.6506634751,28000.0,248519.6506634751,0.0
2027-04,129559.66038459034,436616.0554960696,566175.71588066,0.0,0.0,566175.71588066,0.4093991473953273,0.0,0.0,231791.85535748125,28000.0,259791.85535748125,0.0
2027-05,133062.53972289493,464388.2636329034,597450.8033557984,0.0,0.0,597450.8033557984,0.4081709499531413,0.0,0.0,243862.06195600363,28000.0,271862.06195600366,0.0
2027-06,136981.1637843603,494502.0012615409,631483.1650459012,0.0,0.0,631483.1650459012,0.4069464371032819,0.0,0.0,256979.8241061332,28000.0,284979.8241061332,0.0
2027-07,139772.65379344768,521351.99864956,661124.6524430077,0.0,0.0,661124.6524430077,0.40572559779197204,0.0,0.0,268235.19482744904,28000.0,296235.19482744904,0.0
2027-08,142544.81445760903,548797.5356617948,691342.3501194038,0.0,0.0,691342.3501194038,0.40450842099859613,0.0,0.0,279653.8024162586,28000.0,307653.8024162586,0.0
2027-09,146177.77962062458,580325.7850938799,726503.5647145045,0.0,0.0,726503.5647145045,0.4032948957356003,0.0,0.0,292995.17938307807,28000.0,320995.17938307807,0.0
2027-10,149785.58874277616,612623.0579579547,762408.6467007309,0.0,0.0,762408.6467007309,0.40208501104839356,0.0,0.0,306553.0891320542,28000.0,334553.0891320542,0.0
2027-11,153148.41601411608,644754.8314194289,797903.2474335451,0.0,0.0,797903.2474335451,0.40087875601524836,0.0,0.0,319862.46125168644,28000.0,347862.46125168644,0.0
2027-12,157367.95778271637,681403.2571991622,838771.2149818785,0.0,0.0,838771.2149818785,0.3996761197472026,0.0,0.0,335236.8245596039,28000.0,363236.8245596039,0.0
2028-01,160238.28182959475,713060.3541416969,873298.6359712917,0.0,0.0,873298.6359712917,0.398477091387961,0.0,0.0,347989.5003749141,28000.0,375989.5003749141,0.0
2028-02,163308.73065450537,734889.2879452741,898198.0185997796,0.0,0.0,898198.0185997796,0.3972816601137971,0.0,0.0,356837.59994024364,28000.0,384837.59994024364,0.0
