month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1910656.6873048425,178411.4718212093,2089068.1591260517,194373.8170301582,62672.04477378155,31336.022386890774,276901.48091931344,0.0,565283.365110144,1523784.7940159077,0.7294088454506785,917162.2833986612,0.0,31752.0,140000.0,1088914.2833986613,313737.7209094683,0.0,82095.11413822988,452760.00000000006,848592.8350476982,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2353979.5825990527,-830194.788583145,-0.3973995702133777,139.16,26.46,70.56,27.44,14.7,25068817.909512624
2026-10,1966360.9771379924,191495.49337770333,2157856.470515696,201829.6786355134,64735.69411547088,32367.84705773544,276901.48091931344,0.0,575834.7007280332,1582021.7697876627,0.7331450406474823,995423.7767319945,108000.0,34839.0,140000.0,1278262.7767319945,335746.88757613493,33000.0,82721.28936884114,452760.00000000006,904228.1769449762,247823.66415269327,0.0,72961.0,26636.399999999998,75000.0,422421.06415269326,2604912.017829664,-1022890.2480420014,-0.4740307161381988,147.98,26.46,77.42,29.4,14.7,25894277.64618835
2026-11,2021508.8787773454,205105.66420316385,2226614.5429805093,209327.40176838575,66798.43628941527,33399.21814470764,276901.48091931344,0.0,586426.5371218221,1640188.0058586872,0.7366286234990448,1053107.7200653278,72750.0,37044.0,140000.0,1302901.7200653278,390119.81924280163,80250.0,82516.4849164958,446600.00000000006,999486.3041592974,247823.66415269327,0.0,78547.0,28576.8,75000.0,429947.4641526932,2732335.4883773183,-1092147.482518631,-0.49049687830418126,158.76,26.46,82.32,35.28,14.7,26719374.51576611
2026-12,2091015.0750195177,221031.33095514114,2312046.4059746587,218396.78758739083,69361.39217923976,34680.69608961988,276901.48091931344,0.0,599340.3567755639,1712706.0491990948,0.7407749449895198,1094492.4667319944,48000.0,38808.0,140000.0,1321300.4667319944,390119.81924280163,0.0,100204.67664639719,572880.0,1063204.495889199,247823.66415269327,0.0,80899.0,29282.4,75000.0,433005.06415269326,2817510.0267738868,-1104803.977574792,-0.4778468004447577,162.68,26.46,86.24,35.28,14.7,27744556.871695906
2027-01,2297661.429618836,236105.58952501844,2533767.0191438543,226251.19961774297,76013.01057431563,38006.505287157815,286593.03275148943,0.0,626863.7482307059,1906903.2709131483,0.7525961370976721,1158500.2030676142,37500.0,39690.0,140000.0,1375690.2030676142,425783.17958296626,33000.0,89705.1453707152,457380.0,1005868.3249536814,265749.6723980375,13500.0,83202.0,30164.4,75000.0,467616.07239803753,2849174.600419333,-942271.3295061849,-0.37188554527186685,167.58,26.46,88.2,37.24,15.68,30405204.22972625
2027-02,2366797.6309996927,255309.20493496864,2622106.8359346613,236560.94290431752,78663.20507803984,39331.60253901992,286593.03275148943,0.0,641148.7832728667,1980958.0526617947,0.7554833485477237,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,102055.30592378796,526680.0,1054518.4855067544,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2846824.7609724062,-865866.7083106115,-0.3302179363725161,167.58,26.46,88.2,37.24,15.68,31465282.031215936
2027-03,2450208.6850041873,277301.24303234025,2727509.9280365277,248519.6506634751,81825.29784109583,40912.648920547916,286593.03275148943,0.0,657850.6301766082,2069659.2978599195,0.7588090795144493,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,119759.59968634686,643720.0000000001,1189262.7792693132,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2981569.054734965,-911909.7568750454,-0.33433783228481534,167.58,26.46,88.2,37.24,15.68,32730119.136438332
2027-04,2525010.2381073493,299245.4868577109,2824255.72496506,259791.85535748125,84727.6717489518,42363.8358744759,286593.03275148943,0.0,673476.3957323984,2150779.329232662,0.761538450722011,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,110121.28266877582,570570.0,1106474.4622517421,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2898780.737717394,-748001.4084847318,-0.2648490368180047,167.58,26.46,88.2,37.24,15.68,33891068.69958072
2027-05,2605470.98453235,323054.0463341537,2928525.0308665037,271862.06195600366,87855.7509259951,43927.87546299756,286593.03275148943,0.0,690238.7210964857,2238286.309770018,0.7643049952377374,1158500.2030676142,0.0,39690.0,140000.0,1338190.2030676142,425783.17958296626,0.0,117533.86014483625,616000.0,1159317.0397278024,265749.6723980375,0.0,83202.0,30164.4,75000.0,454116.07239803753,2951623.3151934543,-713337.0054234364,-0.24358234876086116,167.58,26.46,88.2,37.24,15.68,35142300.370398045
2027-06,2693553.5078641167,349162.8626568225,3042716.370520939,284979.8241061332,91281.49111562817,45640.74555781409,296234.7627514894,13500.0,731636.8235310649,2311079.546989874,0.7595448492605301,1158500.2030676142,0.0,39690.0,60000.0,1258190.2030676142,425783.17958296626,0.0,127348.56162672058,677600.0000000001,1230731.741209687,265749.6723980375,0.0,83692.0,30340.8,75000.0,454782.4723980375,2943704.416675339,-632624.869685465,-0.2079145055433327,168.56,27.44,88.2,37.24,15.68,36512596.44625127
