month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-655565.1366327915,-0.0,-75102.51732735522,110150.35874678846,0.0,-620517.2952133582,24750279.18739851,24129761.89218515,3106612.0612690886,4556364.356527997,620517.2952133582,38.88652593299336
2026-10,-611693.7807458898,-0.0,-75482.2262566248,110707.26517638285,0.0,-576468.7418261317,24129761.89218515,23553293.15035902,3182094.2875257134,4667071.62170438,598493.018519745,39.35433233392341
2026-11,-548280.5762552035,-0.0,-72562.94137885096,106425.64735564776,0.0,-514417.87027840666,23553293.15035902,23038875.280080613,3254657.2289045644,4773497.269060028,570467.9691059656,40.38592265957897
2026-12,-583211.4150652438,-0.0,-86196.58556075022,126421.65882243402,0.0,-542986.34180356,23038875.280080613,22495888.93827705,3340853.8144653146,4899918.927882462,544624.3179693661,41.30533322888163
2027-01,-382076.7325461535,-0.0,-221321.87240104005,324605.4128548587,0.0,-278793.19209233485,22495888.93827705,22217095.746184718,3562175.6868663547,5224524.3407373205,445399.1347247672,49.88131770824767
2027-02,-362997.5252080483,-0.0,-73208.99931188114,107373.19899075851,0.0,-328833.3255291709,22217095.746184718,21888262.420655545,3635384.686178236,5331897.539728079,383537.6198083553,57.0694015142311
2027-03,-379586.89067036635,-0.0,-84069.78926263237,123302.35758519545,0.0,-340354.3223478033,21888262.420655545,21547908.098307744,3719454.475440868,5455199.897313274,315993.613323103,68.19096079728371
2027-04,-273654.3036440853,-0.0,-73980.87372361729,108505.28146130498,0.0,-239129.8959063976,21547908.098307744,21308778.202401344,3793435.3491644855,5563705.178774579,302772.5145944573,70.3788394760435
2027-05,-251024.95738379727,-0.0,-77882.34072203236,114227.43305898085,0.0,-214679.86504684878,21308778.202401344,21094098.337354496,3871317.689886518,5677932.61183356,264721.36110034987,79.68415638871772
2027-06,-245526.2556236321,-0.0,-85350.93670435296,125181.37383305095,0.0,-205695.81849493412,21094098.337354496,20888402.51885956,3956668.626590871,5803113.985666611,219835.1931493935,95.01846460345601
2027-07,-100180.68757652165,-0.0,-68093.4778443519,99870.43417171575,0.0,-68403.7312491578,20888402.51885956,20819998.787610404,4024762.1044352227,5902984.419838327,162926.47159698023,127.78769823918714
2027-08,-61530.42917118454,-0.0,-68453.01518004248,100397.75559739489,0.0,-29585.68875383213,20819998.787610404,20790413.098856572,4093215.119615265,6003382.175435722,101228.41283264135,205.3812019480034
2027-09,-100089.49317252496,-0.0,-83082.45398262469,121854.26584118325,0.0,-61317.6813139664,20790413.098856572,20729095.417542607,4176297.57359789,6125236.441276905,53102.36710565211,390.3610431583989
2027-10,-52863.99291050481,-0.0,-83535.23937891563,122518.35108907707,0.0,-13880.88120034337,20729095.417542607,20715214.536342263,4259832.8129768055,6247754.792365982,34928.0837560473,593.0819074137074
2027-11,13971.542107869405,-0.0,-80403.68741968367,117925.40821553487,0.0,51493.262903720606,20715214.536342263,20766707.799245983,4340236.500396489,6365680.200581517,7901.766536863055,2628.1095122673946
2027-12,-17675.832374909893,-0.0,-95263.27789186407,139719.474241402,0.0,26780.36397462804,20766707.799245983,20793488.16322061,4435499.778288353,6505399.674822919,-21464.24855933509,inf
2028-01,213940.80713421945,-0.0,-274009.46726608556,401880.5519902585,0.0,341811.8918583924,20793488.16322061,21135300.055079002,4709509.245554439,6907280.226813178,-140028.50624558036,inf
2028-02,237133.3820582279,-0.0,-81117.90728839766,118972.93068964966,0.0,274988.4054594799,21135300.055079002,21410288.460538484,4790627.152842836,7026253.157502827,-214526.88709750012,inf
