month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,108239.70336232528,283588.02280929225,391827.7261716175,444819.65413430217,391827.7261716175,0.0,0.41851999231288983,0.25,122990.80270899183,0.0,28000.0,150990.80270899183,52991.927962684655
2026-10,109939.51398568007,294637.8974816226,404577.41146730265,444819.65413430217,404577.41146730265,0.0,0.4176829523282641,0.25,126738.81575024239,0.0,28000.0,154738.8157502424,40242.24266699952
2026-11,111498.4655258688,305505.7955408805,417004.26106674934,444819.65413430217,417004.26106674934,0.0,0.41684758642360753,0.25,130370.41481552579,0.0,28000.0,158370.4148155258,27815.393067552825
2026-12,113547.78931819598,317933.81009094877,431481.5994091447,444819.65413430217,431481.5994091447,0.0,0.4160138912507603,0.25,134626.75437997506,0.0,28000.0,162626.75437997506,13338.054725157446
2027-01,114823.19871921046,328394.3483369419,443217.54705615237,444819.65413430217,443217.54705615237,0.0,0.4151818634682588,0.25,138011.91533145303,0.0,28000.0,166011.91533145303,1602.1070781497983
2027-02,116213.45898743329,339343.3002433053,455556.75923073856,444819.65413430217,444819.65413430217,10737.105096436397,0.4143514997413223,0.25,138233.76810372327,4448.935599588616,28000.0,170682.70370331188,0.0
2027-03,117969.56614126555,351549.30710097135,469518.8732422369,444819.65413430217,444819.65413430217,24699.21910793474,0.41352279674183967,0.25,137957.30056751583,10213.69016285266,28000.0,176170.9907303685,0.0
2027-04,119332.32208956424,362770.25915227534,482102.58124183957,444819.65413430217,444819.65413430217,37282.9271075374,0.41269575114835594,0.25,137681.3859663808,15386.505607654548,28000.0,181067.89157403534,0.0
2027-05,120809.16535553672,374508.4126021639,495317.57795770065,444819.65413430217,444819.65413430217,50497.92382339848,0.4118703596460593,0.25,137406.02319444806,20798.59804652244,28000.0,186204.6212409705,0.0
2027-06,122525.098632237,387179.31167786894,509704.41031010594,444819.65413430217,444819.65413430217,64884.75617580378,0.41104661892676714,0.25,137131.21114805917,26670.659645951815,28000.0,191801.870794011,0.0
2027-07,123596.03188780813,397979.22267874226,521575.2545665504,444819.65413430217,444819.65413430217,76755.6004322482,0.4102245256889136,0.25,136856.94872576304,31487.02978128679,28000.0,196343.97850704982,0.0
2027-08,124657.60346150064,408876.9393537222,533534.5428152229,444819.65413430217,444819.65413430217,88714.8886809207,0.4094040766375358,0.25,136583.2348283115,36320.23708441412,28000.0,200903.47191272562,0.0
2027-09,126213.89518949534,421554.4099329145,547768.3051224098,444819.65413430217,444819.65413430217,102948.65098810766,0.4085852684842607,0.25,136310.06835865488,42063.30220406842,28000.0,206373.3705627233,0.0
2027-10,127756.58242067191,434372.3802302846,562128.9626509565,444819.65413430217,444819.65413430217,117309.3085166543,0.4077680979472922,0.25,136037.44822193758,47834.99360534821,28000.0,211872.4418272858,0.0
2027-11,129159.78408024876,446892.8529176608,576052.6369979095,444819.65413430217,444819.65413430217,131232.98286360735,0.4069525617513976,0.25,135765.3733254937,53405.598562622275,28000.0,217170.97188811598,0.0
2027-12,131054.7194968266,461312.6126288298,592367.3321256564,444819.65413430217,444819.65413430217,147547.67799135426,0.40613865662789483,0.25,135493.8425788427,59924.81572797382,28000.0,223418.65830681653,0.0
2028-01,132177.09012520846,473193.9826482464,605371.0727734548,444819.65413430217,444819.65413430217,160551.41863915266,0.405326379314639,0.25,135222.85489368503,65075.725210836594,28000.0,228298.58010452162,0.0
2028-02,133415.64942621,485632.96391140454,619048.6133376146,444819.65413430217,444819.65413430217,174228.9592033124,0.4045157265560097,0.25,134952.40918389763,70478.3540192253,28000.0,233430.76320312294,0.0
