month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1896810.2462908672,174264.46122185857,2071074.7075127258,150990.80270899183,62132.241225381775,31066.12061269089,276901.48091931344,0.0,521090.64546637796,1549984.062046348,0.748396017016602,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,69524.73021831657,396900.0,780162.4511277849,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2205549.1986791394,-655565.1366327915,-0.3165337948721791,139.16,26.46,70.56,27.44,14.7,24852896.49015271
2026-10,1938531.0512908672,182865.1403929415,2121396.191683809,154738.8157502424,63641.88575051426,31820.94287525713,276901.48091931344,0.0,527103.1252953273,1594293.0663884815,0.7515300878913376,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,69962.37867354868,396900.0,780600.0995830169,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2205986.8471343713,-611693.7807458898,-0.28834490376848093,139.16,26.46,70.56,27.44,14.7,25456754.300205704
2026-11,1978265.1512908672,191506.33464550905,2169771.4859363763,158370.4148155258,65093.14457809128,32546.572289045645,276901.48091931344,0.0,532911.6126019761,1636859.8733344001,0.7543927477819189,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,68015.9811287808,378000.0,759753.7020382491,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2185140.4495896036,-548280.5762552035,-0.2526904698531376,139.16,26.46,70.56,27.44,14.7,26037257.831236515
2026-12,2025946.0712908672,201289.80501934246,2227235.8763102097,162626.75437997506,66817.0762893063,33408.53814465315,276901.48091931344,0.0,539753.8497332479,1687482.0265769619,0.7576575272182483,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,77968.97318138283,453600.0,845306.6940908511,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2270693.4416422057,-583211.4150652438,-0.26185435555727105,139.16,26.46,70.56,27.44,14.7,26726830.515722513
2027-01,2164792.0993554103,209991.69188882606,2374783.7912442363,166011.91533145303,71243.51373732708,35621.75686866354,286593.03275148943,0.0,559470.2186889331,1815313.572555303,0.7644121453280569,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,66310.50824450525,340200.0,731229.0493858049,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2197390.3051014566,-382076.7325461535,-0.16088906028197603,139.16,26.46,70.56,27.44,14.7,28497405.494930834
2027-02,2204426.8641054104,219162.92668007998,2423589.7907854905,170682.70370331188,72707.69372356472,36353.84686178236,286593.03275148943,0.0,566337.2770401484,1857252.5137453421,0.7663229647222614,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,70270.2420964394,359099.99999999994,754088.783237739,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2220250.0389533904,-362997.5252080483,-0.14977680075570876,139.16,26.46,70.56,27.44,14.7,29083077.489425883
2027-03,2250319.7496054103,229316.56735516863,2479636.316960579,176170.9907303685,74389.08950881736,37194.54475440868,286593.03275148943,0.0,574347.657745084,1905288.6592154948,0.7683742354406664,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,78195.75302890994,415800.00000000006,818714.2941702097,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2284875.549885861,-379586.89067036635,-0.1530816789841367,139.16,26.46,70.56,27.44,14.7,29755635.80352695
2027-04,2289954.5143554104,239002.38508757972,2528956.8994429903,181067.89157403534,75868.70698328971,37934.353491644855,286593.03275148943,0.0,581463.9848004594,1947492.914642531,0.7700775426704471,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,71167.42142966525,359099.99999999994,754985.9625709648,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2221147.2182866163,-273654.3036440853,-0.10820836990316379,139.16,26.46,70.56,27.44,14.7,30347482.793315884
2027-05,2331675.3193554105,249203.14056893476,2580878.4599243454,186204.6212409705,77426.35379773036,38713.17689886518,286593.03275148943,0.0,588937.1846890554,1991941.27523529,0.7718074702726143,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,74086.43576213576,378000.0,776804.9769034354,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2242966.232619087,-251024.95738379727,-0.09726337806358991,139.16,26.46,70.56,27.44,14.7,30970541.519092143
2027-06,2377568.2048554104,260210.87953850348,2637779.084393914,191801.870794011,79133.37253181741,39566.686265908706,286593.03275148943,0.0,597094.9623432265,2040684.1220506872,0.7736372367663905,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,79530.5808173679,415800.00000000006,820049.1219586676,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2286210.3776743193,-245526.2556236321,-0.09308067422183197,139.16,26.46,70.56,27.44,14.7,31653349.012726966
