month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-505112.4132510433,-0.0,-21518.55012260098,31560.540179815143,0.0,-495070.42319382913,24750279.18739851,24255208.76420468,3053028.0940643344,4477774.537961024,495070.42319382913,48.99345149267445
2026-10,-492382.14036632096,-0.0,-21440.1146852565,31445.501538376324,0.0,-482376.75351320114,24255208.76420468,23772832.01069148,3074468.208749591,4509220.0394994,488723.58835351514,48.6426941060507
2026-11,-467908.5484003376,-0.0,-19537.02061072318,28654.296895728447,0.0,-458791.2721153323,23772832.01069148,23314040.738576144,3094005.229360314,4537874.336395129,478746.1496074542,48.698126883511
2026-12,-503508.15459449403,-0.0,-26778.61541763181,39275.30261252541,0.0,-491011.4673996004,23314040.738576144,22823029.271176547,3120783.844777946,4577149.639007654,477393.1643427113,47.8076163964349
2027-01,-423984.98488368397,-0.0,-102312.32674970245,150058.0792328976,0.0,-376239.2324004888,22823029.271176547,22446790.038776055,3223096.1715276483,4727207.718240552,442013.9906384738,50.7829854126392
2027-02,-426678.66076147393,-0.0,-17902.158116601873,26256.498571014963,0.0,-418324.32030706084,22446790.038776055,22028465.718468994,3240998.32964425,4753464.216811567,428525.00670238334,51.405321448995565
2027-03,-451448.6773736393,-0.0,-23492.453473887872,34455.5984283695,0.0,-440485.5324191577,22028465.718468994,21587980.186049838,3264490.783118138,4787919.815239936,411683.0283755691,52.438353534349766
2027-04,-402169.81911711046,-0.0,-17749.297481555026,26032.302972947247,0.0,-393886.81362571823,21587980.186049838,21194093.37242412,3282240.080599693,4813952.118212883,417565.55545064557,50.75632579308656
2027-05,-403438.8772338836,-0.0,-19577.9022249314,28714.25659656711,0.0,-394302.5228622479,21194093.37242412,20799790.84956187,3301817.9828246245,4842666.3748094505,409558.2896357079,50.78591100686248
2027-06,-415431.30411105044,-0.0,-23291.98620530218,34161.57976777572,0.0,-404561.7105485769,20799790.84956187,20395229.139013294,3325109.9690299267,4876827.954577226,397583.68234551436,51.29795322255986
2027-07,-342703.00621165126,-0.0,-13745.177783791907,20159.594082894735,0.0,-336288.5899125484,20395229.139013294,20058940.549100745,3338855.1468137186,4896987.548660121,378384.2744411244,53.01208825004133
2027-08,-334527.6925193635,-0.0,-13703.911884762812,20099.07076431997,0.0,-328132.5336398063,20058940.549100745,19730808.01546094,3352559.0586984814,4917086.619424441,356327.6113669772,55.37266096154539
2027-09,-373539.30749937287,-0.0,-21253.126136722974,31171.251667192206,0.0,-363621.18196890363,19730808.01546094,19367186.833492037,3373812.1848352044,4948257.871091633,342680.76850708615,56.51670187932228
2027-10,-360974.73413055856,-0.0,-21180.827976539265,31065.214365591295,0.0,-351090.3477415065,19367186.833492037,19016096.48575053,3394993.0128117437,4979323.085457224,347614.6877834055,54.7045253093541
2027-11,-336666.6471325876,-0.0,-19207.195108160377,28170.552825301886,0.0,-327703.2894154461,19016096.48575053,18688393.196335085,3414200.207919904,5007493.638282526,347471.6063752854,53.783943359535265
2027-12,-372451.45670014597,-0.0,-26762.66335261194,39251.90625049826,0.0,-359962.21380225965,18688393.196335085,18328430.982532825,3440962.871272516,5046745.544533025,346251.9503197374,52.933798540652
2028-01,-289850.61842118483,-0.0,-110160.25707097538,161568.37703743018,0.0,-238442.49845473003,18328430.982532825,18089988.484078094,3551123.1283434913,5208313.921570455,308702.66722414526,58.6000394708063
2028-02,-292878.82700423384,-0.0,-17491.288453214802,25653.88973138109,0.0,-284716.22572606755,18089988.484078094,17805272.258352026,3568614.416796706,5233967.811301836,294373.6459943524,60.4852795100198
