month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,444819.65413430217,381858.6062761571,0.0,0.41935870973235456,0.25,120101.79932112331,0.0,28000.0,148101.7993211233,62961.04785814509
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,444819.65413430217,384487.8667324126,0.0,0.41935870973235456,0.25,120928.75177548753,0.0,28000.0,148928.75177548753,60331.78740188957
2026-11,106868.23450921947,279994.774414155,386863.00892337447,444819.65413430217,386863.00892337447,0.0,0.41935870973235456,0.25,121675.77919896203,0.0,28000.0,149675.77919896203,57956.6452109277
2026-12,107213.45886447975,283043.53140222654,390256.99026670627,444819.65413430217,390256.99026670627,0.0,0.41935870973235456,0.25,122743.25092670848,0.0,28000.0,150743.25092670848,54562.6638675959
2027-01,107134.37139533788,284977.42791159876,392111.7993069366,444819.65413430217,392111.7993069366,0.0,0.41935870973235456,0.25,123326.62367114167,0.0,28000.0,151326.6236711417,52707.85482736555
2027-02,107126.27172231801,287098.4082158123,394224.6799381303,444819.65413430217,394224.6799381303,0.0,0.41935870973235456,0.25,123991.16484262858,0.0,28000.0,151991.16484262858,50594.974196171854
2027-03,107328.27321356203,289786.3376766175,397114.6108901795,444819.65413430217,397114.6108901795,0.0,0.41935870973235456,0.25,124900.1031290788,0.0,28000.0,152900.1031290788,47705.043244122644
2027-04,107317.75172244415,291904.28468504816,399222.0364074923,444819.65413430217,399222.0364074923,0.0,0.41935870973235456,0.25,125562.92856342679,0.0,28000.0,153562.92856342677,45597.61772680987
2027-05,107377.36164390322,294213.97090429487,401591.33254819806,444819.65413430217,401591.33254819806,0.0,0.41935870973235456,0.25,126308.11729283194,0.0,28000.0,154308.11729283194,43228.32158610411
2027-06,107576.22704224264,296910.3866365897,404486.61367883236,444819.65413430217,404486.61367883236,0.0,0.41935870973235456,0.25,127218.73831227337,0.0,28000.0,155218.73831227337,40333.0404554698
2027-07,107422.60862776804,298634.8519851952,406057.46061296324,444819.65413430217,406057.46061296324,0.0,0.41935870973235456,0.25,127712.79956988648,0.0,28000.0,155712.79956988647,38762.19352133892
2027-08,107270.90889492197,300358.5449057815,407629.4538007035,444819.65413430217,407629.4538007035,0.0,0.41935870973235456,0.25,128207.2213460756,0.0,28000.0,156207.2213460756,37190.20033359865
2027-09,107401.10387952534,302871.1129402615,410272.2168197868,444819.65413430217,410272.2168197868,0.0,0.41935870973235456,0.25,129038.42061343396,0.0,28000.0,157038.42061343396,34547.43731451535
2027-10,107529.6727392534,305384.2705794797,412913.9433187331,444819.65413430217,412913.9433187331,0.0,0.41935870973235456,0.25,129869.29387548186,0.0,28000.0,157869.29387548188,31905.710815569095
2027-11,107586.6357842749,307697.77834302624,415284.41412730113,444819.65413430217,415284.41412730113,0.0,0.41935870973235456,0.25,130614.85206028636,0.0,28000.0,158614.85206028636,29535.240007001034
2027-12,107922.88736545035,310817.9156124971,418740.8029779474,444819.65413430217,418740.8029779474,0.0,0.41935870973235456,0.25,131701.95213684157,0.0,28000.0,159701.95213684157,26078.851156354765
2028-01,107834.93919144955,312721.32365520374,420556.2628466533,444819.65413430217,420556.2628466533,0.0,0.41935870973235456,0.25,132272.94881792512,0.0,28000.0,160272.94881792512,24263.391287648876
2028-02,107818.08948306105,314828.8212905383,422646.91077359935,444819.65413430217,422646.91077359935,0.0,0.41935870973235456,0.25,132930.49738078666,0.0,28000.0,160930.49738078666,22172.74336070282
