month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,148101.7993211233,61060.56188128669,30530.280940643344,276901.48091931344,0.0,516594.1230623668,1518757.9396471896,0.7461893042844625,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023870.3528982329,-505112.4132510433,-0.2481695538110561,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,148928.75177548753,61489.36417499182,30744.68208749591,276901.48091931344,0.0,518064.2789572887,1531581.1935424386,0.7472420055525687,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42288.86544793661,242550.00000000003,598576.586357405,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023963.3339087595,-492382.14036632096,-0.2402279550159553,139.16,26.46,70.56,27.44,14.7,24595745.669996727
2026-11,1889749.1758335782,172920.9770732981,2062670.1529068763,149675.77919896203,61880.10458720629,30940.05229360315,276901.48091931344,0.0,519397.41699908493,1543272.7359077914,0.7481917231084624,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,41056.81584730635,231000.0,585794.5367567746,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2011181.284308129,-467908.5484003376,-0.22684603630925876,139.16,26.46,70.56,27.44,14.7,24752041.834882516
2026-12,1904844.6958847682,175677.86730052912,2080522.5631852972,150743.25092670848,62415.676895558914,31207.83844777946,276901.48091931344,0.0,521268.2471893603,1559254.3159959367,0.7494532112205049,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,46438.00212960807,277200.0,637375.7230390764,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2062762.4705904308,-503508.15459449403,-0.2420104273339958,139.16,26.46,70.56,27.44,14.7,24966270.758223567
2027-01,1970968.2027716942,177762.5782467383,2148730.781018432,151326.6236711417,64461.92343055297,32230.961715276484,286593.03275148943,0.0,534612.5415684606,1614118.2394499716,0.7511961264337309,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,39323.42747670445,207900.0,571941.9686180041,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2038103.2243336556,-423984.98488368397,-0.1973188026294891,139.16,26.46,70.56,27.44,14.7,25784769.372221187
2027-02,1980684.526538643,179981.02655752364,2160665.553096167,151991.16484262858,64819.966592885,32409.983296442504,286593.03275148943,0.0,535814.1474834455,1624851.4056127213,0.7520143056311328,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,41200.269517243956,219449.99999999997,585368.8106585436,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2051530.0663741953,-426678.66076147393,-0.19747556957626164,139.16,26.46,70.56,27.44,14.7,25927986.637154
2027-03,1993752.7778463308,182574.41089909463,2176327.1887454255,152900.1031290788,65289.815662362766,32644.907831181383,286593.03275148943,0.0,537427.8593741124,1638899.329371313,0.7530574161121792,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,45368.209888001344,254100.00000000003,624186.751029301,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2090348.0067449524,-451448.6773736393,-0.20743603246251005,139.16,26.46,70.56,27.44,14.7,26115926.264945105
2027-04,2003331.726390999,184828.32734212955,2188160.0537331286,153562.92856342677,65644.80161199385,32822.40080599693,286593.03275148943,0.0,538623.163732907,1649536.8900002216,0.7538465420689933,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,41376.912260380734,219449.99999999997,585545.4534016803,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2051706.709117332,-402169.81911711046,-0.18379360249767165,139.16,26.46,70.56,27.44,14.7,26257920.644797545
2027-05,2013989.757253942,187222.23129580778,2201211.98854975,154308.11729283194,66036.3596564925,33018.17982824625,286593.03275148943,0.0,539955.6895290602,1661256.2990206897,0.7547007319886507,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,42815.37939762209,231000.0,598533.9205389217,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2064695.1762545733,-403438.8772338836,-0.18328033798311535,139.16,26.46,70.56,27.44,14.7,26414543.862597
2027-06,2026857.201065434,189882.77828785055,2216739.9793532845,155218.73831227337,66502.19938059853,33251.09969029927,286593.03275148943,0.0,541565.0701346606,1675174.9092186238,0.7556930108272519,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,45626.416472722885,254100.00000000003,624444.9576140225,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2090606.2133296742,-415431.30411105044,-0.18740642022987697,139.16,26.46,70.56,27.44,14.7,26600879.752239414
