month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-708601.3343256055,-0.0,-102092.69474734413,149735.95229610614,0.0,-660958.0767768435,24750279.18739851,24089321.110621665,3133602.2386890776,4595949.950077315,660958.0767768435,36.44606512427087
2026-10,-649126.5683831228,-0.0,-103182.46708446648,151334.28505721595,0.0,-600974.7504103733,24089321.110621665,23488346.36021129,3236784.705773544,4747284.235134531,630966.4135936084,37.225985177936295
2026-11,-566953.9836789328,-0.0,-100238.39484957838,147016.31244604941,0.0,-520176.06608246174,23488346.36021129,22968170.294128828,3337023.1006231224,4894300.54758058,594036.2977565596,38.66459066705273
2026-12,-598185.7721038582,-0.0,-117643.55324484594,172543.8780924417,0.0,-543285.4472562624,22968170.294128828,22424884.846872568,3454666.6538679684,5066844.425673022,554812.0879163658,40.41888296105936
2027-01,-322088.8857280016,-0.0,-317665.69169515884,465909.68115289696,0.0,-173844.89627026347,22424884.846872568,22251039.950602304,3772332.345563127,5532754.106825919,412435.46986966254,53.95035484613886
2027-02,-289695.234235805,-0.0,-104921.49358066125,153884.85725163668,0.0,-240731.87056482956,22251039.950602304,22010308.080037475,3877253.8391437884,5686638.964077556,319287.4046971185,68.93572297634738
2027-03,-296811.6793739598,-0.0,-119240.05003186688,174885.40671340656,0.0,-241166.3226924201,22010308.080037475,21769141.757345054,3996493.8891756553,5861524.370790962,218581.0298425044,99.59300572895332
2027-04,-162849.94277410442,-0.0,-107297.49951045029,157369.6659486601,0.0,-112777.7763358946,21769141.757345054,21656363.98100916,4103791.3886861056,6018894.036739622,198225.32319771475,109.25124818390925
2027-05,-124286.72048959183,-0.0,-112921.14483400993,165617.67908988055,0.0,-71590.18623372121,21656363.98100916,21584773.794775438,4216712.533520116,6184511.715829503,141844.76175401197,152.17180760053643
2027-06,-104591.06001578178,-0.0,-123106.2768537933,180555.87271889672,0.0,-47141.46415067837,21584773.794775438,21537632.33062476,4339818.810373909,6365067.5885483995,77169.80890676472,279.09402181682435
2027-07,75723.69413419813,-0.0,-102075.47519652639,149710.6969549032,0.0,123358.91589257494,21537632.33062476,21660991.246517334,4441894.285570435,6514778.285503303,-1542.421836058454,inf
2027-08,133474.7266998235,-0.0,-103233.9342845194,151409.7702839654,0.0,181650.5626992695,21660991.246517334,21842641.809216604,4545128.219854955,6666188.055787268,-85956.00481372203,inf
2027-09,79773.40142509341,-3500.0,-122550.94540383946,179741.38659229595,0.0,133463.8426135499,21842641.809216604,21976105.651830155,4667679.165258794,6845929.442379564,-146157.77373513146,inf
2027-10,162800.68196545634,-0.0,-123980.68550877087,181838.33874620032,0.0,220658.3352028858,21976105.651830155,22196763.98703304,4791659.850767565,7027767.781125764,-178590.91350523508,inf
2027-11,255238.71593104023,-0.0,-120857.41505886894,177257.54208633862,0.0,311638.8429585099,22196763.98703304,22508402.82999155,4912517.265826434,7205025.323212103,-221920.3402583152,inf
2027-12,235669.6562832906,-0.0,-140735.55597360153,206412.1487612836,0.0,301346.24907097267,22508402.82999155,22809749.07906252,5053252.821800035,7411437.471973387,-277881.14241078944,inf
2028-01,555044.2647501859,-3500.0,-426879.2293645367,626089.5364013193,0.0,750754.5717869685,22809749.07906252,23560503.65084949,5480132.051164572,8037527.008374706,-454579.88793881703,inf
2028-02,612915.1987885237,-0.0,-126609.85675020516,185694.456566968,0.0,671999.7986052865,23560503.65084949,24232503.449454777,5606741.907914777,8223221.464941674,-574700.2064877426,inf
