month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,109021.28343282941,288906.40109699796,397927.6845298274,444819.65413430217,397927.6845298274,0.0,0.4181006336031575,0.25,124780.36277261865,0.0,28000.0,152780.36277261865,46891.96960447478
2026-10,111500.37835171222,305511.0366836915,417011.4150354037,444819.65413430217,417011.4150354037,0.0,0.416846331702348,0.25,130372.25897663506,0.0,28000.0,158372.25897663506,27808.239098898484
2026-11,113808.30706880482,322077.50900471763,435885.81607352244,444819.65413430217,435885.81607352244,0.0,0.41559579270724095,0.25,135864.23344568865,0.0,28000.0,163864.23344568865,8933.83806077973
2026-12,116716.25480438143,340811.4640287938,457527.71883317525,444819.65413430217,444819.65413430217,12708.064698873088,0.4143490053291193,0.25,138232.93593104323,5265.573967636157,28000.0,171498.5098986794,0.0
2027-01,118680.0667971738,357227.0010594932,475907.06785666704,444819.65413430217,444819.65413430217,31087.413722364872,0.4131059583131319,0.25,137818.2371232501,12842.395837254347,28000.0,178660.63296050444,0.0
2027-02,120784.28060431805,374431.26987338596,495215.55047770403,444819.65413430217,444819.65413430217,50395.896343401866,0.4118666404381925,0.25,137404.78241188033,20756.388518828317,28000.0,186161.17093070864,0.0
2027-03,123335.92402992988,393441.5976554764,516777.52168540633,444819.65413430217,444819.65413430217,71957.86755110417,0.4106310405168779,0.25,136992.56806464467,29548.134025885585,28000.0,194540.70209053025,0.0
2027-04,125407.89890013177,411337.9083924323,536745.8072925641,444819.65413430217,444819.65413430217,91926.1531582619,0.4093991473953273,0.25,136581.59036045076,37634.4887263247,28000.0,202216.07908677545,0.0
2027-05,127619.52662353618,430077.804721317,557697.3313448532,444819.65413430217,444819.65413430217,112877.67721055099,0.4081709499531413,0.25,136171.84558936942,46073.388735534645,28000.0,210245.23432490407,0.0
2027-06,130123.84019035238,450228.48705861927,580352.3272489717,444819.65413430217,444819.65413430217,135532.6731146695,0.4069464371032819,0.25,135763.3300526013,55154.53843509852,28000.0,218917.8684876998,0.0
2027-07,131840.81293181068,468034.88590792805,599875.6988397387,444819.65413430217,444819.65413430217,155056.04470543656,0.40572559779197204,0.25,135356.0400624435,62910.20642937199,28000.0,226266.2464918155,0.0
2027-08,133545.89669704478,486107.0639772431,619652.9606742879,444819.65413430217,444819.65413430217,174833.3065399857,0.40450842099859613,0.25,134949.97194225618,70721.54476645315,28000.0,233671.51670870933,0.0
2027-09,135855.17380987506,506739.7983108342,642594.9721207093,444819.65413430217,444819.65413430217,197775.31798640708,0.4032948957356003,0.25,134545.12202642937,79761.77624640324,28000.0,242306.89827283262,0.0
2027-10,138148.46060438137,527727.119508737,665875.5801131184,444819.65413430217,444819.65413430217,221055.92597881623,0.40208501104839356,0.25,134141.4866603501,88883.2744395052,28000.0,251024.7610998553,0.0
2027-11,140271.86780364608,548463.0031122564,688734.8709159025,444819.65413430217,444819.65413430217,243915.21678160038,0.40087875601524836,0.25,133739.06220036905,97780.42867659758,28000.0,259519.49087696662,0.0
2027-12,142996.5717189874,571986.2868759498,714982.8585949373,444819.65413430217,444819.65413430217,270163.2044606351,0.3996761197472026,0.25,133337.84501376795,107977.78125729677,28000.0,269315.62627106474,0.0
2028-01,144778.40874187008,592143.6917542488,736922.1004961189,444819.65413430217,444819.65413430217,292102.4463618167,0.398477091387961,0.25,132937.83147872664,116396.13321356462,28000.0,277333.9646922913,0.0
2028-02,146701.90764342505,613213.9739495169,759915.8815929419,444819.65413430217,444819.65413430217,315096.22745863977,0.3972816601137971,0.25,132539.0179842905,125181.95234036303,28000.0,285720.97032465355,0.0
