month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1910656.6873048425,178411.4718212093,2089068.1591260517,152780.36277261865,62672.04477378155,31336.022386890774,276901.48091931344,0.0,523689.91085260443,1565378.2482734472,0.7493188967698944,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,82095.11413822988,452760.00000000006,848592.8350476982,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2273979.5825990527,-708601.3343256055,-0.33919493302796033,139.16,26.46,70.56,27.44,14.7,25068817.909512624
2026-10,1966360.9771379924,191495.49337770333,2157856.470515696,158372.25897663506,64735.69411547088,32367.84705773544,276901.48091931344,0.0,532377.2810691549,1625479.189446541,0.7532842020109315,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,82721.28936884114,452760.00000000006,849219.0102783095,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2274605.757829664,-649126.5683831228,-0.30082008569735463,139.16,26.46,70.56,27.44,14.7,25894277.64618835
2026-11,2019774.4537773456,204907.61330473606,2224682.0670820815,163864.23344568865,66740.46201246243,33370.231006231224,276901.48091931344,0.0,540876.4073836957,1683805.6596983857,0.7568747393675378,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,80435.1749164958,431200.00000000006,825372.8958259642,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2250759.6433773185,-566953.9836789328,-0.25484719460275784,139.16,26.46,70.56,27.44,14.7,26696184.80498498
2026-12,2083032.4424595677,220078.660119078,2303111.1025786456,171498.5098986794,69093.33307735936,34546.66653867968,276901.48091931344,0.0,552039.9904340319,1751071.1121446136,0.7603068346047448,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,92692.41578764928,517440.0,923870.1366971176,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2349256.884248472,-598185.7721038582,-0.25972944658818586,139.16,26.46,70.56,27.44,14.7,27637333.23094375
2027-01,2280749.0690793036,234139.16129611444,2514888.230375418,178660.63296050444,75446.64691126253,37723.32345563127,286593.03275148943,0.0,578423.6360788876,1936464.5942965304,0.7700002612074169,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,79593.68316758053,388080.00000000006,792392.2243088803,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2258553.480024532,-322088.8857280016,-0.1280728430940729,139.16,26.46,70.56,27.44,14.7,30178658.764505014
2027-02,2335739.2159165833,249096.676845942,2584835.8927625255,186161.17093070864,77545.07678287577,38772.53839143788,286593.03275148943,0.0,589071.8188565117,1995764.0739060137,0.7721047512122925,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,84939.51128486746,409640.0,819298.0524261671,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2285459.3081418187,-289695.234235805,-0.11207490388343193,139.16,26.46,70.56,27.44,14.7,31018030.713150304
2027-03,2398659.489240783,265669.77020965406,2664329.259450437,194540.70209053025,79929.8777835131,39964.93889175655,286593.03275148943,0.0,601028.5515172894,2063300.7079331477,0.7744165630484944,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,94912.5904501559,474320.0000000001,893951.1315914557,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2360112.3873071074,-296811.6793739598,-0.11140202672817631,139.16,26.46,70.56,27.44,14.7,31971951.113405243
2027-04,2453940.434983147,281920.49080759,2735860.925790737,202216.07908677545,82075.8277737221,41037.91388686106,286593.03275148943,0.0,611922.853498848,2123938.0722918888,0.7763326170090367,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,86268.21820904208,409640.0,820626.7593503417,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2286788.015065993,-162849.94277410442,-0.05952420360221214,139.16,26.46,70.56,27.44,14.7,32830331.109488845
2027-05,2511955.8871009797,299185.8019124306,2811141.6890134104,210245.23432490407,84334.25067040231,42167.125335201155,286593.03275148943,0.0,623339.6430819969,2187802.0459314133,0.7782610369594133,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,90008.96956405386,431200.00000000006,845927.5107053536,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2312088.766421005,-124286.72048959183,-0.0442121864491331,139.16,26.46,70.56,27.44,14.7,33733700.268160924
2027-06,2575310.7582746972,317901.78197457554,2893212.5402492727,218917.8684876998,86796.37620747818,43398.18810373909,286593.03275148943,0.0,635705.4655504066,2257507.0746988663,0.780276956253053,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,96898.33785769675,474320.0000000001,895936.8789989965,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2362098.134714648,-104591.06001578178,-0.036150493114747266,139.16,26.46,70.56,27.44,14.7,34718550.48299127
