month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-696562.0708691222,-0.0,-75102.51732735522,110150.35874678846,0.0,-661514.2294496889,24750279.18739851,24088764.95794882,3106612.0612690886,4556364.356527997,661514.2294496889,36.414583217640185
2026-10,-653940.0526626371,-0.0,-75482.2262566248,110707.26517638285,0.0,-618715.013742879,24088764.95794882,23470049.94420594,3182094.2875257134,4667071.62170438,640114.621596284,36.665386404824766
2026-11,-591737.3811937121,-0.0,-72562.94137885096,106425.64735564776,0.0,-557874.6752169153,23470049.94420594,22912175.268989027,3254657.2289045644,4773497.269060028,612701.3061364944,37.39534262374295
2026-12,-628086.9998585689,-0.0,-86196.58556075022,126421.65882243402,0.0,-587861.9265968851,22912175.268989027,22324313.34239214,3340853.8144653146,4899918.927882462,588150.5385188932,37.956801669535515
2027-01,-428080.70432330435,-0.0,-221321.87240104005,324605.4128548587,0.0,-324797.1638694857,22324313.34239214,21999516.178522654,3562175.6868663547,5224524.3407373205,490177.9218944287,44.8806753545721
2027-02,-409075.4479092895,-0.0,-73208.99931188114,107373.19899075851,0.0,-374911.24823041214,21999516.178522654,21624604.93029224,3635384.686178236,5331897.539728079,429190.11289892765,50.384676348275384
2027-03,-425572.6575262048,-0.0,-84069.78926263237,123302.35758519545,0.0,-386340.08920364175,21624604.93029224,21238264.8410886,3719454.475440868,5455199.897313274,362016.1671011799,58.666619811906685
2027-04,-319548.09896621224,-0.0,-73980.87372361729,108505.28146130498,0.0,-285023.69122852455,21238264.8410886,20953241.149860077,3793435.3491644855,5563705.178774579,348758.34288752615,60.079540969196124
2027-05,-296826.9651152799,-0.0,-77882.34072203236,114227.43305898085,0.0,-260481.8727783314,20953241.149860077,20692759.277081743,3871317.689886518,5677932.61183356,310615.21773683256,66.61862682662765
2027-06,-291236.6593396517,-0.0,-85350.93670435296,125181.37383305095,0.0,-251406.2222109537,20692759.277081743,20441353.05487079,3956668.626590871,5803113.985666611,265637.2620726032,76.95212974030662
2027-07,-145799.67048510956,-0.0,-68093.4778443519,99870.43417171575,0.0,-114022.71415774571,20441353.05487079,20327330.340713046,4024762.1044352227,5902984.419838327,208636.9363823436,97.42920258118444
2027-08,-107058.17411395512,-0.0,-68453.01518004248,100397.75559739489,0.0,-75113.4336966027,20327330.340713046,20252216.90701644,4093215.119615265,6003382.175435722,146847.45668843403,137.91329699352934
2027-09,-145526.18262541015,-0.0,-83082.45398262469,121854.26584118325,0.0,-106754.37076685159,20252216.90701644,20145462.536249593,4176297.57359789,6125236.441276905,98630.17287373333,204.25253195125066
2027-10,-98209.80898448406,-0.0,-83535.23937891563,122518.35108907707,0.0,-59226.69727432262,20145462.536249593,20086235.83897527,4259832.8129768055,6247754.792365982,80364.83391259231,249.93812419026193
2027-11,-31283.582333961967,-0.0,-80403.68741968367,117925.40821553487,0.0,6238.138461889233,20086235.83897527,20092473.977437157,4340236.500396489,6365680.200581517,53247.64319309499,377.3401557806918
2027-12,-62840.44656785764,-0.0,-95263.27789186407,139719.474241402,0.0,-18384.250218319707,20092473.977437157,20074089.727218837,4435499.778288353,6505399.674822919,23790.936343584366,843.7704778539395
2028-01,168866.52216965798,-0.0,-274009.46726608556,401880.5519902585,0.0,296737.60689383093,20074089.727218837,20370827.334112667,4709509.245554439,6907280.226813178,-94863.83171246682,inf
2028-02,192149.24566359492,-0.0,-81117.90728839766,118972.93068964966,0.0,230004.2690648469,20370827.334112667,20600831.603177514,4790627.152842836,7026253.157502827,-169452.5419134527,inf
