month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,108239.70336232528,283588.02280929225,391827.7261716175,0.0,0.0,391827.7261716175,0.41851999231288983,0.0,0.0,163987.73694532245,28000.0,191987.73694532245,0.0
2026-10,109939.51398568007,294637.8974816226,404577.41146730265,0.0,0.0,404577.41146730265,0.4176829523282641,0.0,0.0,168985.08766698986,28000.0,196985.08766698986,0.0
2026-11,111498.4655258688,305505.7955408805,417004.26106674934,0.0,0.0,417004.26106674934,0.41684758642360753,0.0,0.0,173827.2197540344,28000.0,201827.2197540344,0.0
2026-12,113547.78931819598,317933.81009094877,431481.5994091447,0.0,0.0,431481.5994091447,0.4160138912507603,0.0,0.0,179502.33917330008,28000.0,207502.33917330008,0.0
2027-01,114823.19871921046,328394.3483369419,443217.54705615237,0.0,0.0,443217.54705615237,0.4151818634682588,0.0,0.0,184015.88710860402,28000.0,212015.88710860402,0.0
2027-02,116213.45898743329,339343.3002433053,455556.75923073856,0.0,0.0,455556.75923073856,0.4143514997413223,0.0,0.0,188760.62640455298,28000.0,216760.62640455298,0.0
2027-03,117969.56614126555,351549.30710097135,469518.8732422369,0.0,0.0,469518.8732422369,0.41352279674183967,0.0,0.0,194156.75758620712,28000.0,222156.75758620712,0.0
2027-04,119332.32208956424,362770.25915227534,482102.58124183957,0.0,0.0,482102.58124183957,0.41269575114835594,0.0,0.0,198961.68689616228,28000.0,226961.68689616228,0.0
2027-05,120809.16535553672,374508.4126021639,495317.57795770065,0.0,0.0,495317.57795770065,0.4118703596460593,0.0,0.0,204006.62897245318,28000.0,232006.62897245318,0.0
2027-06,122525.098632237,387179.31167786894,509704.41031010594,0.0,0.0,509704.41031010594,0.41104661892676714,0.0,0.0,209512.27451003066,28000.0,237512.27451003066,0.0
2027-07,123596.03188780813,397979.22267874226,521575.2545665504,0.0,0.0,521575.2545665504,0.4102245256889136,0.0,0.0,213962.9614156375,28000.0,241962.9614156375,0.0
2027-08,124657.60346150064,408876.9393537222,533534.5428152229,0.0,0.0,533534.5428152229,0.4094040766375358,0.0,0.0,218431.21685549614,28000.0,246431.21685549614,0.0
2027-09,126213.89518949534,421554.4099329145,547768.3051224098,0.0,0.0,547768.3051224098,0.4085852684842607,0.0,0.0,223810.06001560824,28000.0,251810.06001560824,0.0
2027-10,127756.58242067191,434372.3802302846,562128.9626509565,0.0,0.0,562128.9626509565,0.4077680979472922,0.0,0.0,229218.25790126497,28000.0,257218.25790126497,0.0
2027-11,129159.78408024876,446892.8529176608,576052.6369979095,0.0,0.0,576052.6369979095,0.4069525617513976,0.0,0.0,234426.0963299472,28000.0,262426.09632994724,0.0
2027-12,131054.7194968266,461312.6126288298,592367.3321256564,0.0,0.0,592367.3321256564,0.40613865662789483,0.0,0.0,240583.2724997641,28000.0,268583.2724997641,0.0
2028-01,132177.09012520846,473193.9826482464,605371.0727734548,0.0,0.0,605371.0727734548,0.405326379314639,0.0,0.0,245372.8650690833,28000.0,273372.8650690833,0.0
2028-02,133415.64942621,485632.96391140454,619048.6133376146,0.0,0.0,619048.6133376146,0.4045157265560097,0.0,0.0,250414.8995977555,28000.0,278414.8995977555,0.0
