month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-545146.3463580844,-0.0,-21518.55012260098,31560.540179815143,0.0,-535104.3563008702,24750279.18739851,24215174.831097636,3053028.0940643344,4477774.537961024,535104.3563008702,45.25318201200049
2026-10,-532691.7242914834,-0.0,-21440.1146852565,31445.501538376324,0.0,-522686.3374383636,24215174.831097636,23692488.493659273,3074468.208749591,4509220.0394994,528895.3468696169,44.79617495954249
2026-11,-508467.14146665833,-0.0,-19537.02061072318,28654.296895728447,0.0,-499349.86518165306,23692488.493659273,23193138.62847762,3094005.229360314,4537874.336395129,519046.85297362896,44.684094500532474
2026-12,-544422.5715700635,-0.0,-26778.61541763181,39275.30261252541,0.0,-531925.8843751699,23193138.62847762,22661212.744102452,3120783.844777946,4577149.639007654,517987.36233172886,43.748582286047714
2027-01,-465093.8594407311,-0.0,-102312.32674970245,150058.0792328976,0.0,-417348.10695753596,22661212.744102452,22243864.637144916,3223096.1715276483,4727207.718240552,482874.6188381196,46.06550804154405
2027-02,-468009.04904235015,-0.0,-17902.158116601873,26256.498571014963,0.0,-459654.70858793706,22243864.637144916,21784209.92855698,3240998.32964425,4753464.216811567,469642.8999735476,46.38462527546773
2027-03,-493082.0450833321,-0.0,-23492.453473887872,34455.5984283695,0.0,-482118.9001288505,21784209.92855698,21302091.02842813,3264490.783118138,4787919.815239936,453040.5718914412,47.02027224513701
2027-04,-444024.1286382526,-0.0,-17749.297481555026,26032.302972947247,0.0,-435741.1231468604,21302091.02842813,20866349.905281268,3282240.080599693,4813952.118212883,459171.5772878826,45.4434702350901
2027-05,-445541.58299816074,-0.0,-19577.9022249314,28714.25659656711,0.0,-436405.22862652503,20866349.905281268,20429944.67665474,3301817.9828246245,4842666.3748094505,451421.75063407863,45.256890364627566
2027-06,-457837.5502151414,-0.0,-23291.98620530218,34161.57976777572,0.0,-446967.95665266784,20429944.67665474,19982976.720002078,3325109.9690299267,4876827.954577226,439704.7694753511,45.44634970379206
2027-07,-385273.93940161355,-0.0,-13745.177783791907,20159.594082894735,0.0,-378859.5231025107,19982976.720002078,19604117.196899563,3338855.1468137186,4896987.548660121,420744.23612723453,46.59390554543737
2027-08,-377263.43296805536,-0.0,-13703.911884762812,20099.07076431997,0.0,-370868.2740884982,19604117.196899563,19233248.92281107,3352559.0586984814,4917086.619424441,398898.5846145589,48.21588660535222
2027-09,-416552.11437051767,-0.0,-21253.126136722974,31171.251667192206,0.0,-406633.98884004843,19233248.92281107,18826614.933971018,3373812.1848352044,4948257.871091633,385453.92867701914,48.84271123812122
2027-10,-404264.4987557193,-0.0,-21180.827976539265,31065.214365591295,0.0,-394380.11236666725,18826614.933971018,18432234.821604352,3394993.0128117437,4979323.085457224,390627.45843173796,47.18622417278272
2027-11,-380204.931152683,-0.0,-19207.195108160377,28170.552825301886,0.0,-371241.5734355415,18432234.821604352,18060993.24816881,3414200.207919904,5007493.638282526,390751.8915474191,46.22112813490257
2027-12,-416352.1074124265,-0.0,-26762.66335261194,39251.90625049826,0.0,-403862.8645145402,18060993.24816881,17657130.38365427,3440962.871272516,5046745.544533025,389828.1834389163,45.294648088010895
2028-01,-333941.6013604931,-0.0,-110160.25707097538,161568.37703743018,0.0,-282533.4813940383,17657130.38365427,17374596.902260233,3551123.1283434913,5208313.921570455,352545.97311470663,49.2832090769822
2028-02,-337188.99279782944,-0.0,-17491.288453214802,25653.88973138109,0.0,-329026.39151966316,17374596.902260233,17045570.51074057,3568614.416796706,5233967.811301836,338474.2458094139,50.36002213396907
