month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,0.0,0.0,381858.6062761571,0.41935870973235456,0.0,0.0,160135.73242816443,28000.0,188135.73242816443,0.0
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,0.0,0.0,384487.8667324126,0.41935870973235456,0.0,0.0,161238.33570065003,28000.0,189238.33570065003,0.0
2026-11,106868.23450921947,279994.774414155,386863.00892337447,0.0,0.0,386863.00892337447,0.41935870973235456,0.0,0.0,162234.3722652827,28000.0,190234.3722652827,0.0
2026-12,107213.45886447975,283043.53140222654,390256.99026670627,0.0,0.0,390256.99026670627,0.41935870973235456,0.0,0.0,163657.667902278,28000.0,191657.667902278,0.0
2027-01,107134.37139533788,284977.42791159876,392111.7993069366,0.0,0.0,392111.7993069366,0.41935870973235456,0.0,0.0,164435.4982281889,28000.0,192435.4982281889,0.0
2027-02,107126.27172231801,287098.4082158123,394224.6799381303,0.0,0.0,394224.6799381303,0.41935870973235456,0.0,0.0,165321.55312350477,28000.0,193321.55312350477,0.0
2027-03,107328.27321356203,289786.3376766175,397114.6108901795,0.0,0.0,397114.6108901795,0.41935870973235456,0.0,0.0,166533.47083877173,28000.0,194533.47083877173,0.0
2027-04,107317.75172244415,291904.28468504816,399222.0364074923,0.0,0.0,399222.0364074923,0.41935870973235456,0.0,0.0,167417.23808456905,28000.0,195417.23808456905,0.0
2027-05,107377.36164390322,294213.97090429487,401591.33254819806,0.0,0.0,401591.33254819806,0.41935870973235456,0.0,0.0,168410.82305710926,28000.0,196410.82305710926,0.0
2027-06,107576.22704224264,296910.3866365897,404486.61367883236,0.0,0.0,404486.61367883236,0.41935870973235456,0.0,0.0,169624.9844163645,28000.0,197624.9844163645,0.0
2027-07,107422.60862776804,298634.8519851952,406057.46061296324,0.0,0.0,406057.46061296324,0.41935870973235456,0.0,0.0,170283.73275984864,28000.0,198283.73275984864,0.0
2027-08,107270.90889492197,300358.5449057815,407629.4538007035,0.0,0.0,407629.4538007035,0.41935870973235456,0.0,0.0,170942.96179476747,28000.0,198942.96179476747,0.0
2027-09,107401.10387952534,302871.1129402615,410272.2168197868,0.0,0.0,410272.2168197868,0.41935870973235456,0.0,0.0,172051.22748457862,28000.0,200051.22748457862,0.0
2027-10,107529.6727392534,305384.2705794797,412913.9433187331,0.0,0.0,412913.9433187331,0.41935870973235456,0.0,0.0,173159.05850064248,28000.0,201159.05850064248,0.0
2027-11,107586.6357842749,307697.77834302624,415284.41412730113,0.0,0.0,415284.41412730113,0.41935870973235456,0.0,0.0,174153.1360803818,28000.0,202153.1360803818,0.0
2027-12,107922.88736545035,310817.9156124971,418740.8029779474,0.0,0.0,418740.8029779474,0.41935870973235456,0.0,0.0,175602.6028491221,28000.0,203602.6028491221,0.0
2028-01,107834.93919144955,312721.32365520374,420556.2628466533,0.0,0.0,420556.2628466533,0.41935870973235456,0.0,0.0,176363.93175723348,28000.0,204363.93175723348,0.0
2028-02,107818.08948306105,314828.8212905383,422646.91077359935,0.0,0.0,422646.91077359935,0.41935870973235456,0.0,0.0,177240.6631743822,28000.0,205240.6631743822,0.0
