month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,188135.73242816443,61060.56188128669,30530.280940643344,276901.48091931344,0.0,556628.0561694079,1478724.0065401485,0.7265200127449212,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023870.3528982329,-545146.3463580844,-0.26783884535059743,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,189238.33570065003,61489.36417499182,30744.68208749591,276901.48091931344,0.0,558373.8628824512,1491271.6096172761,0.7275753927329374,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42288.86544793661,242550.00000000003,598576.586357405,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023963.3339087595,-532691.7242914834,-0.2598945678355866,139.16,26.46,70.56,27.44,14.7,24595745.669996727
2026-11,1889749.1758335782,172920.9770732981,2062670.1529068763,190234.3722652827,61880.10458720629,30940.05229360315,276901.48091931344,0.0,559956.0100654056,1502714.1428414707,0.7285285728906913,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,41056.81584730635,231000.0,585794.5367567746,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2011181.284308129,-508467.14146665833,-0.24650918652702983,139.16,26.46,70.56,27.44,14.7,24752041.834882516
2026-12,1904844.6958847682,175677.86730052912,2080522.5631852972,191657.667902278,62415.676895558914,31207.83844777946,276901.48091931344,0.0,562182.6641649299,1518339.8990203673,0.7297877590405828,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,46438.00212960807,277200.0,637375.7230390764,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2062762.4705904308,-544422.5715700635,-0.2616758795139179,139.16,26.46,70.56,27.44,14.7,24966270.758223567
2027-01,1970968.2027716942,177762.5782467383,2148730.781018432,192435.4982281889,64461.92343055297,32230.961715276484,286593.03275148943,0.0,575721.4161255078,1573009.3648929244,0.7320644255616641,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,39323.42747670445,207900.0,571941.9686180041,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2038103.2243336556,-465093.8594407311,-0.2164505035015559,139.16,26.46,70.56,27.44,14.7,25784769.372221187
2027-02,1980684.526538643,179981.02655752364,2160665.553096167,193321.55312350477,64819.966592885,32409.983296442504,286593.03275148943,0.0,577144.5357643217,1583521.0173318451,0.7328857606225584,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,41200.269517243956,219449.99999999997,585368.8106585436,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2051530.0663741953,-468009.04904235015,-0.216604114584836,139.16,26.46,70.56,27.44,14.7,25927986.637154
2027-03,1993752.7778463308,182574.41089909463,2176327.1887454255,194533.47083877173,65289.815662362766,32644.907831181383,286593.03275148943,0.0,579061.2270838053,1597265.9616616203,0.7339273110778838,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,45368.209888001344,254100.00000000003,624186.751029301,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2090348.0067449524,-493082.0450833321,-0.22656613749680543,139.16,26.46,70.56,27.44,14.7,26115926.264945105
2027-04,2003331.726390999,184828.32734212955,2188160.0537331286,195417.23808456905,65644.80161199385,32822.40080599693,286593.03275148943,0.0,580477.4732540492,1607682.5804790794,0.7347189149789474,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,41376.912260380734,219449.99999999997,585545.4534016803,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2051706.709117332,-444024.1286382526,-0.20292122958771758,139.16,26.46,70.56,27.44,14.7,26257920.644797545
2027-05,2013989.757253942,187222.23129580778,2201211.98854975,196410.82305710926,66036.3596564925,33018.17982824625,286593.03275148943,0.0,582058.3952933374,1619153.5932564125,0.7355736756291148,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,42815.37939762209,231000.0,598533.9205389217,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2064695.1762545733,-445541.58299816074,-0.20240739434265126,139.16,26.46,70.56,27.44,14.7,26414543.862597
2027-06,2026857.201065434,189882.77828785055,2216739.9793532845,197624.9844163645,66502.19938059853,33251.09969029927,286593.03275148943,0.0,583971.3162387516,1632768.6631145328,0.736563006181212,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,45626.416472722885,254100.00000000003,624444.9576140225,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2090606.2133296742,-457837.5502151414,-0.20653642487591697,139.16,26.46,70.56,27.44,14.7,26600879.752239414
