month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-750194.788583145,-0.0,-102092.69474734413,149735.95229610614,0.0,-702551.531034383,24750279.18739851,24047727.656364124,3133602.2386890776,4595949.950077315,702551.531034383,34.229129955717404
2026-10,-692583.9880420011,-0.0,-103182.46708446648,151334.28505721595,0.0,-644432.1700692517,24047727.656364124,23403295.486294873,3236784.705773544,4747284.235134531,673491.8505518173,34.749188824066195
2026-11,-612242.0614941623,-0.0,-100238.39484957838,147016.31244604941,0.0,-565464.1438976913,23403295.486294873,22837831.342397183,3337023.1006231224,4894300.54758058,637482.615000442,35.82502613405598
2026-12,-644263.4174142058,-0.0,-117643.55324484594,172543.8780924417,0.0,-589363.0925666101,22837831.342397183,22248468.249830574,3454666.6538679684,5066844.425673022,599753.1355111843,37.09604324263792
2027-01,-368028.2981024184,-0.0,-317665.69169515884,465909.68115289696,0.0,-219784.3086446803,22248468.249830574,22028683.94118589,3772332.345563127,5532754.106825919,458203.84836966055,48.0761652691621
2027-02,-335496.8283730985,-0.0,-104921.49358066125,153884.85725163668,0.0,-286533.4647021231,22028683.94118589,21742150.47648377,3877253.8391437884,5686638.964077556,365226.95530447114,59.530519751365134
2027-03,-342475.8687288412,-0.0,-119240.05003186688,174885.40671340656,0.0,-286830.5120473015,21742150.47648377,21455319.964436468,3996493.8891756553,5861524.370790962,264382.76179803495,81.15249201015017
2027-04,-208377.13956092112,-0.0,-107297.49951045029,157369.6659486601,0.0,-158304.9731227113,21455319.964436468,21297014.991313756,4103791.3886861056,6018894.036739622,243889.64995737863,87.32234022655555
2027-05,-169677.33568604803,-0.0,-112921.14483400993,165617.67908988055,0.0,-116980.80143017741,21297014.991313756,21180034.18988358,4216712.533520116,6184511.715829503,187372.09553339673,113.0372915432784
2027-06,-149845.50336664915,-0.0,-123106.2768537933,180555.87271889672,0.0,-92395.90750154573,21180034.18988358,21087638.282382034,4339818.810373909,6365067.5885483995,122560.56068481148,172.05892470264584
2027-07,30605.014113383368,-0.0,-102075.47519652639,149710.6969549032,0.0,78240.23587176017,21087638.282382034,21165878.518253792,4441894.285570435,6514778.285503303,43712.157686654326,484.21033502804886
2027-08,88491.4027190716,-0.0,-103233.9342845194,151409.7702839654,0.0,136667.2387185176,21165878.518253792,21302545.75697231,4545128.219854955,6666188.055787268,-40837.18902957734,inf
2027-09,34925.02741628373,-3500.0,-122550.94540383946,179741.38659229595,0.0,88615.46860474022,21302545.75697231,21391161.22557705,4667679.165258794,6845929.442379564,-101174.31439833932,inf
2027-10,118086.85307867266,-0.0,-123980.68550877087,181838.33874620032,0.0,175944.5063161021,21391161.22557705,21567105.731893152,4791659.850767565,7027767.781125764,-133742.4045464533,inf
2027-11,210659.02853091713,-0.0,-120857.41505886894,177257.54208633862,0.0,267059.1555583868,21567105.731893152,21834164.88745154,4912517.265826434,7205025.323212103,-177206.37682640972,inf
2027-12,191223.70794536825,-0.0,-140735.55597360153,206412.1487612836,0.0,256900.30073305033,21834164.88745154,22091065.18818459,5053252.821800035,7411437.471973387,-233301.32086917976,inf
2028-01,510731.654257277,-3500.0,-426879.2293645367,626089.5364013193,0.0,706441.9612940596,22091065.18818459,22797507.14947865,5480132.051164572,8037527.008374706,-410133.8058618323,inf
2028-02,568735.5261270935,-0.0,-126609.85675020516,185694.456566968,0.0,627820.1259438563,22797507.14947865,23425327.275422506,5606741.907914777,8223221.464941674,-530387.4626569888,inf
