month,opening_arr,new_arr,expansion_arr,price_arr,churn_arr,closing_arr,opening_customers,new_logos,churned_customers,customers,attach_rate,insights_customers,arpa_insights,arr_insights,arr_total
2026-09,22261073.295490406,500649.6600000001,194597.6421831656,0.0,-194597.6421831656,22761722.955490407,532.6245130899939,13.23,-4.655996278367498,541.1985168116264,0.262,141.7940114046461,14747.967942698193,2091173.5346623028,24852896.49015271
2026-10,22761722.955490407,500649.6600000001,198974.12673548676,0.0,-198974.12673548676,23262372.615490407,541.1985168116264,13.23,-4.730946883226131,549.6975699284003,0.268,147.3189487408113,14895.447622125173,2194381.684715298,25456754.300205704
2026-11,23262372.615490407,485323.65000000014,203350.61128780796,0.0,-203350.61128780796,23747696.265490405,549.6975699284003,12.825000000000001,-4.805242299056271,557.717327629344,0.274,152.81454777044027,15044.402098346427,2299003.503135472,26046699.768625878
2026-12,23747696.265490405,592605.7200000001,207593.12182322136,0.0,-207593.12182322136,24340301.985490404,557.717327629344,15.66,-4.875347900828854,568.5019797285152,0.28,159.18055432398427,15194.84611932989,2418724.028142573,26759026.013632976
2027-01,24340301.985490404,474723.15975000005,212773.45047698927,1217015.0992745203,-212773.45047698927,26032040.244514924,568.5019797285152,11.9475,-4.969623133761561,575.4798565947535,0.28600000000000003,164.58723898609952,15346.79458052319,2525886.547295147,28557926.79181007
2027-02,26032040.244514924,526576.1602500001,227561.96817455758,0.0,-227561.96817455758,26558616.404764924,575.4798565947535,13.252500000000001,-5.030621018615996,583.7017355761376,0.29200000000000004,170.4409067882322,15500.262526328423,2641878.8004430714,29200495.205207996
2027-03,26558616.404764924,629388.1440000002,232165.0921054811,0.0,-232165.0921054811,27188004.548764925,583.7017355761376,15.840000000000002,-5.1024934859878535,594.4392420901497,0.29800000000000004,177.14289414286463,15655.265151591706,2773218.9775268873,29961223.526291814
2027-04,27188004.548764925,560548.81575,237666.95839982777,0.0,-237666.95839982777,27748553.364514925,594.4392420901497,14.107499999999998,-5.196356590556869,603.3503854995928,0.30550000000000005,184.3235427701256,15811.817803107624,2914490.275104542,30663043.639619466
2027-05,27748553.364514925,616871.9025000001,242567.05806823022,0.0,-242567.05806823022,28365425.267014924,603.3503854995928,15.525,-5.27425433940373,613.6011311601891,0.31300000000000006,192.05715405313921,15969.935981138698,3067140.454948326,31432565.72196325
2027-06,28365425.267014924,688393.2825000002,247959.51224876885,0.0,-247959.51224876885,29053818.549514923,613.6011311601891,17.325000000000003,-5.363862369964209,625.562268790225,0.32050000000000006,200.49270714726714,16129.635340950086,3233874.254805316,32287692.80432024
2027-07,29053818.549514923,539539.4103750001,253977.17850821046,0.0,-253977.17850821046,29593357.959889922,625.562268790225,13.57875,-5.468421981701566,633.6725968085234,0.32800000000000007,207.84461175319572,16290.931694359586,3385982.373111999,32979340.333001923
2027-08,29593357.959889922,547138.557,258693.62212843515,0.0,-258693.62212843515,30140496.516889922,633.6725968085234,13.77,-5.5393193139525065,641.9032774945708,0.3355000000000001,215.35854959942856,16453.841011303182,3543475.335533848,33683971.85242377
2027-09,30140496.516889922,675877.0410000002,263476.4945320433,0.0,-263476.4945320433,30816373.557889923,641.9032774945708,17.01,-5.6112687224022695,653.3020087721685,0.3430000000000001,224.08258900885386,16618.379421416215,3723889.4858824043,34540263.043772325
2027-10,30816373.557889923,675877.0410000002,269384.74867767695,0.0,-269384.74867767695,31492250.598889925,653.3020087721685,17.01,-5.710911996608162,664.6010967755603,0.3505000000000001,232.94268441983397,16784.56321563038,3909841.212263341,35402091.81115326
2027-11,31492250.598889925,643692.42,275293.00282331055,0.0,-275293.00282331055,32135943.018889926,664.6010967755603,16.2,-5.809684228076694,674.9914125474837,0.3580000000000001,241.64692569199923,16952.408847786683,4096497.481141499,36232440.50003143
2027-12,32135943.018889926,772430.904,280919.9115334378,0.0,-280919.9115334378,32908373.922889926,674.9914125474837,19.439999999999998,-5.900512326251298,688.5309002212325,0.3655000000000001,251.65804403086057,17121.93293626455,4308872.152767906,37217246.07565783
2028-01,32908373.922889926,608289.3369000001,287672.2019855905,1645418.6961444963,-287672.2019855905,35162081.95593443,688.5309002212325,14.58,-6.0188692600211215,697.0920309612114,0.3730000000000001,260.01532754853196,17293.15226562719,4496484.650693691,39658566.60662812
2028-02,35162081.95593443,642083.1889500001,307373.2408159403,0.0,-307373.2408159403,35804165.14488443,697.0920309612114,15.389999999999999,-6.093707334282312,706.3883236269292,0.3805000000000001,268.7807571400466,17466.083788283468,4694547.224886324,40498712.36977075
