month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-655565.1366327915,-0.0,-75102.51732735522,110150.35874678846,0.0,-620517.2952133582,24750279.18739851,24129761.89218515,3106612.0612690886,4556364.356527997,620517.2952133582,38.88652593299336
2026-10,-705182.064079223,-10500.0,-75482.2262566248,110707.26517638285,0.0,-680457.0251594649,24129761.89218515,23449304.867025685,3182094.2875257134,4667071.62170438,650487.1601864116,36.048835860658286
2026-11,-691923.8536578962,-14000.0,-73743.18355252128,108156.66921036504,0.0,-671510.3680000524,23449304.867025685,22777794.49902563,3255837.4710782347,4775228.290914745,657494.8961242918,34.64330237891269
2026-12,-683321.6741500874,-0.0,-89040.78062588722,130593.1449179668,0.0,-641769.3098580078,22777794.49902563,22136025.189167626,3344878.251704122,4905821.435832712,664578.9010058417,33.30834782095053
2027-01,-685612.8358316899,-28000.0,-224862.59727213718,329798.4759991346,0.0,-608676.9571046925,22136025.189167626,21527348.232062932,3569740.848976259,5235619.911831846,640652.2116542509,33.60223821982351
2027-02,-635044.7925493191,-7000.0,-80321.05167474039,117804.209122953,0.0,-604561.6351011065,21527348.232062932,20922786.596961826,3650061.9006509995,5353424.1209547995,618335.9673546023,33.8372465804873
2027-03,-685413.0006066726,-7000.0,-95091.0401354772,139466.85886536632,0.0,-648037.1818767835,20922786.596961826,20274749.41508504,3745152.9407864767,5492890.979820166,620425.2580275275,32.678794347514255
2027-04,-577285.0536504814,-3500.0,-87727.51416595699,128667.02077673655,0.0,-539845.5470397018,20274749.41508504,19734903.86804534,3832880.4549524337,5621558.000596902,597481.4546725306,33.03015300928747
2027-05,-602197.2087831714,-7000.0,-96190.26029297197,141079.04842969403,0.0,-564308.4206464493,19734903.86804534,19170595.44739889,3929070.7152454057,5762637.049026596,584063.7165209783,32.82278098285245
2027-06,-579426.9605277386,-0.0,-106890.8852946246,156773.2984321136,0.0,-529544.5473902496,19170595.44739889,18641050.90000864,4035961.6005400303,5919410.34745871,544566.1716921335,34.23101152626723
2027-07,-404068.41767724184,-0.0,-86455.94108520914,126802.04692497663,0.0,-363722.31183747435,18641050.90000864,18277328.58817117,4122417.5416252394,6046212.394383687,485858.4266247244,37.618630421096974
2027-08,-361433.1669519488,-0.0,-88078.9399277321,129182.445227338,0.0,-320329.6616523429,18277328.58817117,17956998.926518824,4210496.4815529715,6175394.839611025,404532.17362668895,44.389544508986155
2027-09,-411532.55567530403,-0.0,-107036.39891856909,156986.71841390245,0.0,-361582.23617997067,17956998.926518824,17595416.690338854,4317532.880471541,6332381.558024927,348544.73655659595,50.48252016131578
2027-10,-351301.2592196772,-0.0,-107728.59592261724,158001.9406865053,0.0,-301027.91445578914,17595416.690338854,17294388.775883064,4425261.476394158,6490383.498711432,327646.60409603425,52.78366557040226
2027-11,-265824.1497368021,-0.0,-103793.58610977046,152230.59296099655,0.0,-217387.142885576,17294388.775883064,17077001.63299749,4529055.062503928,6642614.091672429,293332.4311737786,58.217230071231306
2027-12,-330713.57390152477,-3500.0,-123100.69695330132,180547.6888648402,0.0,-276766.5819899859,17077001.63299749,16800235.0510075,4652155.75945723,6823161.780537269,265060.5464437837,63.3826319171595
2028-01,-40705.87632932793,-0.0,-305165.0663712863,447575.43067788705,0.0,101704.48797727283,16800235.0510075,16901939.538984776,4957320.825828516,7270737.211215156,130816.41229942969,129.20350926837384
2028-02,-10892.937025777996,-0.0,-105018.22039282788,154026.72324281558,0.0,38115.56582420971,16901939.538984776,16940055.104808986,5062339.046221344,7424763.934457972,45648.84272950111,371.0949520711786
