month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-505112.4132510433,-0.0,-21518.55012260098,31560.540179815143,0.0,-495070.42319382913,24750279.18739851,24255208.76420468,3053028.0940643344,4477774.537961024,495070.42319382913,48.99345149267445
2026-10,-585870.4236996542,-10500.0,-21440.1146852565,31445.501538376324,0.0,-586365.0368465343,24255208.76420468,23668843.727358144,3074468.208749591,4509220.0394994,540717.7300201817,43.773012078732336
2026-11,-608860.5934008881,-14000.0,-20188.979728848208,29610.503602311015,0.0,-613439.0695274253,23668843.727358144,23055404.65783072,3094657.188478439,4538830.543101711,564958.1765225963,40.809046785976705
2026-12,-597473.8817777447,-0.0,-28341.59906261228,41567.67862516362,0.0,-584247.8022151934,23055404.65783072,22471156.855615526,3122998.7875410514,4580398.221726875,594683.9695297177,37.78672035398222
2027-01,-721388.2226140543,-28000.0,-104172.77598136803,152786.7381060077,0.0,-700774.2604894147,22471156.855615526,21770382.59512611,3227171.5635224194,4733184.9598328825,632820.3774106778,34.402151656690265
2027-02,-685223.2539227463,-7000.0,-21710.350177445915,31841.846926921047,0.0,-682091.7571732712,21770382.59512611,21088290.83795284,3248881.9136998653,4765026.806759804,655704.6066259597,32.161266864459364
2027-03,-737219.7357057717,-7000.0,-29369.977430952247,43075.96689872816,0.0,-730513.7462379958,21088290.83795284,20357777.091714844,3278251.8911308176,4808102.773658532,704459.9213002272,28.89841774694625
2027-04,-686645.0462617236,-3500.0,-25612.5662171538,37565.09711849317,0.0,-678192.5153603842,20357777.091714844,19679584.57635446,3303864.4573479714,4845667.870777025,696932.6729238838,28.237425709705224
2027-05,-729070.4680042202,-7000.0,-29800.67451720871,43707.655958573334,0.0,-722163.4865628555,19679584.57635446,18957421.089791603,3333665.13186518,4889375.526735598,710289.9160537453,26.689694815204383
2027-06,-721599.6728025263,-0.0,-35133.16322996048,51528.63940394111,0.0,-705204.1966285456,18957421.089791603,18252216.89316306,3368798.2950951406,4940904.166139539,701853.3995172618,26.005739810788157
2027-07,-631204.8273329749,-0.0,-23759.23775452422,34846.88203996979,0.0,-620117.1830475293,18252216.89316306,17632099.71011553,3392557.532849665,4975751.048179509,682494.9554129768,25.83476928330755
2027-08,-621166.2457007556,-0.0,-24279.310606934596,35609.65555683803,0.0,-609835.9007508522,17632099.71011553,17022263.809364676,3416836.8434565994,5011360.703736347,645052.4268089758,26.3889617369126
2027-09,-667872.8768155023,-0.0,-34011.6333778291,49883.72895414755,0.0,-652000.7812391839,17022263.809364676,16370263.028125495,3450848.4768344285,5061244.432690495,627317.9550125218,26.095639216637327
2027-10,-648267.584338032,-0.0,-33923.96395790763,49755.14713826496,0.0,-632436.4011576746,16370263.028125495,15737826.62696782,3484772.440792336,5110999.57982876,631424.3610492368,24.924326012408358
2027-11,-613566.9502127562,-0.0,-31381.284037886653,46025.88325556647,0.0,-598922.3509950764,15737826.62696782,15138904.275972743,3516153.724830223,5157025.463084326,627786.5111306449,24.11473328521752
2027-12,-656437.4727183392,-0.0,-41146.52687180694,60348.23941198271,0.0,-637235.7601781634,15138904.275972743,14501668.515794579,3557300.2517020297,5217373.702496309,622864.8374436381,23.2822077022558
2028-01,-552839.43488511,-0.0,-124177.79720126,182127.43589518312,0.0,-494889.7961911869,14501668.515794579,14006778.719603391,3681478.0489032897,5399501.138391492,577015.9691214756,24.27450793247393
2028-02,-553618.2791065085,-0.0,-29317.852198894136,42999.516558378,0.0,-539936.6147470246,14006778.719603391,13466842.104856366,3710795.901102184,5442500.65494987,557354.0570387916,24.16209577159152
