month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,444819.65413430217,381858.6062761571,0.0,0.41935870973235456,0.25,120101.79932112331,0.0,28000.0,148101.7993211233,62961.04785814509
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,444819.65413430217,384487.8667324126,0.0,0.41935870973235456,0.25,120928.75177548753,0.0,28000.0,148928.75177548753,60331.78740188957
2026-11,106893.23450921947,280060.27441415505,386953.5089233745,444819.65413430217,386953.5089233745,0.0,0.41935870973235456,0.25,121704.24317138511,0.0,28000.0,149704.2431713851,57866.14521092764
2026-12,107298.1466164926,283267.10706754046,390565.25368403306,444819.65413430217,390565.25368403306,0.0,0.41935870973235456,0.25,122840.20563841937,0.0,28000.0,150840.20563841937,54254.40045026911
2027-01,107285.50140414655,285379.43373502983,392664.9351391764,444819.65413430217,392664.9351391764,0.0,0.41935870973235456,0.25,123500.59541782778,0.0,28000.0,151500.59541782778,52154.71899512579
2027-02,107418.01412948457,287880.27786701865,395298.29199650325,444819.65413430217,395298.29199650325,0.0,0.41935870973235456,0.25,124328.83626829286,0.0,28000.0,152328.83626829286,49521.36213779892
2027-03,107836.37178155214,291158.2038101908,398994.57559174293,444819.65413430217,398994.57559174293,0.0,0.41935870973235456,0.25,125491.38780777129,0.0,28000.0,153491.38780777127,45825.07854255923
2027-04,108057.00418022859,295535.90643292526,403592.9106131538,444819.65413430217,403592.9106131538,0.0,0.41935870973235456,0.25,126937.65168889327,0.0,28000.0,154937.65168889327,41226.74352114834
2027-05,108432.38089800936,300357.695087486,408790.07598549535,444819.65413430217,408790.07598549535,0.0,0.41935870973235456,0.25,128572.25911250139,0.0,28000.0,156572.2591125014,36029.57814880682
2027-06,109003.06919080774,305753.60908021574,414756.6782710235,444819.65413430217,414756.6782710235,0.0,0.41935870973235456,0.25,130448.86908946028,0.0,28000.0,158448.8690894603,30062.97586327867
2027-07,109150.3796327769,309987.0781570864,419137.4577898633,444819.65413430217,419137.4577898633,0.0,0.41935870973235456,0.25,131826.70762444224,0.0,28000.0,159826.70762444224,25682.196344438882
2027-08,109317.10017918624,314286.6630151605,423603.7631943467,444819.65413430217,423603.7631943467,0.0,0.41935870973235456,0.25,133231.44567821332,0.0,28000.0,161231.44567821332,21215.890939955483
2027-09,109841.73839939412,319639.45874223695,429481.19714163104,444819.65413430217,429481.19714163104,0.0,0.41935870973235456,0.25,135080.01051571604,0.0,28000.0,163080.01051571604,15338.456992671126
2027-10,110359.82393047179,325009.68147523946,435369.50540571124,444819.65413430217,435369.50540571124,0.0,0.41935870973235456,0.25,136931.99553281433,0.0,28000.0,164931.99553281433,9450.148728590924
2027-11,110781.4386149789,330128.68707263714,440910.12568761606,444819.65413430217,440910.12568761606,0.0,0.41935870973235456,0.25,138674.6260622167,0.0,28000.0,166674.6260622167,3909.528446686105
2027-12,111557.78736602196,336346.7289085563,447904.5162745782,444819.65413430217,444819.65413430217,3084.862140276062,0.41935870973235456,0.25,139904.2471660149,1293.663806848359,28000.0,169197.91097286326,0.0
2028-01,111784.43958367068,340942.54073019564,452726.98031386634,444819.65413430217,444819.65413430217,7907.326179564174,0.41935870973235456,0.25,139904.2471660149,3316.0061040949004,28000.0,171220.2532701098,0.0
2028-02,112098.2609333694,345823.1349794447,457921.39591281407,444819.65413430217,444819.65413430217,13101.741778511903,0.41935870973235456,0.25,139904.2471660149,5494.329527483236,28000.0,173398.57669349812,0.0
