month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,148101.7993211233,61060.56188128669,30530.280940643344,276901.48091931344,0.0,516594.1230623668,1518757.9396471896,0.7461893042844625,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023870.3528982329,-505112.4132510433,-0.2481695538110561,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,148928.75177548753,61489.36417499182,30744.68208749591,276901.48091931344,0.0,518064.2789572887,1531581.1935424386,0.7472420055525687,942862.7833986612,37500.0,32634.0,60000.0,1072996.7833986613,324742.3042428016,16500.0,42288.86544793661,242550.00000000003,626081.1696907382,247823.66415269327,0.0,69972.0,25578.0,75000.0,418373.66415269324,2117451.6172420927,-585870.4236996542,-0.28583988380445735,142.1,26.46,72.52,28.42,14.7,24595745.669996727
2026-11,1890143.3633335782,172961.42898538115,2063104.7923189593,149704.2431713851,61893.14376956878,30946.57188478439,276901.48091931344,0.0,519445.4397450517,1543659.3525739075,0.7482214952536717,983087.5367319945,52500.0,34398.0,60000.0,1129985.5367319945,324742.3042428016,0.0,41529.840847306354,235125.0,601397.145090108,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2152519.9459747956,-608860.5934008881,-0.29511859778897614,146.01999999999998,26.46,76.44,28.42,14.7,24757257.507827513
2026-12,1906182.556706895,175816.63498713917,2081999.191694034,150840.20563841937,62459.97575082102,31229.98787541051,276901.48091931344,0.0,521431.6501839643,1560567.5415100697,0.7495524242928752,983087.5367319945,0.0,34398.0,60000.0,1077485.5367319945,324742.3042428016,0.0,47576.318160325434,287100.0,659418.622403127,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2158041.4232878145,-597473.8817777447,-0.2869712361855461,146.01999999999998,26.46,76.44,28.42,14.7,24983990.300328407
2027-01,1973434.3684809385,178013.34053400785,2151447.709014946,151500.59541782778,64543.43127044838,32271.715635224195,286593.03275148943,0.0,534908.7750749898,1616538.9339399564,0.7513726348850462,1054404.0338509476,46500.0,35721.0,60000.0,1196625.0338509476,371122.868224633,52500.0,40649.28208039283,219037.5,683309.6503050257,265749.6723980375,13500.0,76048.0,27694.800000000003,75000.0,457992.4723980375,2337927.1565540107,-721388.2226140543,-0.3353036281529457,153.86,26.46,79.38,32.34,15.68,25817372.508179355
2027-02,1985450.0977875844,180471.17801232557,2165921.27579991,152328.83626829286,64977.6382739973,32488.819136998653,286593.03275148943,0.0,536388.3264307783,1629532.9493691318,0.7523509591858636,1067983.4038509475,15750.0,36162.0,60000.0,1179895.4038509475,383978.50822463294,18000.0,43996.5188182603,242962.5,688937.5270428932,265749.6723980375,0.0,77126.0,28047.6,75000.0,445923.2723980375,2314756.203291878,-685223.2539227463,-0.31636572463589757,155.82,26.46,80.36,33.32,15.68,25991055.309598923
2027-03,2002062.5314981015,183438.7292557767,2185501.2607538784,153491.38780777127,65565.03782261634,32782.51891130817,286593.03275148943,0.0,538431.9772931852,1647069.2834606932,0.7536345611132452,1087515.7838509476,28500.0,37044.0,60000.0,1213059.7838509476,383978.50822463294,0.0,49692.6546928469,290400.0,724071.1629174799,265749.6723980375,0.0,78008.0,28400.4,75000.0,447158.07239803753,2384289.019166465,-737219.7357057717,-0.33732295146399105,157.78,26.46,82.32,33.32,15.68,26226015.129046537
2027-04,2015448.5026655495,187127.80223309816,2202576.3048986476,154937.65168889327,66077.28914695943,33038.64457347971,286593.03275148943,0.0,540646.6181608218,1661929.6867378256,0.7545389837535277,1087515.7838509476,0.0,37044.0,60000.0,1184559.7838509476,394983.0915579663,16500.0,46069.88519259763,258637.49999999997,716190.476750564,265749.6723980375,0.0,78498.0,28576.8,75000.0,447824.4723980375,2348574.7329995492,-686645.0462617236,-0.31174631486527316,158.76,26.46,82.32,34.3,15.68,26430915.65878377
2027-05,2031311.6483765647,191131.77286688844,2222443.4212434534,156572.2591125014,66673.3026373036,33336.6513186518,286593.03275148943,0.0,543175.2458199463,1679268.175423507,0.755595467300562,1108208.157184281,24000.0,37926.0,60000.0,1230134.157184281,394983.0915579663,0.0,49243.12228744256,284625.0,728851.2138454089,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2408338.6434277273,-729070.4680042202,-0.3280490567432787,160.72,26.46,84.28,34.3,15.68,26669321.05492144
2027-06,2050327.2552951907,195538.27476823624,2245865.530063427,158448.8690894603,67375.9659019028,33687.9829509514,286593.03275148943,0.0,546105.850693804,1699759.679369623,0.7568394708482921,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,53263.83103186474,317625.0,765871.922589831,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2421359.3521721493,-721599.6728025263,-0.32130137051533403,160.72,26.46,84.28,34.3,15.68,26950386.36076112
2027-07,2062468.0927303892,199236.92916938732,2261705.0218997765,159826.70762444224,67851.1506569933,33925.57532849665,286593.03275148943,0.0,548196.4663614216,1713508.555538355,0.7576180531708109,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,45299.11173104508,248943.75,689225.9532890114,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2344713.38287133,-631204.8273329749,-0.27908362108281404,160.72,26.46,84.28,34.3,15.68,27140460.26279732
2027-08,2074880.8404727606,203010.3884983058,2277891.2289710664,161231.44567821332,68336.73686913199,34168.368434566,286593.03275148943,0.0,550329.5837334008,1727561.6452376656,0.7584039234472196,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,45807.369798136686,252449.99999999997,693240.461356103,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2348727.8909384212,-621166.2457007556,-0.2726935499819011,160.72,26.46,84.28,34.3,15.68,27334694.7476528
2027-09,2093065.3369350461,207500.3142879059,2300565.651222952,163080.01051571604,69016.96953668856,34508.484768344286,286593.03275148943,0.0,553198.4975722383,1747367.1536507139,0.7595380521837467,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,52919.50932593148,311850.00000000006,759752.6008838979,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2415240.030466216,-667872.8768155023,-0.290308114641488,160.72,26.46,84.28,34.3,15.68,27606787.814675424
2027-10,2111140.193466133,212041.43372875758,2323181.6271948908,164931.99553281433,69695.44881584671,34847.724407923364,286593.03275148943,0.0,556068.2015080738,1767113.425686817,0.7606436814931709,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,53060.48888456431,311850.00000000006,759893.5804425307,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2415381.010024849,-648267.584338032,-0.2790430058285103,160.72,26.46,84.28,34.3,15.68,27878179.52633869
2027-11,2127644.423868943,216458.05935120527,2344102.4832201484,166674.6260622167,70323.07449660444,35161.53724830222,286593.03275148943,0.0,558752.2705586128,1785350.2126615355,0.7616348796358758,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,51446.64173400712,297000.0,743429.7332919734,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2398917.1628742917,-613566.9502127562,-0.26174920021836456,160.72,26.46,84.28,34.3,15.68,28129229.79864178
2027-12,2149895.7341822605,221637.76695242556,2371533.501134686,169197.91097286326,71146.00503404059,35573.00251702029,286593.03275148943,0.0,562509.9512754136,1809023.5498592725,0.7628075036653396,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,58590.50143732718,356399.99999999994,809973.5929952934,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2465461.0225776117,-656437.4727183392,-0.2767987348288605,160.72,26.46,84.28,34.3,15.68,28458402.01361623
2028-01,2228529.162531291,225789.53673756888,2454318.69926886,171220.2532701098,73629.5609780658,36814.7804890329,296623.7888977915,0.0,578288.3836350001,1876030.3156338597,0.7643792618263994,1146995.4426857305,0.0,37926.0,60000.0,1244921.4426857305,408807.4997624951,0.0,49186.297138775146,267300.0,725293.7969012703,275050.9109319688,0.0,79674.0,28929.6,75000.0,458654.5109319688,2428869.7505189697,-552839.43488511,-0.22525169003104634,160.72,26.46,84.28,34.3,15.68,29451824.39122632
2028-02,2243697.1103585423,230166.8237095801,2473863.9340681224,173398.57669349812,74215.91802204367,37107.959011021834,296623.7888977915,0.0,581346.2426243551,1892517.6914437674,0.7650047625423094,1146995.4426857305,0.0,37926.0,60000.0,1244921.4426857305,408807.4997624951,0.0,51602.51717008167,282149.99999999994,742560.0169325767,275050.9109319688,0.0,79674.0,28929.6,75000.0,458654.5109319688,2446135.970550276,-553618.2791065085,-0.22378687505101225,160.72,26.46,84.28,34.3,15.68,29686367.208817467
