month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-708601.3343256055,-0.0,-102092.69474734413,149735.95229610614,0.0,-660958.0767768435,24750279.18739851,24089321.110621665,3133602.2386890776,4595949.950077315,660958.0767768435,36.44606512427087
2026-10,-742614.8517164565,-10500.0,-103182.46708446648,151334.28505721595,0.0,-704963.033743707,24089321.110621665,23384358.07687796,3236784.705773544,4747284.235134531,682960.5552602753,34.23969056011766
2026-11,-711578.1770444002,-14000.0,-101687.75177339884,149142.0359343188,0.0,-678123.8928834803,23384358.07687796,22706234.183994476,3338472.457546943,4896426.27106885,681348.3344680102,33.32544167987623
2026-12,-700562.9357204163,-0.0,-121148.01824878296,177683.76009821612,0.0,-644027.1938709831,22706234.183994476,22062206.990123495,3459620.475795726,5074110.031167066,675704.7068327235,32.650663473305045
2027-01,-627788.4937084469,-28000.0,-322204.55291538266,472566.67760922667,0.0,-505426.36901460285,22062206.990123495,21556780.62110889,3781825.0287111085,5546676.708776292,609192.4852563554,35.3858281952338
2027-02,-566253.1140804305,-7000.0,-113883.620449326,167029.30999234505,0.0,-520107.4245374114,21556780.62110889,21036673.19657148,3895708.6491604345,5713706.018768637,556520.3291409991,37.800367920147735
2027-03,-609128.9777691024,-7000.0,-133167.27922697226,195312.00953289215,0.0,-553984.2474631825,21036673.19657148,20482688.949108295,4028875.9283874067,5909018.02830153,526506.0136717323,38.90304843104586
2027-04,-471900.7337948438,-3500.0,-124444.5948552764,182518.73912107293,0.0,-417326.58952904725,20482688.949108295,20065362.35957925,4153320.523242683,6091536.7674226025,497139.4205098804,40.36164007875224
2027-05,-482350.56892009964,-7000.0,-135939.71415220015,199378.247423226,0.0,-425912.0356490738,20065362.35957925,19639450.323930174,4289260.237394883,6290915.0148458285,465740.9575471012,42.16818384916041
2027-06,-445019.51495228475,-0.0,-150365.81877113692,220536.5341976676,0.0,-374848.79952575406,19639450.323930174,19264601.52440442,4439626.05616602,6511451.549043496,406029.14156795834,47.446351880090475
2027-07,-252622.46659475425,-3500.0,-125496.86665947828,184062.07110056933,0.0,-197557.2621536632,19264601.52440442,19067044.26225076,4565122.9228254985,6695513.6201440655,332772.699109497,57.297501607777185
2027-08,-175319.80627850536,-0.0,-128424.15506336186,188355.42742626276,0.0,-115388.53391560446,19067044.26225076,18951655.728335153,4693547.07788886,6883869.047570328,229264.8651983406,82.66271289296675
2027-09,-216684.95658940077,-0.0,-153425.73544035293,225024.41197918355,0.0,-145086.28005057015,18951655.728335153,18806569.448284585,4846972.813329213,7108893.459549512,152677.3587066126,123.17850929307473
2027-10,-154006.2885978939,-3500.0,-155382.5520807989,227894.40971850604,0.0,-84994.43096018676,18806569.448284585,18721575.017324395,5002355.365410012,7336787.869268018,115156.4149754538,162.57518108144475
2027-11,-24540.920686183497,-0.0,-151463.09743012208,222145.8762308471,0.0,46141.85811454151,18721575.017324395,18767716.87543894,5153818.462840134,7558933.745498865,61312.95096540513,306.0971064013593
2027-12,-52517.40950926533,-0.0,-177265.1658015335,259988.909842249,0.0,30206.33453145018,18767716.87543894,18797923.20997039,5331083.628641668,7818922.655341114,2882.0794380650236,6522.347358541573
2028-01,325386.74273309764,-3500.0,-472430.16479873843,692897.5750381509,0.0,542354.1529725101,18797923.20997039,19340277.362942897,5803513.793440406,8511820.230379265,-206234.11520616725,inf
2028-02,393579.5900835381,-0.0,-159024.44861304015,233235.85796578974,0.0,467790.9994362877,19340277.362942897,19808068.362379186,5962538.242053446,8745056.088345055,-346783.82898008265,inf
