month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,109021.28343282941,288906.40109699796,397927.6845298274,444819.65413430217,397927.6845298274,0.0,0.4181006336031575,0.25,124780.36277261865,0.0,28000.0,152780.36277261865,46891.96960447478
2026-10,111500.37835171222,305511.0366836915,417011.4150354037,444819.65413430217,417011.4150354037,0.0,0.416846331702348,0.25,130372.25897663506,0.0,28000.0,158372.25897663506,27808.239098898484
2026-11,113863.3070688048,322233.15900471766,436096.46607352246,444819.65413430217,436096.46607352246,0.0,0.41559579270724095,0.25,135929.89238598896,0.0,28000.0,163929.89238598896,8723.188060779707
2026-12,116902.87396333685,341356.3919729436,458259.2659362805,444819.65413430217,444819.65413430217,13439.611801978317,0.4143490053291193,0.25,138232.93593104323,5568.689782159208,28000.0,171801.62571320243,0.0
2027-01,119013.89373366685,358231.8201383373,477245.7138720042,444819.65413430217,444819.65413430217,32426.059737702017,0.4131059583131319,0.25,137818.2371232501,13395.398482262253,28000.0,179213.63560551233,0.0
2027-02,121429.29599537117,376430.8175856507,497860.1135810219,444819.65413430217,444819.65413430217,53040.45944671973,0.4118666404381925,0.25,137404.78241188033,21845.595839618647,28000.0,187250.37825149897,0.0
2027-03,124460.4730876142,397028.90914948937,521489.38223710353,444819.65413430217,444819.65413430217,76669.72810280137,0.4106310405168779,0.25,136992.56806464467,31482.970226999438,28000.0,196475.5382916441,0.0
2027-04,127047.16114985637,418620.3959887769,545667.5571386332,444819.65413430217,444819.65413430217,100847.90300433105,0.4093991473953273,0.25,136581.59036045076,41287.045506579794,28000.0,205868.63586703056,0.0
2027-05,129962.43799421556,441872.289180333,571834.7271745485,444819.65413430217,444819.65413430217,127015.07304024638,0.4081709499531413,0.25,136171.84558936942,51843.86302120499,28000.0,216015.70861057442,0.0
2027-06,133297.52834623697,467207.83685356064,600505.3651997976,444819.65413430217,444819.65413430217,155685.7110654954,0.4069464371032819,0.25,135763.3300526013,63355.74542599433,28000.0,227119.07547859562,0.0
2027-07,135693.77525656106,489854.5286761855,625548.3039327466,444819.65413430217,444819.65413430217,180728.64979844447,0.40572559779197204,0.25,135356.0400624435,73326.23947760985,28000.0,236682.27954005334,0.0
2027-08,138120.17963640616,513116.4673492491,651236.6469856553,444819.65413430217,444819.65413430217,206416.99285135313,0.40450842099859613,0.25,134949.97194225618,83497.41184557937,28000.0,246447.38378783554,0.0
2027-09,141321.78266391426,539849.2097761526,681170.9924400669,444819.65413430217,444819.65413430217,236351.33830576472,0.4032948957356003,0.25,134545.12202642937,95319.28833899298,28000.0,257864.41036542234,0.0
2027-10,144501.21656703594,567167.2750256162,711668.4915926522,444819.65413430217,444819.65413430217,266848.83745835,0.40208501104839356,0.25,134141.4866603501,107295.91775769164,28000.0,269437.40441804175,0.0
2027-11,147460.634853271,594266.3584586823,741726.9933119533,444819.65413430217,444819.65413430217,296907.3391776511,0.40087875601524836,0.25,133739.06220036905,119023.84478133419,28000.0,280762.90698170324,0.0
2027-12,151191.56099493502,625177.1047140566,776368.6657089916,444819.65413430217,444819.65413430217,331549.0115746894,0.3996761197472026,0.25,133337.84501376795,132512.22245219222,28000.0,293850.06746596016,0.0
2028-01,153708.6527764362,651724.6877720898,805433.340548526,444819.65413430217,444819.65413430217,360613.68641422386,0.398477091387961,0.25,132937.83147872664,143696.29287703018,28000.0,304634.1243557568,0.0
2028-02,156406.31525133178,679585.4397670367,835991.7550183685,444819.65413430217,444819.65413430217,391172.1008840663,0.3972816601137971,0.25,132539.0179842905,155405.50162942358,28000.0,315944.5196137141,0.0
