month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1910656.6873048425,178411.4718212093,2089068.1591260517,152780.36277261865,62672.04477378155,31336.022386890774,276901.48091931344,0.0,523689.91085260443,1565378.2482734472,0.7493188967698944,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,82095.11413822988,452760.00000000006,848592.8350476982,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2273979.5825990527,-708601.3343256055,-0.33919493302796033,139.16,26.46,70.56,27.44,14.7,25068817.909512624
2026-10,1966360.9771379924,191495.49337770333,2157856.470515696,158372.25897663506,64735.69411547088,32367.84705773544,276901.48091931344,0.0,532377.2810691549,1625479.189446541,0.7532842020109315,942862.7833986612,37500.0,32634.0,60000.0,1072996.7833986613,324742.3042428016,16500.0,82721.28936884114,452760.00000000006,876723.5936116428,247823.66415269327,0.0,69972.0,25578.0,75000.0,418373.66415269324,2368094.0411629975,-742614.8517164565,-0.3441446925981052,142.1,26.46,72.52,28.42,14.7,25894277.64618835
2026-11,2020641.6662773455,205006.63875394993,2225648.3050312954,163929.89238598896,66769.44915093886,33384.72457546943,276901.48091931344,0.0,540985.5470317106,1684662.7579995848,0.7569312519822832,983087.5367319945,52500.0,34398.0,60000.0,1129985.5367319945,324742.3042428016,0.0,81475.8299164958,438900.0,845118.1341592974,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2396240.935043985,-711578.1770444002,-0.31971725965679676,146.01999999999998,26.46,76.44,28.42,14.7,26707779.660375547
2026-12,2085983.103739543,220430.54679094127,2306413.650530484,171801.62571320243,69192.40951591452,34596.20475795726,276901.48091931344,0.0,552491.7209063877,1753921.9296240965,0.7604541922567479,983087.5367319945,0.0,34398.0,60000.0,1077485.5367319945,324742.3042428016,0.0,95199.76021702324,535920.0,955862.0644598249,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2454484.8653445127,-700562.9357204163,-0.30374557294147303,146.01999999999998,26.46,76.44,28.42,14.7,27676963.80636581
2027-01,2286418.9306881,234797.7551193056,2521216.6858074055,179213.63560551233,75636.50057422217,37818.250287111085,286593.03275148943,0.0,579261.4192183351,1941955.2665890704,0.7702452857466989,1054404.0338509476,46500.0,35721.0,60000.0,1196625.0338509476,371122.868224633,52500.0,82633.38582389914,408870.0,915126.2540485321,265749.6723980375,13500.0,76048.0,27694.800000000003,75000.0,457992.4723980375,2569743.7602975173,-627788.4937084469,-0.2490021969323121,153.86,26.46,79.38,32.34,15.68,30254600.229688868
2027-02,2346712.189971179,250426.90946911066,2597139.0994402897,187250.37825149897,77914.17298320869,38957.08649160434,286593.03275148943,0.0,590714.6704778015,2006424.4289624882,0.77255177799098,1067983.4038509475,15750.0,36162.0,60000.0,1179895.4038509475,383978.50822463294,18000.0,91350.35856930073,453530.00000000006,946858.8667939338,265749.6723980375,0.0,77126.0,28047.6,75000.0,445923.2723980375,2572677.5430429187,-566253.1140804305,-0.21802956730444814,155.82,26.46,80.36,33.32,15.68,31165669.193283472
2027-03,2417825.1985096014,268092.0870820032,2685917.2855916047,196475.5382916441,80577.51856774813,40288.75928387407,286593.03275148943,0.0,603934.8488947557,2081982.4366968488,0.7751476368484921,1087515.7838509476,28500.0,37044.0,60000.0,1213059.7838509476,383978.50822463294,0.0,104835.04999233293,542080.0000000001,1030893.558216966,265749.6723980375,0.0,78008.0,28400.4,75000.0,447158.07239803753,2691111.4144659513,-609128.9777691024,-0.22678620113758816,157.78,26.46,82.32,33.32,15.68,32231007.427099254
2027-04,2481968.6271238998,286911.7217045559,2768880.3488284554,205868.63586703056,83066.41046485366,41533.20523242684,286593.03275148943,0.0,617061.2843158005,2151819.064512655,0.777144113657029,1087515.7838509476,0.0,37044.0,60000.0,1184559.7838509476,394983.0915579663,16500.0,97062.45050054746,482790.0,991335.5420585137,265749.6723980375,0.0,78498.0,28576.8,75000.0,447824.4723980375,2623719.798307499,-471900.7337948438,-0.17043016466728522,158.76,26.46,82.32,34.3,15.68,33226564.18594147
2027-05,2552116.1301997816,307390.6947301406,2859506.8249299224,216015.70861057442,85785.20474789767,42892.60237394884,286593.03275148943,0.0,631286.5484839104,2228220.276446012,0.779232368679735,1108208.157184281,24000.0,37926.0,60000.0,1230134.157184281,394983.0915579663,0.0,104800.3242258272,531300.0,1031083.4157837934,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2710570.8453661115,-482350.56892009964,-0.16868313259994425,160.72,26.46,84.28,34.3,15.68,34314081.89915907
2027-06,2629859.974942102,329890.7291685782,2959750.70411068,227119.07547859562,88792.5211233204,44396.2605616602,286593.03275148943,0.0,646900.8899150656,2312849.8141956143,0.7814339940804437,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,114498.8080076142,592900.0,1102381.8995655805,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2757869.329147899,-445019.51495228475,-0.15035709403978342,160.72,26.46,84.28,34.3,15.68,35517008.44932816
