month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-696562.0708691222,-0.0,-75102.51732735522,110150.35874678846,0.0,-661514.2294496889,24750279.18739851,24088764.95794882,3106612.0612690886,4556364.356527997,661514.2294496889,36.414583217640185
2026-10,-747428.3359959703,-10500.0,-75482.2262566248,110707.26517638285,0.0,-722703.2970762122,24088764.95794882,23366061.66087261,3182094.2875257134,4667071.62170438,692108.7632629506,33.7606788139962
2026-11,-735398.1974586034,-14000.0,-73743.18355252128,108156.66921036504,0.0,-714984.7118007597,23366061.66087261,22651076.949071847,3255837.4710782347,4775228.290914745,699734.0794422203,32.37097865395912
2026-12,-728257.5710965055,-0.0,-89040.78062588722,130593.1449179668,0.0,-686705.2068044259,22651076.949071847,21964371.742267422,3344878.251704122,4905821.435832712,708131.0718937992,31.01738168828933
2027-01,-731726.0940868349,-28000.0,-224862.59727213718,329798.4759991346,0.0,-654790.2153598375,21964371.742267422,21309581.526907586,3569740.848976259,5235619.911831846,685493.377988341,31.086487792840533
2027-02,-681122.7152505603,-7000.0,-80321.05167474039,117804.209122953,0.0,-650639.5578023477,21309581.526907586,20658941.969105236,3650061.9006509995,5353424.1209547995,664044.9933222038,31.110756314491532
2027-03,-731398.7674625111,-7000.0,-95091.0401354772,139466.85886536632,0.0,-694022.948732622,20658941.969105236,19964919.020372614,3745152.9407864767,5492890.979820166,666484.2406316024,29.955575545871277
2027-04,-623178.8489726083,-3500.0,-87727.51416595699,128667.02077673655,0.0,-585739.3423618288,19964919.020372614,19379179.678010784,3832880.4549524337,5621558.000596902,643467.2829655994,30.116806543289037
2027-05,-647999.216514654,-7000.0,-96190.26029297197,141079.04842969403,0.0,-610110.4283779319,19379179.678010784,18769069.249632854,3929070.7152454057,5762637.049026596,629957.5731574609,29.794179877160452
2027-06,-625137.3642437584,-0.0,-106890.8852946246,156773.2984321136,0.0,-575254.9511062694,18769069.249632854,18193814.298526585,4035961.6005400303,5919410.34745871,590368.2406153433,30.817738907436983
2027-07,-449687.4005858293,-0.0,-86455.94108520914,126802.04692497663,0.0,-409341.2947460618,18193814.298526585,17784473.00378052,4122417.5416252394,6046212.394383687,531568.8914100877,33.4565722170156
2027-08,-406960.9118947196,-0.0,-88078.9399277321,129182.445227338,0.0,-365857.4065951137,17784473.00378052,17418615.59718541,4210496.4815529715,6175394.839611025,450151.2174824816,38.695031626485125
2027-09,-456969.2451281892,-0.0,-107036.39891856909,156986.71841390245,0.0,-407018.92563285585,17418615.59718541,17011596.671552554,4317532.880471541,6332381.558024927,394072.5423246771,43.16869318323799
2027-10,-396647.07529365644,-0.0,-107728.59592261724,158001.9406865053,0.0,-346373.7305297684,17011596.671552554,16665222.941022785,4425261.476394158,6490383.498711432,373083.35425257933,44.668899727272056
2027-11,-311079.27417863347,-0.0,-103793.58610977046,152230.59296099655,0.0,-262642.2673274074,16665222.941022785,16402580.673695378,4529055.062503928,6642614.091672429,338678.30783001054,48.43115220100888
2027-12,-375878.18809447205,-3500.0,-123100.69695330132,180547.6888648402,0.0,-321931.19618293317,16402580.673695378,16080649.477512445,4652155.75945723,6823161.780537269,310315.73134670296,51.82028448163396
2028-01,-85780.1612938894,-0.0,-305165.0663712863,447575.43067788705,0.0,56630.20301271137,16080649.477512445,16137279.680525158,4957320.825828516,7270737.211215156,175981.08683254305,91.69894317041458
2028-02,-55877.07342041051,-0.0,-105018.22039282788,154026.72324281558,0.0,-6868.570570422802,16137279.680525158,16130411.109954735,5062339.046221344,7424763.934457972,90723.1879135482,177.79810741798119
