month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,108239.70336232528,283588.02280929225,391827.7261716175,0.0,0.0,391827.7261716175,0.41851999231288983,0.0,0.0,163987.73694532245,28000.0,191987.73694532245,0.0
2026-10,109939.51398568007,294637.8974816226,404577.41146730265,0.0,0.0,404577.41146730265,0.4176829523282641,0.0,0.0,168985.08766698986,28000.0,196985.08766698986,0.0
2026-11,111543.4655258688,305629.0955408805,417172.56106674933,0.0,0.0,417172.56106674933,0.41684758642360753,0.0,0.0,173897.37520282948,28000.0,201897.37520282948,0.0
2026-12,113700.39594570303,318361.10864796856,432061.5045936716,0.0,0.0,432061.5045936716,0.4160138912507603,0.0,0.0,179743.58778567158,28000.0,207743.58778567158,0.0
2027-01,115095.9713189507,329174.47797219903,444270.44929114974,0.0,0.0,444270.44929114974,0.4151818634682588,0.0,0.0,184453.03302058013,28000.0,212453.03302058013,0.0
2027-02,116740.34711522752,340881.8135764644,457622.1606916919,0.0,0.0,457622.1606916919,0.4143514997413223,0.0,0.0,189616.42859746693,28000.0,217616.42859746693,0.0
2027-03,118887.84841802994,354285.78828572924,473173.6367037592,0.0,0.0,473173.6367037592,0.41352279674183967,0.0,0.0,195668.0855942457,28000.0,223668.0855942457,0.0
2027-04,120670.07709991856,368647.0855402512,489317.1626401698,0.0,0.0,489317.1626401698,0.41269575114835594,0.0,0.0,201939.11398556712,28000.0,229939.11398556712,0.0
2027-05,122720.22623203782,384114.3081062784,506834.53433831624,0.0,0.0,506834.53433831624,0.4118703596460593,0.0,0.0,208750.12193896528,28000.0,236750.12193896528,0.0
2027-06,125112.45375804498,400985.4142945343,526097.8680525792,0.0,0.0,526097.8680525792,0.41104661892676714,0.0,0.0,216250.74988759315,28000.0,244250.74988759315,0.0
2027-07,126734.51936170468,415689.22350639146,542423.7428680961,0.0,0.0,542423.7428680961,0.4102245256889136,0.0,0.0,222515.52264046995,28000.0,250515.52264046995,0.0
2027-08,128380.65549891416,430717.0991988571,559097.7546977713,0.0,0.0,559097.7546977713,0.4094040766375358,0.0,0.0,228896.90001216053,28000.0,256896.90001216053,0.0
2027-09,130660.4017544337,448165.1780177077,578825.5797721414,0.0,0.0,578825.5797721414,0.4085852684842607,0.0,0.0,236499.60491675825,28000.0,264499.60491675825,0.0
2027-10,132920.21935511206,465885.36883966794,598805.58819478,0.0,0.0,598805.58819478,0.4077680979472922,0.0,0.0,244173.81573839497,28000.0,272173.815738395,0.0
2027-11,134998.28250949676,483293.85138399847,618292.1338934952,0.0,0.0,618292.1338934952,0.4069525617513976,0.0,0.0,251615.567798696,28000.0,279615.567798696,0.0
2027-12,137706.1800442465,503316.0880617211,641022.2681059677,0.0,0.0,641022.2681059677,0.40613865662789483,0.0,0.0,260343.92283712394,28000.0,288343.922837124,0.0
2028-01,139418.40619224228,520030.6550970639,659449.0612893063,0.0,0.0,659449.0612893063,0.405326379314639,0.0,0.0,267292.10035483196,28000.0,295292.10035483196,0.0
2028-02,141277.66472538584,537561.5142800933,678839.1790054791,0.0,0.0,678839.1790054791,0.4045157265560097,0.0,0.0,274601.1237100865,28000.0,302601.1237100865,0.0
