month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-545146.3463580844,-0.0,-21518.55012260098,31560.540179815143,0.0,-535104.3563008702,24750279.18739851,24215174.831097636,3053028.0940643344,4477774.537961024,535104.3563008702,45.25318201200049
2026-10,-626180.0076248166,-10500.0,-21440.1146852565,31445.501538376324,0.0,-626674.6207716968,24215174.831097636,23588500.21032594,3074468.208749591,4509220.0394994,580889.4885362835,40.60755216928419
2026-11,-649428.6744580164,-14000.0,-20188.979728848208,29610.503602311015,0.0,-654007.1505845536,23588500.21032594,22934493.05974139,3094657.188478439,4538830.543101711,605262.0425523735,37.89184096697566
2026-12,-638420.6169905514,-0.0,-28341.59906261228,41567.67862516362,0.0,-625194.537428,22934493.05974139,22309298.522313386,3122998.7875410514,4580398.221726875,635292.1029280835,35.116599780619104
2027-01,-762555.0877533304,-28000.0,-104172.77598136803,152786.7381060077,0.0,-741941.1256286907,22309298.522313386,21567357.3966847,3227171.5635224194,4733184.9598328825,673714.2712137481,32.01261769003266
2027-02,-726666.1993455105,-7000.0,-21710.350177445915,31841.846926921047,0.0,-723534.7025960353,21567357.3966847,20843822.69408866,3248881.9136998653,4765026.806759804,696890.121884242,29.90976918675704
2027-03,-779050.1983083622,-7000.0,-29369.977430952247,43075.96689872816,0.0,-772344.2088405862,20843822.69408866,20071478.485248074,3278251.8911308176,4808102.773658532,745940.0123551041,26.907630845378307
2027-04,-728957.5968246879,-3500.0,-25612.5662171538,37565.09711849317,0.0,-720505.0659233485,20071478.485248074,19350973.419324726,3303864.4573479714,4845667.870777025,738794.6591199901,26.19262765431263
2027-05,-771927.8877083873,-7000.0,-29800.67451720871,43707.655958573334,0.0,-765020.9062670227,19350973.419324726,18585952.513057705,3333665.13186518,4889375.526735598,752623.3936769859,24.69489079027286
2027-06,-765082.6291656797,-0.0,-35133.16322996048,51528.63940394111,0.0,-748687.152991699,18585952.513057705,17837265.360066004,3368798.2950951406,4940904.166139539,744737.7083940235,23.95107050310486
2027-07,-675147.0632077889,-0.0,-23759.23775452422,34846.88203996979,0.0,-664059.4189223433,17837265.360066004,17173205.94114366,3392557.532849665,4975751.048179509,725922.4927270217,23.657079251850007
2027-08,-665576.7275934934,-0.0,-24279.310606934596,35609.65555683803,0.0,-654246.38264359,17173205.94114366,16518959.558500074,3416836.8434565994,5011360.703736347,688997.6515192108,23.975349585120448
2027-09,-712899.5469874076,-0.0,-34011.6333778291,49883.72895414755,0.0,-697027.4514110892,16518959.558500074,15821932.107088983,3450848.4768344285,5061244.432690495,671777.7509923409,23.55233123412772
2027-10,-693911.5828489701,-0.0,-33923.96395790763,49755.14713826496,0.0,-678080.3996686128,15821932.107088983,15143851.70742037,3484772.440792336,5110999.57982876,676451.4112410973,22.387198039302895
2027-11,-659791.8255668283,-0.0,-31381.284037886653,46025.88325556647,0.0,-645147.2263491484,15143851.70742037,14498704.48107122,3516153.724830223,5157025.463084326,673418.3591429502,21.530010704673263
2027-12,-703072.2217736775,-0.0,-41146.52687180694,60348.23941198271,0.0,-683870.5092335017,14498704.48107122,13814833.971837718,3557300.2517020297,5217373.702496309,669032.711750421,20.648966379675716
2028-01,-599474.1839404483,-0.0,-124177.79720126,182127.43589518312,0.0,-541524.5452465252,13814833.971837718,13273309.426591193,3681478.0489032897,5399501.138391492,623514.0936097251,21.2879060194898
2028-02,-600253.028161847,-0.0,-29317.852198894136,42999.516558378,0.0,-586571.3638023632,13273309.426591193,12686738.06278883,3710795.901102184,5442500.65494987,603988.80609413,21.00492249985778
