month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,106664.41516093773,275194.1911152194,381858.6062761571,0.0,0.0,381858.6062761571,0.41935870973235456,0.0,0.0,160135.73242816443,28000.0,188135.73242816443,0.0
2026-10,106802.18520344795,277685.68152896466,384487.8667324126,0.0,0.0,384487.8667324126,0.41935870973235456,0.0,0.0,161238.33570065003,28000.0,189238.33570065003,0.0
2026-11,106893.23450921947,280060.27441415505,386953.5089233745,0.0,0.0,386953.5089233745,0.41935870973235456,0.0,0.0,162272.3242285135,28000.0,190272.3242285135,0.0
2026-12,107298.1466164926,283267.10706754046,390565.25368403306,0.0,0.0,390565.25368403306,0.41935870973235456,0.0,0.0,163786.94085122584,28000.0,191786.94085122584,0.0
2027-01,107285.50140414655,285379.43373502983,392664.9351391764,0.0,0.0,392664.9351391764,0.41935870973235456,0.0,0.0,164667.4605571037,28000.0,192667.4605571037,0.0
2027-02,107418.01412948457,287880.27786701865,395298.29199650325,0.0,0.0,395298.29199650325,0.41935870973235456,0.0,0.0,165771.78169105714,28000.0,193771.78169105714,0.0
2027-03,107836.37178155214,291158.2038101908,398994.57559174293,0.0,0.0,398994.57559174293,0.41935870973235456,0.0,0.0,167321.85041036172,28000.0,195321.85041036172,0.0
2027-04,108057.00418022859,295535.90643292526,403592.9106131538,0.0,0.0,403592.9106131538,0.41935870973235456,0.0,0.0,169250.2022518577,28000.0,197250.2022518577,0.0
2027-05,108432.38089800936,300357.695087486,408790.07598549535,0.0,0.0,408790.07598549535,0.41935870973235456,0.0,0.0,171429.67881666851,28000.0,199429.67881666851,0.0
2027-06,109003.06919080774,305753.60908021574,414756.6782710235,0.0,0.0,414756.6782710235,0.41935870973235456,0.0,0.0,173931.8254526137,28000.0,201931.8254526137,0.0
2027-07,109150.3796327769,309987.0781570864,419137.4577898633,0.0,0.0,419137.4577898633,0.41935870973235456,0.0,0.0,175768.9434992563,28000.0,203768.9434992563,0.0
2027-08,109317.10017918624,314286.6630151605,423603.7631943467,0.0,0.0,423603.7631943467,0.41935870973235456,0.0,0.0,177641.92757095108,28000.0,205641.92757095108,0.0
2027-09,109841.73839939412,319639.45874223695,429481.19714163104,0.0,0.0,429481.19714163104,0.41935870973235456,0.0,0.0,180106.6806876214,28000.0,208106.6806876214,0.0
2027-10,110359.82393047179,325009.68147523946,435369.50540571124,0.0,0.0,435369.50540571124,0.41935870973235456,0.0,0.0,182575.99404375243,28000.0,210575.99404375243,0.0
2027-11,110781.4386149789,330128.68707263714,440910.12568761606,0.0,0.0,440910.12568761606,0.41935870973235456,0.0,0.0,184899.50141628896,28000.0,212899.50141628896,0.0
2027-12,111557.78736602196,336346.7289085563,447904.5162745782,0.0,0.0,447904.5162745782,0.41935870973235456,0.0,0.0,187832.66002820153,28000.0,215832.66002820153,0.0
2028-01,111784.43958367068,340942.54073019564,452726.98031386634,0.0,0.0,452726.98031386634,0.41935870973235456,0.0,0.0,189855.00232544806,28000.0,217855.00232544806,0.0
2028-02,112098.2609333694,345823.1349794447,457921.39591281407,0.0,0.0,457921.39591281407,0.41935870973235456,0.0,0.0,192033.32574883642,28000.0,220033.32574883642,0.0
