month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1867082.7605591053,168269.3021504511,2035352.0627095564,188135.73242816443,61060.56188128669,30530.280940643344,276901.48091931344,0.0,556628.0561694079,1478724.0065401485,0.7265200127449212,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,42195.8844374101,242550.00000000003,598483.6053468784,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2023870.3528982329,-545146.3463580844,-0.26783884535059743,139.16,26.46,70.56,27.44,14.7,24424224.752514675
2026-10,1879003.7684107397,170641.70408898752,2049645.4724997273,189238.33570065003,61489.36417499182,30744.68208749591,276901.48091931344,0.0,558373.8628824512,1491271.6096172761,0.7275753927329374,942862.7833986612,37500.0,32634.0,60000.0,1072996.7833986613,324742.3042428016,16500.0,42288.86544793661,242550.00000000003,626081.1696907382,247823.66415269327,0.0,69972.0,25578.0,75000.0,418373.66415269324,2117451.6172420927,-626180.0076248166,-0.3055064966240887,142.1,26.46,72.52,28.42,14.7,24595745.669996727
2026-11,1890143.3633335782,172961.42898538115,2063104.7923189593,190272.3242285135,61893.14376956878,30946.57188478439,276901.48091931344,0.0,560013.52080218,1503091.2715167792,0.7285578886311844,983087.5367319945,52500.0,34398.0,60000.0,1129985.5367319945,324742.3042428016,0.0,41529.840847306354,235125.0,601397.145090108,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2152519.9459747956,-649428.6744580164,-0.31478220441146343,146.01999999999998,26.46,76.44,28.42,14.7,24757257.507827513
2026-12,1906182.556706895,175816.63498713917,2081999.191694034,191786.94085122584,62459.97575082102,31229.98787541051,276901.48091931344,0.0,562378.3853967709,1519620.8062972631,0.7298853968626243,983087.5367319945,0.0,34398.0,60000.0,1077485.5367319945,324742.3042428016,0.0,47576.318160325434,287100.0,659418.622403127,247823.66415269327,0.0,72030.0,26283.6,75000.0,421137.2641526932,2158041.4232878145,-638420.6169905514,-0.30663826361579694,146.01999999999998,26.46,76.44,28.42,14.7,24983990.300328407
2027-01,1973434.3684809385,178013.34053400785,2151447.709014946,192667.4605571037,64543.43127044838,32271.715635224195,286593.03275148943,0.0,576075.6402142658,1575372.0688006803,0.7322381400205977,1054404.0338509476,46500.0,35721.0,60000.0,1196625.0338509476,371122.868224633,52500.0,40649.28208039283,219037.5,683309.6503050257,265749.6723980375,13500.0,76048.0,27694.800000000003,75000.0,457992.4723980375,2337927.1565540107,-762555.0877533304,-0.3544381230173942,153.86,26.46,79.38,32.34,15.68,25817372.508179355
2027-02,1985450.0977875844,180471.17801232557,2165921.27579991,193771.78169105714,64977.6382739973,32488.819136998653,286593.03275148943,0.0,577831.2718535425,1588090.0039463677,0.7332168632767413,1067983.4038509475,15750.0,36162.0,60000.0,1179895.4038509475,383978.50822463294,18000.0,43996.5188182603,242962.5,688937.5270428932,265749.6723980375,0.0,77126.0,28047.6,75000.0,445923.2723980375,2314756.203291878,-726666.1993455105,-0.3354998205450199,155.82,26.46,80.36,33.32,15.68,25991055.309598923
2027-03,2002062.5314981015,183438.7292557767,2185501.2607538784,195321.85041036172,65565.03782261634,32782.51891130817,286593.03275148943,0.0,580262.4398957756,1605238.8208581028,0.7344945755393356,1087515.7838509476,28500.0,37044.0,60000.0,1213059.7838509476,383978.50822463294,0.0,49692.6546928469,290400.0,724071.1629174799,265749.6723980375,0.0,78008.0,28400.4,75000.0,447158.07239803753,2384289.019166465,-779050.1983083622,-0.3564629370379006,157.78,26.46,82.32,33.32,15.68,26226015.129046537
2027-04,2015448.5026655495,187127.80223309816,2202576.3048986476,197250.2022518577,66077.28914695943,33038.64457347971,286593.03275148943,0.0,582959.1687237862,1619617.1361748613,0.7353285026143004,1087515.7838509476,0.0,37044.0,60000.0,1184559.7838509476,394983.0915579663,16500.0,46069.88519259763,258637.49999999997,716190.476750564,265749.6723980375,0.0,78498.0,28576.8,75000.0,447824.4723980375,2348574.7329995492,-728957.5968246879,-0.33095679600450034,158.76,26.46,82.32,34.3,15.68,26430915.65878377
2027-05,2031311.6483765647,191131.77286688844,2222443.4212434534,199429.67881666851,66673.3026373036,33336.6513186518,286593.03275148943,0.0,586032.6655241133,1636410.75571934,0.7363115479465259,1108208.157184281,24000.0,37926.0,60000.0,1230134.157184281,394983.0915579663,0.0,49243.12228744256,284625.0,728851.2138454089,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2408338.6434277273,-771927.8877083873,-0.347332976097315,160.72,26.46,84.28,34.3,15.68,26669321.05492144
2027-06,2050327.2552951907,195538.27476823624,2245865.530063427,201931.8254526137,67375.9659019028,33687.9829509514,286593.03275148943,0.0,589588.8070569574,1656276.7230064697,0.7374781351934697,1108208.157184281,0.0,37926.0,60000.0,1206134.157184281,394983.0915579663,0.0,53263.83103186474,317625.0,765871.922589831,265749.6723980375,0.0,79674.0,28929.6,75000.0,449353.2723980375,2421359.3521721493,-765082.6291656797,-0.34066270617015637,160.72,26.46,84.28,34.3,15.68,26950386.36076112
