month,ebitda,capex,delta_ar,delta_deferred,financing,net_cash_flow,opening_cash,closing_cash,ar,deferred_revenue,net_burn_3m,runway_months
2026-09,-750194.788583145,-0.0,-102092.69474734413,149735.95229610614,0.0,-702551.531034383,24750279.18739851,24047727.656364124,3133602.2386890776,4595949.950077315,702551.531034383,34.229129955717404
2026-10,-786072.2713753348,-10500.0,-103182.46708446648,151334.28505721595,0.0,-748420.4534025853,24047727.656364124,23299307.20296154,3236784.705773544,4747284.235134531,725485.9922184842,32.11544737302774
2026-11,-756888.1411730633,-14000.0,-101687.75177339884,149142.0359343188,0.0,-723433.8570121434,23299307.20296154,22575873.345949396,3338472.457546943,4896426.27106885,724801.9471497039,31.147644449258735
2026-12,-746640.5810307642,-0.0,-121148.01824878296,177683.76009821612,0.0,-690104.839181331,22575873.345949396,21885768.506768066,3459620.475795726,5074110.031167066,720653.0498653533,30.369355282486072
2027-01,-673727.9060828635,-28000.0,-322204.55291538266,472566.67760922667,0.0,-551365.7813890195,21885768.506768066,21334402.725379046,3781825.0287111085,5546676.708776292,654968.1591941646,32.57319065956989
2027-02,-612054.7082177238,-7000.0,-113883.620449326,167029.30999234505,0.0,-565909.0186747047,21334402.725379046,20768493.70670434,3895708.6491604345,5713706.018768637,602459.8797483518,34.47282450638765
2027-03,-654793.1671239841,-7000.0,-133167.27922697226,195312.00953289215,0.0,-599648.4368180642,20768493.70670434,20168845.269886278,4028875.9283874067,5909018.02830153,572307.7456272627,35.241258613022524
2027-04,-517427.93058166094,-3500.0,-124444.5948552764,182518.73912107293,0.0,-462853.7863158644,20168845.269886278,19705991.48357041,4153320.523242683,6091536.7674226025,542803.7472695444,36.30408150772189
2027-05,-527741.1841165558,-7000.0,-135939.71415220015,199378.247423226,0.0,-471302.65084553,19705991.48357041,19234688.832724884,4289260.237394883,6290915.0148458285,511268.2913264862,37.62151723280249
2027-06,-490273.95830315165,-0.0,-150365.81877113692,220536.5341976676,0.0,-420103.24287662096,19234688.832724884,18814585.589848265,4439626.05616602,6511451.549043496,451419.8933460051,41.6786806854948
2027-07,-297741.146615569,-3500.0,-125496.86665947828,184062.07110056933,0.0,-242675.94217447797,18814585.589848265,18571909.647673786,4565122.9228254985,6695513.6201440655,378027.27863220964,49.128490713345506
2027-08,-220303.1302592568,-0.0,-128424.15506336186,188355.42742626276,0.0,-160371.8578963559,18571909.647673786,18411537.789777428,4693547.07788886,6883869.047570328,274383.68098248495,67.10143155690339
2027-09,-261533.33059821092,-0.0,-153425.73544035293,225024.41197918355,0.0,-189934.6540593803,18411537.789777428,18221603.135718048,4846972.813329213,7108893.459549512,197660.81804340472,92.18621736006743
2027-10,-198720.11748467758,-3500.0,-155382.5520807989,227894.40971850604,0.0,-129708.25984697044,18221603.135718048,18091894.875871077,5002355.365410012,7336787.869268018,160004.92393423556,113.07086326485252
2027-11,-69120.6080863066,-0.0,-151463.09743012208,222145.8762308471,0.0,1562.1707144184038,18091894.875871077,18093457.046585497,5153818.462840134,7558933.745498865,106026.91439731077,170.6496614509081
2027-12,-96963.35784718813,-0.0,-177265.1658015335,259988.909842249,0.0,-14239.613806472626,18093457.046585497,18079217.432779025,5331083.628641668,7818922.655341114,47461.90097967489,380.9206344373202
2028-01,281074.1322401883,-3500.0,-472430.16479873843,692897.5750381509,0.0,498041.54247960076,18079217.432779025,18577258.975258626,5803513.793440406,8511820.230379265,-161788.03312918218,inf
2028-02,349399.9174221079,-0.0,-159024.44861304015,233235.85796578974,0.0,423611.3267748575,18577258.975258626,19000870.302033484,5962538.242053446,8745056.088345055,-302471.0851493285,inf
