month,units_platform,units_insights,units,commit_units,committed_units_used,ondemand_units,unit_price,commit_discount,cost_committed,cost_ondemand,cost_fixed,cloud_total,stranded_units
2026-09,109021.28343282941,288906.40109699796,397927.6845298274,0.0,0.0,397927.6845298274,0.4181006336031575,0.0,0.0,166373.8170301582,28000.0,194373.8170301582,0.0
2026-10,111500.37835171222,305511.0366836915,417011.4150354037,0.0,0.0,417011.4150354037,0.416846331702348,0.0,0.0,173829.6786355134,28000.0,201829.6786355134,0.0
2026-11,113863.3070688048,322233.15900471766,436096.46607352246,0.0,0.0,436096.46607352246,0.41559579270724095,0.0,0.0,181239.85651465197,28000.0,209239.85651465197,0.0
2026-12,116902.87396333685,341356.3919729436,458259.2659362805,0.0,0.0,458259.2659362805,0.4143490053291193,0.0,0.0,189879.27102355016,28000.0,217879.27102355016,0.0
2027-01,119013.89373366685,358231.8201383373,477245.7138720042,0.0,0.0,477245.7138720042,0.4131059583131319,0.0,0.0,197153.04797992905,28000.0,225153.04797992905,0.0
2027-02,121429.29599537117,376430.8175856507,497860.1135810219,0.0,0.0,497860.1135810219,0.4118666404381925,0.0,0.0,205051.9723887924,28000.0,233051.9723887924,0.0
2027-03,124460.4730876142,397028.90914948937,521489.38223710353,0.0,0.0,521489.38223710353,0.4106310405168779,0.0,0.0,214139.7276465257,28000.0,242139.7276465257,0.0
2027-04,127047.16114985637,418620.3959887769,545667.5571386332,0.0,0.0,545667.5571386332,0.4093991473953273,0.0,0.0,223395.83265384746,28000.0,251395.83265384746,0.0
2027-05,129962.43799421556,441872.289180333,571834.7271745485,0.0,0.0,571834.7271745485,0.4081709499531413,0.0,0.0,233406.32380703086,28000.0,261406.32380703086,0.0
2027-06,133297.52834623697,467207.83685356064,600505.3651997976,0.0,0.0,600505.3651997976,0.4069464371032819,0.0,0.0,244373.51882946273,28000.0,272373.5188294627,0.0
2027-07,135693.77525656106,489854.5286761855,625548.3039327466,0.0,0.0,625548.3039327466,0.40572559779197204,0.0,0.0,253800.95956086784,28000.0,281800.95956086786,0.0
2027-08,138120.17963640616,513116.4673492491,651236.6469856553,0.0,0.0,651236.6469856553,0.40450842099859613,0.0,0.0,263430.70776858757,28000.0,291430.70776858757,0.0
2027-09,141321.78266391426,539849.2097761526,681170.9924400669,0.0,0.0,681170.9924400669,0.4032948957356003,0.0,0.0,274712.7843742322,28000.0,302712.7843742322,0.0
2027-10,144501.21656703594,567167.2750256162,711668.4915926522,0.0,0.0,711668.4915926522,0.40208501104839356,0.0,0.0,286151.23330482515,28000.0,314151.23330482515,0.0
2027-11,147460.634853271,594266.3584586823,741726.9933119533,0.0,0.0,741726.9933119533,0.40087875601524836,0.0,0.0,297342.5943818263,28000.0,325342.5943818263,0.0
2027-12,151191.56099493502,625177.1047140566,776368.6657089916,0.0,0.0,776368.6657089916,0.3996761197472026,0.0,0.0,310296.0158038828,28000.0,338296.0158038828,0.0
2028-01,153708.6527764362,651724.6877720898,805433.340548526,0.0,0.0,805433.340548526,0.398477091387961,0.0,0.0,320946.7348486657,28000.0,348946.7348486657,0.0
2028-02,156406.31525133178,679585.4397670367,835991.7550183685,0.0,0.0,835991.7550183685,0.3972816601137971,0.0,0.0,332124.1922751442,28000.0,360124.1922751442,0.0
